symbol,ts,pre_action_equity,post_action_equity,close_equity,favorable_equity,adverse_equity,position,action,wtl_long_run,wtl_short_run,wtl_rsi_run,wtl_entry_leverage
ETHUSDT,2024-10-22T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-23T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-24T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-25T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-26T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-27T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-28T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-29T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-30T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-31T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-11-01T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-11-02T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-11-03T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-11-04T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-11-05T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-11-06T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-11-07T00:00:00+00:00,1.0054194989794616,1.0040138795480942,1.067549034489986,1.0752197374081127,0.9954702419251829,1,enter_long,0,0,0,1.0
ETHUSDT,2024-11-08T00:00:00+00:00,1.067549034489986,1.067549034489986,1.0916989780680784,1.0993069877412014,1.0638004840413333,1,hold,0,0,0,1.0
ETHUSDT,2024-11-09T00:00:00+00:00,1.0916989780680784,1.0916989780680784,1.1521819642373596,1.1638465956460304,1.0884081827166054,1,hold,0,0,0,1.0
ETHUSDT,2024-11-10T00:00:00+00:00,1.1521782763994182,1.1521782763994182,1.1730811939653394,1.19782289871424,1.1320244941636535,1,hold,0,0,0,1.0
ETHUSDT,2024-11-11T00:00:00+00:00,1.1730811939653394,1.1730811939653394,1.2423224025236173,1.248606478375775,1.1435362875871435,1,hold,0,0,0,1.0
ETHUSDT,2024-11-12T00:00:00+00:00,1.2423224025236173,1.2423224025236173,1.193244251622522,1.26811473750897,1.1803995120726007,1,hold,0,0,0,1.0
ETHUSDT,2024-11-13T00:00:00+00:00,1.1932479394604631,1.1932479394604631,1.1714822779382321,1.2253615902621906,1.1460730745219367,1,hold,1,0,0,1.0
ETHUSDT,2024-11-14T00:00:00+00:00,1.1714822779382321,1.1698358574406427,1.1698358574406427,1.1698358574406427,1.1698358574406427,0,long_mfe_fraction_trail_exit,0,0,0,1.0
ETHUSDT,2024-11-15T00:00:00+00:00,1.1698358574406427,1.1682003769129645,1.1569013640517147,1.1857682447555593,1.1408994033442554,-1,pehc_handoff_enter_short,0,0,0,1.0
ETHUSDT,2024-11-16T00:00:00+00:00,1.1569013640517147,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,0,ma7_slope_exit,0,0,0,1.0
ETHUSDT,2024-11-17T00:00:00+00:00,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,0,hold,0,0,0,1.0
ETHUSDT,2024-11-18T00:00:00+00:00,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,0,hold,0,0,0,1.0
ETHUSDT,2024-11-19T00:00:00+00:00,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,0,hold,0,0,0,1.0
ETHUSDT,2024-11-20T00:00:00+00:00,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,0,hold,0,0,0,1.0
ETHUSDT,2024-11-21T00:00:00+00:00,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,1.1552494755035583,0,hold,0,0,0,1.0
ETHUSDT,2024-11-22T00:00:00+00:00,1.1552494755035583,1.1536343873612525,1.1428133071735076,1.177140446824051,1.1188969700325495,1,enter_long,0,0,0,1.0
ETHUSDT,2024-11-23T00:00:00+00:00,1.1428098723986775,1.1428098723986775,1.1645920652544313,1.1998362897845722,1.1367532152576678,1,hold,0,0,0,1.0
ETHUSDT,2024-11-24T00:00:00+00:00,1.1645886304796014,1.1645886304796014,1.1522341752199758,1.1831540182392069,1.1245842378388597,1,hold,0,0,0,1.0
ETHUSDT,2024-11-25T00:00:00+00:00,1.1522341752199758,1.1522341752199758,1.1698977680091043,1.2155768384726402,1.1304115965639723,1,hold,0,0,0,1.0
ETHUSDT,2024-11-26T00:00:00+00:00,1.1698943332342742,1.1698943332342742,1.1384341349539437,1.1857584625610267,1.1133671482449516,1,hold,0,0,0,1.0
ETHUSDT,2024-11-27T00:00:00+00:00,1.1384341349539437,1.1384341349539437,1.2506601807351696,1.2616926774889765,1.1301408015018024,1,hold,0,0,0,1.0
ETHUSDT,2024-11-28T00:00:00+00:00,1.2506636155099995,1.2506636155099995,1.2246144848356244,1.25303037700382,1.2072413937457254,1,hold,0,0,0,1.0
ETHUSDT,2024-11-29T00:00:00+00:00,1.2246144848356244,1.2246144848356244,1.2286179297680437,1.2474336262865227,1.208359627820985,1,hold,1,0,0,1.0
ETHUSDT,2024-11-30T00:00:00+00:00,1.2286213645428739,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,0,long_mfe_fraction_trail_exit,0,0,0,1.0
ETHUSDT,2024-12-01T00:00:00+00:00,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,0,hold,0,0,0,1.0
ETHUSDT,2024-12-02T00:00:00+00:00,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,0,hold,0,0,0,1.0
ETHUSDT,2024-12-03T00:00:00+00:00,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,0,hold,0,0,0,1.0
ETHUSDT,2024-12-04T00:00:00+00:00,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,1.2268928779965123,0,hold,0,0,0,1.0
ETHUSDT,2024-12-05T00:00:00+00:00,1.2268928779965123,1.2251776293154706,1.2068487046799667,1.2619359859868216,1.1518826415495935,1,enter_long,0,0,0,1.0
ETHUSDT,2024-12-06T00:00:00+00:00,1.2068455147279542,1.2068455147279542,1.2744279831548047,1.303482066086233,1.2036907972737747,1,hold,0,0,0,1.0
ETHUSDT,2024-12-07T00:00:00+00:00,1.2744279831548047,1.2744279831548047,1.2728077511220888,1.2820267124387146,1.2633048840763352,1,hold,0,0,0,1.0
ETHUSDT,2024-12-08T00:00:00+00:00,1.2728109410741015,1.2728109410741015,1.2743963593154028,1.2783104304349528,1.248462049452369,1,hold,0,0,0,1.0
ETHUSDT,2024-12-09T00:00:00+00:00,1.2743995492674154,1.2743995492674154,1.1662030348049333,1.2749233527686286,1.1588337982994548,-1,reverse_long_trailing_stop_to_short,0,0,0,1.0
ETHUSDT,2024-12-10T00:00:00+00:00,1.1662030348049333,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,ma7_slope_exit,0,0,0,1.0
ETHUSDT,2024-12-11T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-12T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-13T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-14T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-15T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-16T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-17T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-18T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-19T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-20T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-21T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-22T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-23T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-24T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-25T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-26T00:00:00+00:00,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,1.16455846105724,0,hold,0,0,0,1.0
ETHUSDT,2024-12-27T00:00:00+00:00,1.16455846105724,1.1629303585552626,1.1635762807205605,1.1726790372885838,1.1245310723063215,-1,enter_short,0,0,0,1.0
ETHUSDT,2024-12-28T00:00:00+00:00,1.1635727917375909,1.1635727917375909,1.1393386419167715,1.1678157209157007,1.1306301404243275,-1,hold,0,0,0,1.0
ETHUSDT,2024-12-29T00:00:00+00:00,1.1393421308997411,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,ma7_slope_exit,0,0,0,1.0
ETHUSDT,2024-12-30T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2024-12-31T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-01T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-02T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-03T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-04T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-05T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-06T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-07T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-08T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-09T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-10T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-11T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-12T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-13T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-14T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-15T00:00:00+00:00,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,1.1376801392083822,0,hold,0,0,0,1.0
ETHUSDT,2025-01-16T00:00:00+00:00,1.1376801392083822,1.1360896137491334,1.0887756736067429,1.1388486995909437,1.0743251350984446,1,enter_long,0,0,0,1.0
ETHUSDT,2025-01-17T00:00:00+00:00,1.0887723804120053,1.0887723804120053,1.1429257161702644,1.160205108958104,1.0882685631114164,1,hold,0,0,0,1.0
ETHUSDT,2025-01-18T00:00:00+00:00,1.1429257161702644,1.1429257161702644,1.088032612624181,1.1493683646107475,1.0613412692764699,1,hold,0,0,0,1.0
ETHUSDT,2025-01-19T00:00:00+00:00,1.0880359058189186,1.0880359058189186,1.0408034085591997,1.1111975460746721,0.9650486002804423,-1,reverse_long_trailing_stop_to_short,0,0,0,1.0
ETHUSDT,2025-01-20T00:00:00+00:00,1.040800193432798,1.040800193432798,1.018922333406949,1.0645610526802263,0.9634421122178206,-1,hold,0,0,0,1.0
ETHUSDT,2025-01-21T00:00:00+00:00,1.018919118280547,1.0174412873590444,1.0174412873590444,1.0174412873590444,1.0174412873590444,0,ma7_slope_exit,0,0,0,1.0
ETHUSDT,2025-01-22T00:00:00+00:00,1.0174412873590444,1.0174412873590444,1.0174412873590444,1.0174412873590444,1.0174412873590444,0,hold,0,0,0,1.0
ETHUSDT,2025-01-23T00:00:00+00:00,1.0174412873590444,1.0174412873590444,1.0174412873590444,1.0174412873590444,1.0174412873590444,0,hold,0,0,0,1.0
ETHUSDT,2025-01-24T00:00:00+00:00,1.0174412873590444,1.0174412873590444,1.0174412873590444,1.0174412873590444,1.0174412873590444,0,hold,0,0,0,1.0
