symbol,entry_ts,exit_ts,side,entry_price,entry_leverage,exit_price,bars_held,exit_reason,net_return,net_pnl
ETHUSDT,2025-09-22T01:00:00+00:00,2025-09-26T00:00:00+00:00,short,4333.44,1.0,3873.1,4,short_rsi_take_profit,0.1033813106532755,0.1743090548452575
ETHUSDT,2025-10-09T00:00:00+00:00,2025-10-10T16:00:00+00:00,long,4523.66,1.0,4067.7114285714288,1,protective_stop,-0.10344353229339931,-0.19244510978870566
ETHUSDT,2025-10-10T16:00:00+00:00,2025-10-18T00:00:00+00:00,short,4100.49,1.0,3830.0,8,ma7_slope_exit,0.06335691437531676,0.10567571710283397
ETHUSDT,2025-10-25T00:00:00+00:00,2025-10-29T00:00:00+00:00,long,3933.2,1.0,3977.56,4,long_mfe_fraction_trail_exit,0.0077307841470330985,0.013711462883775782
ETHUSDT,2025-10-30T00:00:00+00:00,2025-11-12T00:00:00+00:00,short,3900.38,1.0,3416.33,13,ma7_slope_exit,0.12286534198235,0.21960092462465908
ETHUSDT,2025-12-03T00:00:00+00:00,2025-12-06T00:00:00+00:00,long,2994.63,1.0,3020.38,3,long_mfe_fraction_trail_exit,0.005213449968826556,0.010463034515466596
ETHUSDT,2026-01-14T00:00:00+00:00,2026-01-19T01:00:00+00:00,long,3324.68,1.0,3180.3028571428567,5,protective_stop,-0.04698708210815539,-0.09479146055097498
ETHUSDT,2026-01-19T01:00:00+00:00,2026-01-20T00:00:00+00:00,short,3210.67,1.0,3188.01,1,ma7_slope_exit,0.004264541776239028,0.00819901912344756
ETHUSDT,2026-01-28T00:00:00+00:00,2026-01-29T16:00:00+00:00,long,3024.92,1.0,2837.0357142857147,1,protective_stop,-0.06504774269142133,-0.12559428716276244
ETHUSDT,2026-01-29T16:00:00+00:00,2026-02-02T00:00:00+00:00,short,2822.66,1.0,2269.03,4,short_rsi_take_profit,0.19301168352003284,0.3484261069976431
ETHUSDT,2026-02-11T00:00:00+00:00,2026-02-13T00:00:00+00:00,short,2021.51,1.0,1947.15,2,ma7_slope_exit,0.03361962570974342,0.07240435026496295
ETHUSDT,2026-02-23T00:00:00+00:00,2026-02-25T18:00:00+00:00,short,1957.0,1.0,2066.5964285714285,2,protective_stop,-0.059131698032528934,-0.1316293945921041
ETHUSDT,2026-03-03T00:00:00+00:00,2026-03-08T23:00:00+00:00,long,2026.69,1.0,1913.957142857143,5,protective_stop,-0.057794072614025915,-0.12104439106827458
ETHUSDT,2026-03-08T23:00:00+00:00,2026-03-11T00:00:00+00:00,short,1941.86,1.0,2035.38,3,ma7_slope_exit,-0.05097178164683758,-0.10058587929824903
ETHUSDT,2026-03-27T00:00:00+00:00,2026-04-02T00:00:00+00:00,short,2059.18,1.0,2138.8,6,ma7_hysteresis_exit,-0.0417686274788196,-0.07822337198589024
ETHUSDT,2026-04-14T00:00:00+00:00,2026-04-26T04:00:00+00:00,long,2368.8,1.0,2306.192857142857,12,protective_stop,-0.028438872194658682,-0.05103511335735256
ETHUSDT,2026-04-26T04:00:00+00:00,2026-04-27T00:00:00+00:00,short,2308.64,1.0,2368.32,1,ma7_slope_exit,-0.02869511795054802,-0.0500305017999263
ETHUSDT,2026-05-11T00:00:00+00:00,2026-05-13T16:00:00+00:00,long,2370.21,1.0,2240.6492857142857,2,protective_stop,-0.05757742243818165,-0.09750673966720491
ETHUSDT,2026-05-13T16:00:00+00:00,2026-05-19T00:00:00+00:00,short,2235.39,1.0,2128.99,6,short_rsi_take_profit,0.0453942476878868,0.07244842043269295
ETHUSDT,2026-05-25T00:00:00+00:00,2026-06-04T00:00:00+00:00,short,2098.99,1.0,1812.45,10,short_rsi_take_profit,0.13537002494317885,0.22585552196159386
ETHUSDT,2026-07-01T00:00:00+00:00,2026-07-02T14:00:00+00:00,short,1571.48,1.0,1699.6485714285714,1,protective_stop,-0.084147428315958,-0.1593993243206815
ETHUSDT,2026-07-11T00:00:00+00:00,2026-07-17T14:00:00+00:00,long,1796.03,1.0,1806.1585714285716,6,protective_stop,0.0020341524077118756,0.0035290246076822296
ETHUSDT,2026-07-17T14:00:00+00:00,2026-07-18T00:00:00+00:00,short,1824.73,1.0,1841.08,1,ma7_slope_exit,-0.011731856251565365,-0.02039484713406825
ETHUSDT,2026-07-27T00:00:00+00:00,2026-07-30T00:00:00+00:00,long,1953.8,1.0,1909.68,3,terminal_flatten,-0.025663286748485614,-0.04409007061612091
