name,start,end,bars,total_return,sharpe,max_drawdown,exposure,trade_count,win_rate,profit_factor,best_trade,worst_trade,slice
buy_hold,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,0.8153133465359466,8.006250592745657,-0.13095020167756533,1.0,0,0.0,0.0,0.0,0.0,may_2026
v10,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,-0.034422452776352586,-0.404527436246408,-0.1689828756476679,0.46774193548387094,5,0.4,0.9516419346466952,0.0563331247664518,-0.04015846608182594,may_2026
v10_no_mfeu,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,-0.03186727782845822,-0.3549182225267922,-0.17056802313604846,0.45161290322580644,6,0.5,0.9928151247912275,0.08978284371362322,-0.12802502732618748,may_2026
v10_no_range,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,-0.052169150653072704,-0.20240354218054146,-0.2652525835026449,0.9758064516129032,11,0.2727272727272727,1.068473392573495,0.1952485431766573,-0.11441828843986401,may_2026
melt_long,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,0.21054331844201535,4.973248807370546,-0.10284123567456305,0.18548387096774194,2,1.0,inf,0.19093066256942692,0.018402389466463998,may_2026
rs4_w1,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,0.16887344822921602,2.828175937243323,-0.13242614926932061,0.6532258064516129,7,0.5714285714285714,3.383329644643346,0.19093066256942692,-0.04015846608182594,may_2026
rs4_w0_5,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,0.06492160679248649,1.5028790714938989,-0.1302219272032018,0.6532258064516129,7,0.5714285714285714,3.383329644643346,0.19093066256942692,-0.04015846608182594,may_2026
rs4_no_er,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,0.41340136690094886,5.010815203778424,-0.19396081101987706,0.9274193548387096,7,0.5714285714285714,6.299434402308007,0.35030239899165627,-0.04015846608182594,may_2026
rs4_melt_both,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,0.17719770635042598,2.934565162155032,-0.13325762267722407,0.6532258064516129,8,0.625,3.4781358445524555,0.19093066256942692,-0.04015846608182594,may_2026
rs4_no_donchian,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,124,0.21348573433923268,3.3563676844838315,-0.12971534379916583,0.6612903225806451,8,0.5,3.554945715435548,0.19093066256942692,-0.04015846608182594,may_2026
buy_hold,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.09754789139425735,2.4187095519103314,-0.21639747609032167,1.0,0,0.0,0.0,0.0,0.0,post_html_2026_06_10
v10,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.14120694473634576,5.161917150597218,-0.08033364478881799,0.25396825396825395,2,1.0,inf,0.0710343514467826,0.06754590095365565,post_html_2026_06_10
v10_no_mfeu,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.16456891083356417,8.622896658770955,-0.025964626588863338,0.15873015873015872,2,1.0,inf,0.09295979478803118,0.06754590095365565,post_html_2026_06_10
v10_no_range,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.3140127752795585,6.071880076408168,-0.1087462278603909,0.9841269841269841,4,0.75,16.965507436878113,0.20577957526584956,-0.01866479086834083,post_html_2026_06_10
melt_long,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.043454733045290794,2.176403699208866,-0.061357920287841816,0.12698412698412698,1,1.0,inf,0.04444695765506301,0.04444695765506301,post_html_2026_06_10
rs4_w1,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.19079778786929458,5.403422777526615,-0.0803336447888181,0.38095238095238093,3,1.0,inf,0.0710343514467826,0.04444695765506301,post_html_2026_06_10
rs4_w0_5,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.16729975892930593,5.6166103606966065,-0.08033364478881799,0.38095238095238093,3,1.0,inf,0.0710343514467826,0.04444695765506301,post_html_2026_06_10
rs4_no_er,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.2384222133305618,5.419212627678653,-0.11885392277471363,0.6507936507936508,3,1.0,inf,0.08618225032661875,0.06754590095365565,post_html_2026_06_10
rs4_melt_both,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.08574832408493127,2.353795260486976,-0.16146451222880587,0.38095238095238093,4,0.75,2.2761993303868695,0.0710343514467826,-0.0804091309632331,post_html_2026_06_10
rs4_no_donchian,2026-06-10 00:00:00+00:00,2026-06-25 18:00:00+00:00,63,0.29112711021293314,8.78530670933314,-0.06135792028784193,0.36507936507936506,4,1.0,inf,0.07850913096323309,0.04444695765506301,post_html_2026_06_10
