window_days,start,end,v18_return,v21_return,delta_return,v18_dd,v21_dd,delta_dd,v18_sharpe,v21_sharpe,v18_entries,v21_entries,v21_early
90,2025-12-26T10:30:00+00:00,2026-03-26T10:30:00+00:00,1.0467192822487066,0.7700456024946007,-0.27667367975410584,-0.26148804341300447,-0.2653076867310814,-0.0038196433180769374,4.151685940540292,3.466800740703482,78,79,3
90,2026-01-02T10:30:00+00:00,2026-04-02T10:30:00+00:00,0.8971118135399201,0.6451347926679551,-0.25197702087196494,-0.2724712937645487,-0.2163428338431722,0.056128459921376495,3.8228556957985296,3.0917126570707802,81,84,5
90,2026-01-09T10:30:00+00:00,2026-04-09T10:30:00+00:00,1.3502261112007554,0.9836149620808794,-0.366611149119876,-0.20233275558990893,-0.20645835482088226,-0.004125599230973331,4.830983666532052,4.030516721204795,78,80,5
90,2026-01-16T10:30:00+00:00,2026-04-16T10:30:00+00:00,2.8617145258347874,2.305034911248316,-0.5566796145864714,-0.2023327555899087,-0.20645835482088204,-0.004125599230973331,6.986136818219738,6.320540509920907,80,82,5
90,2026-01-23T10:30:00+00:00,2026-04-23T10:30:00+00:00,2.844139450806639,2.289993344569219,-0.55414610623742,-0.14766603999167205,-0.16845092907351755,-0.020784889081845503,6.816253602904516,6.161670305118844,79,81,5
90,2026-01-30T10:30:00+00:00,2026-04-30T10:30:00+00:00,2.6089545144668973,2.0887111368859723,-0.520243377580925,-0.14766603999167305,-0.16845092907351622,-0.020784889081843172,6.608649244109115,5.9415180827793215,77,79,5
90,2026-02-06T10:30:00+00:00,2026-05-07T10:30:00+00:00,3.571947256920196,3.2102107588617352,-0.36173649805846075,-0.20491531477672165,-0.19830198311050895,0.006613331666212696,7.455473931938879,7.127774948882495,74,76,6
90,2026-02-13T10:30:00+00:00,2026-05-14T10:30:00+00:00,3.2919370143709443,2.8370105759688644,-0.4549264384020799,-0.2049153147767211,-0.19830198311050962,0.006613331666211475,6.898092406754611,6.442461113936559,73,75,7
120,2025-05-30T10:30:00+00:00,2025-09-27T10:30:00+00:00,0.3317532417684972,1.0291878742291405,0.6974346324606433,-0.2534393181504656,-0.23734731955327226,0.016091998597193347,1.5407204699296357,3.2604452817451426,99,102,9
120,2025-06-06T10:30:00+00:00,2025-10-04T10:30:00+00:00,0.41452192895576867,1.1553022407188713,0.7407803117631027,-0.2534393181504656,-0.23734731955327226,0.016091998597193347,1.7707414061156477,3.4642997051291147,105,108,9
120,2025-06-13T10:30:00+00:00,2025-10-11T10:30:00+00:00,0.23772215870489877,1.0007060681636926,0.7629839094587938,-0.2534393181504626,-0.23734731955327415,0.01609199859718846,1.24275202183692,3.1921022698998267,101,104,8
120,2025-06-20T10:30:00+00:00,2025-10-18T10:30:00+00:00,0.1716854473596039,0.8298058803726922,0.6581204330130883,-0.2534393181504626,-0.2373473195532726,0.016091998597190016,1.0191246360639115,2.8367467856007087,107,111,9
120,2025-06-27T10:30:00+00:00,2025-10-25T10:30:00+00:00,0.16378662512712672,0.8442667770120327,0.680480151884906,-0.2534393181504656,-0.23734731955327393,0.01609199859719168,0.991506750557837,2.8690234707575093,108,112,9
120,2025-07-04T10:30:00+00:00,2025-11-01T10:30:00+00:00,0.9756622895747844,2.040525676595877,1.0648633870210924,-0.25343931815046583,-0.2373473195532736,0.016091998597192236,3.0653605429480018,4.753915712946526,112,116,8
120,2025-07-11T10:30:00+00:00,2025-11-08T10:30:00+00:00,1.3574304663531476,2.7836417514411,1.4262112850879523,-0.25343931815046516,-0.23734731955327293,0.016091998597192236,3.726192419462694,5.5309795518926865,119,124,10
120,2025-07-18T10:30:00+00:00,2025-11-15T10:30:00+00:00,0.9510208973192391,1.5303732867278326,0.5793523894085935,-0.2534393181504643,-0.23734731955327315,0.016091998597191126,3.1417067067068585,4.204358808275517,118,122,10
120,2025-07-25T10:30:00+00:00,2025-11-22T10:30:00+00:00,0.8710288205245533,1.0550230025614447,0.18399418203689133,-0.2534393181504607,-0.23734731955327515,0.016091998597185575,3.073615736642325,3.4679235603006022,116,120,9
120,2025-08-01T10:30:00+00:00,2025-11-29T10:30:00+00:00,0.9200152307052893,1.1395169462261583,0.21950171552086895,-0.25343931815046494,-0.23734731955327304,0.016091998597191903,3.234126419661934,3.704047383059004,115,118,8
120,2025-08-08T10:30:00+00:00,2025-12-06T10:30:00+00:00,0.6444257875815698,0.8862629763342142,0.24183718875264448,-0.25343931815046394,-0.23734731955327393,0.016091998597190016,2.5784881150759085,3.1851481228513654,117,120,9
120,2025-08-15T10:30:00+00:00,2025-12-13T10:30:00+00:00,0.7597596298552229,1.0283966015108703,0.26863697165564737,-0.25343931815046405,-0.23734731955327226,0.016091998597191792,2.823564821139331,3.43479221527425,119,121,8
120,2025-08-22T10:30:00+00:00,2025-12-20T10:30:00+00:00,0.7867735746013578,0.7978722118518162,0.011098637250458454,-0.2534393181504634,-0.23734731955327293,0.01609199859719046,2.9022793721972318,2.8980675898312254,118,120,7
120,2025-08-29T10:30:00+00:00,2025-12-27T10:30:00+00:00,0.589033698978751,0.7689307120534312,0.1798970130746802,-0.23734731955327382,-0.23734731955327393,-1.1102230246251565e-16,2.406259075645337,2.8627230577987395,116,119,8
120,2025-09-05T10:30:00+00:00,2026-01-03T10:30:00+00:00,0.5232937993918263,0.7055826978387976,0.18228889844697127,-0.23734731955327315,-0.23734731955327315,0.0,2.165659031666605,2.6320628701255084,115,118,7
120,2025-09-12T10:30:00+00:00,2026-01-10T10:30:00+00:00,0.6330780300102876,0.82850454279947,0.19542651278918233,-0.21595849474327722,-0.1995788999685124,0.016379594774764805,2.356203467696499,2.79338493462289,118,121,7
120,2025-09-19T10:30:00+00:00,2026-01-17T10:30:00+00:00,0.5177586004468662,0.6993851149736923,0.1816265145268261,-0.23616541931991974,-0.2169623057407275,0.019203113579192244,2.131917330046848,2.5932286059934495,116,119,7
120,2025-09-26T10:30:00+00:00,2026-01-24T10:30:00+00:00,0.724544340705052,0.9309164064980084,0.20637206579295642,-0.23926468556862235,-0.2201394888097562,0.019125196758866148,2.743239992325387,3.2126654731228332,114,117,7
120,2025-10-03T10:30:00+00:00,2026-01-31T10:30:00+00:00,0.4540162677420976,0.6280148909075645,0.17399862316546688,-0.24351372849233044,-0.22449535440938895,0.01901837408294149,1.9767601333176823,2.4491663551072738,112,115,7
120,2025-10-10T10:30:00+00:00,2026-02-07T10:30:00+00:00,0.5667750245462386,0.7017194811976677,0.13494445665142907,-0.2795992136490021,-0.2653076867310814,0.014291526917920683,2.311791620866094,2.6716075401853825,117,121,7
120,2025-10-17T10:30:00+00:00,2026-02-14T10:30:00+00:00,0.4725963714396042,0.6555076690030048,0.18291129756340063,-0.27959921364900153,-0.2653076867310822,0.01429152691791935,2.0536205007113,2.5635890149682385,111,114,6
120,2025-10-24T10:30:00+00:00,2026-02-21T10:30:00+00:00,0.7901534374431738,0.9052581919167562,0.11510475447358237,-0.2795992136490002,-0.26530768673108296,0.014291526917917241,2.8813113039303615,3.169340836901184,112,115,7
120,2025-10-31T10:30:00+00:00,2026-02-28T10:30:00+00:00,0.1021347643134185,0.09134344416052875,-0.01079132015288975,-0.2795992136489991,-0.2653076867310813,0.014291526917917796,0.7719976304010158,0.7300818609105904,111,114,8
120,2025-11-07T10:30:00+00:00,2026-03-07T10:30:00+00:00,0.2248111817018239,0.16294916897505285,-0.061862012726771054,-0.2795992136490013,-0.2653076867310815,0.014291526917919795,1.2179394844149685,1.0044505439722373,108,110,6
120,2025-11-14T10:30:00+00:00,2026-03-14T10:30:00+00:00,0.4256699980337255,0.4528459758363821,0.02717597780265657,-0.27959921364900475,-0.2653076867310845,0.014291526917920239,1.8373847112805723,1.934296456484185,105,107,5
120,2025-11-21T10:30:00+00:00,2026-03-21T10:30:00+00:00,0.527235241890774,0.5563472461346008,0.029112004243826872,-0.27951422813481375,-0.26530768673108207,0.014206541403731676,2.093801686269489,2.1918482774986203,105,107,5
120,2025-11-28T10:30:00+00:00,2026-03-28T10:30:00+00:00,0.8709225367600131,0.9065858735767989,0.035663336816785796,-0.27951422813481297,-0.2653076867310813,0.014206541403731676,2.8699074409669976,2.976115992598269,107,109,5
120,2025-12-05T10:30:00+00:00,2026-04-04T10:30:00+00:00,1.1548614127135752,0.9324336088053944,-0.22242780390818084,-0.2632327463996169,-0.2653076867310814,-0.002074940331464492,3.4042631457809107,3.0193727251821207,104,107,5
120,2025-12-12T10:30:00+00:00,2026-04-11T10:30:00+00:00,1.3298008744611542,1.2769445840305385,-0.05285629043061579,-0.2668718222697535,-0.2653076867310804,0.0015641355386730726,3.627934318536459,3.560080203533165,102,105,6
120,2025-12-19T10:30:00+00:00,2026-04-18T10:30:00+00:00,2.2644265071836047,2.190366325712964,-0.07406018147064053,-0.26148804341300547,-0.2653076867310805,-0.00381964331807505,4.782162972663889,4.723537447611336,99,102,6
