parameter,value,name,return,max_dd,calmar,risk_score,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,return_delta,max_dd_delta,sharpe_delta,trades_delta,win_rate_delta
entry_max_dist_ema96,0.12,V14__entry_max_dist_ema96=0.12,17.607085833312112,-0.3556849323783622,49.501916529268264,16.895715968555386,4.000611491582308,34,6,0.7941176470588235,0.10132780452841447,0.08291488304330263,0.5920380316936312,-0.14453841002340634,120.32352941176471,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 2}",-4.312091270158874,-0.1091315124355936,-0.29753882698212575,1,-0.02406417112299475
warning_exit_min_capture,0.0,V14__warning_exit_min_capture=0.0,17.45446778742674,-0.24469523145716987,71.33145866180018,16.9650773245124,4.116321299797035,35,5,0.8,0.09744800658135964,0.06817646602792897,0.5920380316936312,-0.1223496346958749,108.05714285714286,"{'warning_confirm_volume': 28, 'hard_swing96': 6, 'stop_loss': 1}",-4.464709316044246,0.0018581884855987107,-0.18182901876739876,2,-0.018181818181818188
late_max_age,512,V14__late_max_age=512,17.08693508477761,-0.2465534199427688,69.30317611795414,16.593828244892073,3.8645227829901554,37,10,0.7567567567567568,0.09360438931109658,0.07495527710766892,0.5920380316936312,-0.1223496346958749,115.54054054054055,"{'warning_confirm_volume': 26, 'hard_swing96': 10, 'stop_loss': 1}",-4.832242018693375,-2.220446049250313e-16,-0.4336275355742787,4,-0.061425061425061434
min_mfe_atr,5.0,V14__min_mfe_atr=5.0,17.076737146436916,-0.24655341994276947,69.26181413504953,16.583630306551377,3.964425060783112,33,6,0.7575757575757576,0.10330306564068932,0.0998102340136185,0.5920380316936312,-0.1223496346958749,125.81818181818181,"{'hard_swing96': 9, 'warning_confirm_volume': 23, 'stop_loss': 1}",-4.84243995703407,-8.881784197001252e-16,-0.3337252577813219,0,-0.06060606060606066
min_mfe_atr,6.0,V14__min_mfe_atr=6.0,17.076737146436916,-0.24655341994276947,69.26181413504953,16.583630306551377,3.964425060783112,33,6,0.7575757575757576,0.10330306564068932,0.0998102340136185,0.5920380316936312,-0.1223496346958749,125.81818181818181,"{'hard_swing96': 9, 'warning_confirm_volume': 23, 'stop_loss': 1}",-4.84243995703407,-8.881784197001252e-16,-0.3337252577813219,0,-0.06060606060606066
pullback_buffer,0.005,V14__pullback_buffer=0.005,16.26802172762926,-0.29123407127456336,55.8589235676771,15.685553585080134,4.112689732012844,30,3,0.8333333333333334,0.11046116076363416,0.10307120850880638,0.5920380316936312,-0.13826903700571208,126.73333333333333,"{'warning_confirm_volume': 23, 'hard_swing96': 6, 'stop_loss': 1}",-5.651155375841725,-0.044680651331794774,-0.18546058655159037,-3,0.015151515151515138
entry_max_regime_age,0,V14__entry_max_regime_age=0,16.163969357019212,-0.3765216542764862,42.929720438202835,15.41092604846624,3.2616539210988527,60,0,0.65,0.0611599997429185,0.053820794991809875,0.5920380316936312,-0.13826903700571208,115.0,"{'hard_swing96': 20, 'warning_confirm_volume': 36, 'stop_loss': 3, 'opposite_cross': 1}",-5.755207746451774,-0.12996823433371762,-1.0364963974655814,27,-0.1681818181818182
late_max_age,128,V14__late_max_age=128,15.731450131323182,-0.20391421580860203,77.14739293158961,15.323621699705978,4.287107276341725,27,0,0.8518518518518519,0.12014040796362152,0.10633218300399427,0.5920380316936312,-0.1223496346958749,122.51851851851852,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 1}",-6.187726972147804,0.04263920413416655,-0.011043042222708799,-6,0.03367003367003363
osc_min_score,2,V14__osc_min_score=2,15.60911504691336,-0.2536917153653918,61.52788641297006,15.101731616182576,3.812943691649055,33,5,0.7272727272727273,0.10223471012120053,0.05946619472401646,0.8949989260196607,-0.1223496346958749,130.1818181818182,"{'warning_confirm_osc': 20, 'hard_swing96': 12, 'stop_loss': 1}",-6.310062056557626,-0.007138295422623231,-0.48520662691537897,0,-0.09090909090909094
entry_max_regime_age,256,V14__entry_max_regime_age=256,15.41418950895957,-0.37652165427648676,40.93838782945708,14.661146200406597,3.692399035252042,39,0,0.7435897435897436,0.086603098452204,0.06817646602792897,0.5920380316936312,-0.13826903700571208,123.2051282051282,"{'hard_swing96': 10, 'warning_confirm_volume': 26, 'stop_loss': 3}",-6.504987594511416,-0.12996823433371818,-0.6057512833123919,6,-0.07459207459207462
cooldown_bars,48,V14__cooldown_bars=48,15.221839380961807,-0.29123407127456336,52.26668471289985,14.63937123841268,4.087448444053094,29,2,0.8275862068965517,0.11168550157935711,0.10633218300399427,0.5920380316936312,-0.13826903700571208,126.89655172413794,"{'warning_confirm_volume': 22, 'hard_swing96': 6, 'stop_loss': 1}",-6.697337722509179,-0.044680651331794774,-0.21070187451134004,-4,0.00940438871473348
require_pullback,True,V14__require_pullback=True,15.221839380961807,-0.29123407127456336,52.26668471289985,14.63937123841268,4.087448444053094,29,2,0.8275862068965517,0.11168550157935711,0.10633218300399427,0.5920380316936312,-0.13826903700571208,126.89655172413794,"{'warning_confirm_volume': 22, 'hard_swing96': 6, 'stop_loss': 1}",-6.697337722509179,-0.044680651331794774,-0.21070187451134004,-4,0.00940438871473348
wick_min,0.65,V14__wick_min=0.65,14.774112079255147,-0.2536917153653908,58.23647830981029,14.266728648524365,3.7694740705044154,33,6,0.7272727272727273,0.09922536419391625,0.09087448897893635,0.5920380316936312,-0.1223496346958749,129.3939393939394,"{'hard_swing96': 10, 'warning_confirm_volume': 22, 'stop_loss': 1}",-7.145065024215839,-0.007138295422622232,-0.5286762480600187,0,-0.09090909090909094
entry_max_regime_age,384,V14__entry_max_regime_age=384,14.606663342472354,-0.37652165427648787,38.79368736584369,13.853620033919379,3.42784094246884,47,0,0.6808510638297872,0.07294336896663232,0.05508211387509543,0.5920380316936312,-0.13826903700571208,116.97872340425532,"{'hard_swing96': 14, 'warning_confirm_volume': 29, 'stop_loss': 3, 'opposite_cross': 1}",-7.312513760998632,-0.1299682343337193,-0.870309376095594,14,-0.13733075435203101
warning_exit_min_capture,0.65,V14__warning_exit_min_capture=0.65,14.586782443530339,-0.24655341994276847,59.162766620379124,14.093675603644803,3.7094898228387616,33,6,0.6666666666666666,0.09924321895582616,0.10633218300399427,0.5920380316936312,-0.12605831498301956,132.42424242424244,"{'hard_swing96': 12, 'warning_confirm_volume': 20, 'stop_loss': 1}",-7.332394659940647,1.1102230246251565e-16,-0.5886604957256725,0,-0.1515151515151516
cooldown_bars,0,V14__cooldown_bars=0,14.574270845049732,-0.24655341994276825,59.112020625926895,14.081164005164196,3.8966870773374542,33,6,0.7878787878787878,0.09836809592618781,0.06817646602792897,0.5920380316936312,-0.1223496346958749,116.51515151515152,"{'warning_confirm_volume': 24, 'hard_swing96': 7, 'stop_loss': 2}",-7.344906258421254,3.3306690738754696e-16,-0.40146324122697985,0,-0.030303030303030387
