parameter,value,name,action,exit_rvol,min_mfe_atr,fail_bars,cooldown_bars,reduce_fraction,wick_min,stop_atr,adx_exit,adx_exit_bars,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,reduce_events,exit_reasons,fitness,delta_return,delta_max_dd,delta_sharpe,delta_fitness
stop_atr,10.5,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop10.5_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,10.5,22.0,3,4.935368239931464,-0.2762732587379938,2.8342630784037617,97,0.711340206185567,0.025231054305692783,0.04723830398774877,0.1659875736706442,-0.1690354900176468,31.1340206185567,0,"{'volume_exhaustion': 55, 'trend_break': 40, 'opposite_cross': 1, 'stop_loss': 1}",4.520958351824473,-0.00018243334657785937,-2.220446049250313e-16,-0.013825110981191102,-0.00018243334657785937
stop_atr,12.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop12_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,12.0,22.0,3,5.19979704302295,-0.2762732587379938,2.907316487488706,97,0.711340206185567,0.025633812955212925,0.04723830398774877,0.1659875736706442,-0.12996790101419295,31.15463917525773,0,"{'volume_exhaustion': 55, 'trend_break': 41, 'opposite_cross': 1}",4.785387154915959,0.26424636974490845,-2.220446049250313e-16,0.059228298103753296,0.26424636974490845
adx_exit,18.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx18_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,18.0,3,5.403897180077157,-0.32131627584894085,2.8314386941599934,96,0.6875,0.02656325420324207,0.05057090954642661,0.17837019887139283,-0.145047490017647,36.697916666666664,0,"{'volume_exhaustion': 58, 'trend_break': 32, 'stop_loss': 5, 'opposite_cross': 1}",4.921922766303746,0.46834650679911594,-0.04504301711094727,-0.0166494952249594,0.40078198113269536
adx_exit,20.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx20_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,20.0,3,3.9370623386416037,-0.3259096515533956,2.531421023856229,97,0.6804123711340206,0.02346346753461548,0.04784948130886137,0.16056033672787684,-0.145047490017647,33.896907216494846,0,"{'volume_exhaustion': 56, 'trend_break': 35, 'stop_loss': 5, 'opposite_cross': 1}",3.4481978613115105,-0.9984883346364377,-0.049636392815402,-0.31666716552872387,-1.0729429238595403
adx_exit,22.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
adx_exit,24.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx24_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,24.0,3,4.466222589297195,-0.24081032320853557,2.813879016503063,97,0.6391752577319587,0.02415716502471963,0.04568882672694707,0.21600164949706993,-0.12620230716950687,28.309278350515463,0,"{'volume_exhaustion': 52, 'trend_break': 43, 'stop_loss': 1, 'opposite_cross': 1}",4.105007104484391,-0.46932808398084624,0.035462935529458006,-0.03420917288188985,-0.41613368068665935
adx_exit,26.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx26_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,26.0,3,3.0995102916020603,-0.2589310851082408,2.457917990901278,98,0.6122448979591837,0.020840581824599014,0.0412266896593904,0.18343822784046632,-0.11900599460405359,26.0,0,"{'volume_exhaustion': 49, 'trend_break': 48, 'opposite_cross': 1}",2.711113663939699,-1.8360403816759812,0.017342173629752766,-0.39017019848367474,-1.810027121231352
adx_exit,28.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx28_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,28.0,3,2.194380029148127,-0.31341634105511784,2.1339240466052867,102,0.5980392156862745,0.01763924007509909,0.020594121839727197,0.14970118459943824,-0.09334266856024862,22.88235294117647,0,"{'volume_exhaustion': 47, 'trend_break': 54, 'opposite_cross': 1}",1.72425551756545,-2.7411706441299146,-0.037143082317124265,-0.7141641427796661,-2.796885267605601
adx_exit_bars,1,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb1,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,1,4.824543792706498,-0.23830674635875104,2.8436651661158696,97,0.6804123711340206,0.024971646883307736,0.04723830398774877,0.21065790850726865,-0.145047490017647,30.195876288659793,0,"{'volume_exhaustion': 55, 'trend_break': 39, 'stop_loss': 2, 'opposite_cross': 1}",4.467083673168371,-0.1110068805715434,0.037966512379242534,-0.0044230232690831706,-0.054057112002679375
adx_exit_bars,2,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb2,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,2,5.016574297173862,-0.2699821990533924,2.8803238715800594,97,0.711340206185567,0.025294476180261063,0.04723830398774877,0.1719157863312058,-0.145047490017647,30.63917525773196,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.611600998593773,0.0810236238958204,0.006291059684601197,0.03223568219510664,0.09046021342272237
adx_exit_bars,3,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
adx_exit_bars,4,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb4,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,4,4.377531292295011,-0.2821195237089086,2.6987818824168595,97,0.7010309278350515,0.024226668603070198,0.04784948130886137,0.1765080637443169,-0.145047490017647,31.432989690721648,0,"{'volume_exhaustion': 56, 'trend_break': 36, 'stop_loss': 4, 'opposite_cross': 1}",3.9543520067316478,-0.5580193809830307,-0.005846264970915005,-0.14930630696809333,-0.566788778439403
