cross_i,ts,side,direction,mfe,mae,mfe_atr,mae_atr,effective,big_trend,ema96_slope48_same,ema384_slope96_same,h1_same,adx28,adx_slope16,vol_surge192,atr_ratio96_672,churn192,dist_ema96
24246,2026-02-07 00:00:00+00:00,short,-1,0.10449760169438738,0.05456923939450564,6.195020484652313,3.235074780658968,True,False,True,False,True,7.058564464362072,0.24579610097971027,0.6920168718842972,1.0621436481091202,1,0.03618692272167656
24883,2026-02-13 15:15:00+00:00,long,1,0.014490935324007248,0.0896430587792485,1.515086743283797,9.372549593733986,False,False,True,False,False,13.483513057901096,0.6073487481355162,2.310294994027305,0.9613791084108043,1,0.04421019091865608
25102,2026-02-15 22:00:00+00:00,short,-1,0.09272608125819126,0.029325032765399772,10.95029711179694,3.4630798286425026,True,False,True,False,True,27.168237121400463,9.193188986639214,-0.4396719313947982,0.8634322170528351,1,0.017175672624549
25578,2026-02-20 21:00:00+00:00,long,1,0.0166223404255319,0.14850398936170206,2.4730612965907053,22.094329623741373,False,False,True,True,True,20.17880669147949,3.65977158652278,-0.6681434433644049,1.033688099864572,1,0.022519582899041657
25743,2026-02-22 14:15:00+00:00,short,-1,0.12284246575342461,0.006438356164383707,19.796358499708436,1.0375565648021388,True,False,True,False,True,13.858749937153975,1.643684779182184,0.04944980935795029,0.6530719512495585,2,0.015364175006812975
26062,2026-02-25 22:00:00+00:00,long,1,0.10719861231569827,0.09540329575021678,16.88044158652479,15.023046719399062,False,False,True,False,True,32.73855909951289,7.232301667162954,-0.044684217887169586,1.1843168497126262,1,0.037459346097773905
26249,2026-02-27 20:45:00+00:00,short,-1,0.04679217693291904,0.23158471942972025,6.567360183241078,32.50330215690016,False,False,True,False,False,23.705822288769973,6.1374379052146395,-0.2372940412880593,1.1026837182668434,2,0.027345159156956123
26342,2026-02-28 20:00:00+00:00,long,1,0.1313721539391497,0.013600644771307624,18.53649318507132,1.9190387883317628,True,False,True,False,True,31.3940716186178,11.799288045440477,0.9590587879038908,1.177583009568399,2,0.06573740654596638
26827,2026-03-05 21:15:00+00:00,short,-1,0.047164314385601425,0.12805904441279292,5.174093176629744,14.04853301767143,False,False,True,False,True,18.785076293146936,6.01350767346778,-0.4120969954586964,0.7859981398494976,1,0.015592291251579127
27170,2026-03-09 11:00:00+00:00,long,1,0.24031157461053154,0.007531865585168052,31.33702678900455,0.982167729524123,True,True,True,False,False,16.97051024276395,2.845447129337197,-0.3306994004789815,0.9667776368962471,1,0.012673245257107002
28180,2026-03-19 23:30:00+00:00,short,-1,0.06185067007019773,0.04033184428844949,8.164303335405831,5.3238131530917485,False,False,True,True,False,18.11073195616012,-3.667312057223061,-0.6416972878729355,1.2163902204215904,1,0.021800637764190722
28360,2026-03-21 20:30:00+00:00,long,1,0.03394255874673613,0.08611214720875293,4.4661054497119865,11.33049316655874,False,False,True,False,False,19.900540963386895,8.405991882698235,-0.5971239980412772,0.635663406155209,2,0.009905101723379994
