name,hard_exit_mode,hard_exit_bars,volume_warning_mode,warning_exit_min_capture,entry_max_regime_age,entry_min_rvol96,entry_max_dist_ema96,entry_max_move48,segment_exit_mode,segment_min_mfe_atr,segment_exit_min_capture,segment_adx,segment_bars,fallback_adx,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness
V12_3_no_mfi_cap20,swing96,1,no_mfi_div,0.2,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,14.773085760799965,-0.3752599331890243,3.177649706452829,62,0.6774193548387096,0.05797171723195908,0.04887889894951008,0.5920380316936312,-0.144563902827127,107.40322580645162,"{'hard_swing96': 18, 'warning_confirm_volume': 39, 'stop_loss': 4, 'opposite_cross': 1}",14.210195861016429
V12_4_cap35_age256_move12,swing96,1,no_mfi_div,0.35,256,0.0,0.0,0.12,none,0.0,0.0,0.0,1,0.0,14.376174440402403,-0.36972072400940503,3.6140642528268567,39,0.7435897435897436,0.08486799725311316,0.066327354601274,0.5920380316936312,-0.12881683816648531,122.61538461538461,"{'hard_swing96': 10, 'warning_confirm_volume': 26, 'stop_loss': 3}",13.821593354388295
V12_4_cap35_age384,swing96,1,no_mfi_div,0.35,384,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,14.34016474271811,-0.3752599331890244,3.3945261704232013,47,0.6808510638297872,0.0727065658431378,0.05508211387509543,0.5920380316936312,-0.144563902827127,114.46808510638297,"{'hard_swing96': 13, 'warning_confirm_volume': 29, 'stop_loss': 4, 'opposite_cross': 1}",13.777274842934574
V12_4_cap35_age256_rvol12,swing96,1,no_mfi_div,0.35,256,1.2,0.0,0.0,none,0.0,0.0,0.0,1,0.0,14.096809819574371,-0.39925825757340505,3.628420482924396,39,0.7435897435897436,0.08448244755771332,0.06817646602792897,0.5920380316936312,-0.14521973063110719,119.15384615384616,"{'hard_swing96': 8, 'warning_confirm_volume': 26, 'stop_loss': 5}",13.497922433214264
V12_4_cap35_age384_dist10,swing96,1,no_mfi_div,0.35,384,0.0,0.1,0.0,none,0.0,0.0,0.0,1,0.0,13.765240599284292,-0.37888490629218907,3.3379970393530085,47,0.6808510638297872,0.0718746296674677,0.05508211387509543,0.5920380316936312,-0.13826903700571208,117.61702127659575,"{'hard_swing96': 14, 'warning_confirm_volume': 29, 'stop_loss': 3, 'opposite_cross': 1}",13.196913239846008
V12_4_cap35_age384_move12,swing96,1,no_mfi_div,0.35,384,0.0,0.0,0.12,none,0.0,0.0,0.0,1,0.0,13.619715329563064,-0.36972072400940503,3.354302789208786,47,0.6808510638297872,0.07150360414185483,0.05508211387509543,0.5920380316936312,-0.12881683816648531,116.48936170212765,"{'hard_swing96': 14, 'warning_confirm_volume': 29, 'stop_loss': 3, 'opposite_cross': 1}",13.065134243548957
V12_4_cap35_age384_dist10_move12,swing96,1,no_mfi_div,0.35,384,0.0,0.1,0.12,none,0.0,0.0,0.0,1,0.0,13.619715329563064,-0.36972072400940503,3.354302789208786,47,0.6808510638297872,0.07150360414185483,0.05508211387509543,0.5920380316936312,-0.12881683816648531,116.48936170212765,"{'hard_swing96': 14, 'warning_confirm_volume': 29, 'stop_loss': 3, 'opposite_cross': 1}",13.065134243548957
V12_3_no_mfi_cap50,swing96,1,no_mfi_div,0.5,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,13.054424661086568,-0.37525993318902506,3.0073488491230775,60,0.6,0.05831050760106393,0.06133521221710769,0.5920380316936312,-0.144563902827127,118.7,"{'hard_swing96': 22, 'warning_confirm_volume': 33, 'stop_loss': 4, 'opposite_cross': 1}",12.49153476130303
V12_2_swing96_blowoff_only,swing96,1,blowoff_only,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,12.755184716069675,-0.3752599331890245,2.959875483413992,63,0.6349206349206349,0.05556290530815841,0.03723826986278999,0.5920380316936312,-0.144563902827127,113.26984126984127,"{'hard_swing96': 21, 'warning_confirm_volume': 37, 'stop_loss': 4, 'opposite_cross': 1}",12.192294816286138
V12_4_cap35_age128,swing96,1,no_mfi_div,0.35,128,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,12.584263027072895,-0.2947181620802719,3.9350993462752673,28,0.8214285714285714,0.10893492897177186,0.08632050909581226,0.5920380316936312,-0.144563902827127,120.32142857142857,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 2}",12.142185783952486
V12_4_cap35_age192,swing96,1,no_mfi_div,0.35,192,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,12.145445610931523,-0.37525993318902495,3.5367199424620925,35,0.7428571428571429,0.08878765539845326,0.06817646602792897,0.5920380316936312,-0.144563902827127,122.62857142857143,"{'hard_swing96': 9, 'warning_confirm_volume': 23, 'stop_loss': 3}",11.582555711147986
V12_high_swing96_b1,swing96,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,12.050616172749155,-0.37525993318902395,3.2487225687518317,79,0.7215189873417721,0.042156537596154786,0.03584415253663875,0.4527654581389234,-0.144563902827127,64.54430379746836,"{'warning_confirm_volume': 62, 'hard_swing96': 12, 'stop_loss': 4, 'opposite_cross': 1}",11.48772627296562
V12_high_ema96_and_swing96_b1,ema96_and_swing96,1,all,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,12.050616172749155,-0.37525993318902395,3.2487225687518317,79,0.7215189873417721,0.042156537596154786,0.03584415253663875,0.4527654581389234,-0.144563902827127,64.54430379746836,"{'warning_confirm_volume': 62, 'hard_ema96_and_swing96': 12, 'stop_loss': 4, 'opposite_cross': 1}",11.48772627296562
V12_4_cap35_rvol15,swing96,1,no_mfi_div,0.35,0,1.5,0.0,0.0,none,0.0,0.0,0.0,1,0.0,11.680107939493112,-0.3989522642681901,2.9893585417550916,58,0.6379310344827587,0.057769943056016404,0.05722261408881161,0.5920380316936312,-0.14521973063110719,110.13793103448276,"{'hard_swing96': 17, 'warning_confirm_volume': 34, 'stop_loss': 6, 'opposite_cross': 1}",11.081679543090827
V12_4_cap35_age192_move12,swing96,1,no_mfi_div,0.35,192,0.0,0.0,0.12,none,0.0,0.0,0.0,1,0.0,11.532290224940144,-0.36972072400940603,3.4948755964863607,35,0.7428571428571429,0.0871820798498108,0.066327354601274,0.5920380316936312,-0.12881683816648531,125.31428571428572,"{'hard_swing96': 10, 'warning_confirm_volume': 23, 'stop_loss': 2}",10.977709138926036
V12_5_segment_ema21_adx22_mfe4_cap35,swing96,1,no_mfi_div,0.35,0,0.0,0.0,0.0,ema21_adx,4.0,0.35,22.0,1,0.0,11.527552791636158,-0.37525993318902473,3.1964323789176854,61,0.7377049180327869,0.05306895450050827,0.045198321790495835,0.46748999857471724,-0.144563902827127,86.50819672131148,"{'segment_ema21_adx': 21, 'warning_confirm_volume': 24, 'hard_swing96': 11, 'stop_loss': 4, 'opposite_cross': 1}",10.96466289185262
V12_3_blowoff_cap35,swing96,1,blowoff_only,0.35,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,11.509410907655006,-0.3752599331890244,2.885843842741183,60,0.6166666666666667,0.05648662174288252,0.044474047657535334,0.5920380316936312,-0.144563902827127,118.76666666666667,"{'hard_swing96': 22, 'warning_confirm_volume': 33, 'stop_loss': 4, 'opposite_cross': 1}",10.94652100787147
V12_2_swing96_mfi_rvol2_wick35,swing96,1,mfi_rvol_exit_wick35,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,11.176047204349867,-0.3752599331890245,3.009057392387066,70,0.6857142857142857,0.0468274917274958,0.03636057591948064,0.4527654581389234,-0.144563902827127,86.42857142857143,"{'hard_swing96': 15, 'warning_confirm_volume': 50, 'stop_loss': 4, 'opposite_cross': 1}",10.61315730456633
V12_5_segment_adx18_mfe4,swing96,1,no_mfi_div,0.35,0,0.0,0.0,0.0,adx,4.0,0.0,18.0,3,0.0,10.928583694848239,-0.31845045600369115,3.3699717362963373,62,0.7258064516129032,0.05056700577834246,0.042220624375591195,0.46748999857471724,-0.144563902827127,71.80645161290323,"{'segment_adx': 33, 'warning_confirm_volume': 20, 'hard_swing96': 5, 'stop_loss': 3, 'opposite_cross': 1}",10.450908010842703
V12_5_segment_ema55_mfe4_cap50,swing96,1,no_mfi_div,0.35,0,0.0,0.0,0.0,ema55,4.0,0.5,0.0,1,0.0,10.714969681321277,-0.37525993318902484,2.9710456565955137,61,0.6557377049180327,0.052872658448470805,0.054455344652526216,0.46748999857471724,-0.144563902827127,101.59016393442623,"{'segment_ema55': 10, 'warning_confirm_volume': 30, 'hard_swing96': 16, 'stop_loss': 4, 'opposite_cross': 1}",10.15207978153774
V12_5_segment_adx22_mfe4,swing96,1,no_mfi_div,0.35,0,0.0,0.0,0.0,adx,4.0,0.0,22.0,3,0.0,10.613657883756343,-0.3194997673381853,3.4628796492245626,62,0.7741935483870968,0.04969048258280575,0.042850494357623205,0.46748999857471724,-0.144563902827127,64.87096774193549,"{'segment_adx': 35, 'warning_confirm_volume': 18, 'hard_swing96': 5, 'stop_loss': 3, 'opposite_cross': 1}",10.134408232749065
V12_2_swing96_mfi_rvol2,swing96,1,mfi_rvol_exit,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,1,0.0,10.353559994183025,-0.3752599331890245,2.951129514748153,75,0.6533333333333333,0.04296752287039811,0.03584415253663875,0.4527654581389234,-0.144563902827127,79.33333333333333,"{'warning_confirm_volume': 54, 'hard_swing96': 16, 'stop_loss': 4, 'opposite_cross': 1}",9.790670094399488
