parameter,value,name,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness,return_delta,max_dd_delta,sharpe_delta,trades_delta
segment_exit_mode,ema55_adx22,V12_4_age128__segment_exit_mode=ema55_adx22,6.809894518454805,-0.29471816208027135,3.446602710993084,28,0.8928571428571429,0.08578161226588718,0.05891550485180833,0.46748999857471724,-0.144563902827127,95.5,"{'warning_confirm_volume': 15, 'segment_ema55_adx': 10, 'hard_swing96': 1, 'stop_loss': 2}",6.3678172753343985,-5.77436850861809,5.551115123125783e-16,-0.48849663528218334,0
segment_exit_mode,ema55,V12_4_age128__segment_exit_mode=ema55,6.536271023406096,-0.29471816208027135,3.412237338392921,28,0.8928571428571429,0.08439840074180051,0.0566873939092124,0.46748999857471724,-0.144563902827127,91.89285714285714,"{'warning_confirm_volume': 15, 'segment_ema55': 10, 'hard_swing96': 1, 'stop_loss': 2}",6.094193780285689,-6.047992003666799,5.551115123125783e-16,-0.5228620078823463,0
wick_min,0.35,V12_4_age128__wick_min=0.35,6.535682140280171,-0.29471816208027113,3.253340572571282,30,0.8,0.07972763800425202,0.07050362510296751,0.46748999857471724,-0.144563902827127,104.0,"{'warning_confirm_volume': 22, 'hard_swing96': 6, 'stop_loss': 2}",6.093604897159764,-6.048580886792724,7.771561172376096e-16,-0.6817587737039852,2
volume_warning_mode,mfi_rvol_exit_wick35,V12_4_age128__volume_warning_mode=mfi_rvol_exit_wick35,6.534450104598678,-0.29471816208027124,3.2142733149616336,30,0.8,0.0798674333541476,0.07050362510296751,0.46748999857471724,-0.144563902827127,106.0,"{'warning_confirm_volume': 22, 'hard_swing96': 6, 'stop_loss': 2}",6.092372861478271,-6.049812922474217,6.661338147750939e-16,-0.7208260313136337,2
segment_exit_mode,ema21_adx22,V12_4_age128__segment_exit_mode=ema21_adx22,6.5158277893665755,-0.29471816208027113,3.45583796585641,28,0.8928571428571429,0.08410993636611355,0.05749178775342159,0.46748999857471724,-0.144563902827127,90.25,"{'warning_confirm_volume': 15, 'segment_ema21_adx': 10, 'hard_swing96': 1, 'stop_loss': 2}",6.073750546246169,-6.0684352377063195,7.771561172376096e-16,-0.47926138041885746,0
segment_exit_min_capture,0.2,V12_4_age128__segment_exit_min_capture=0.2,6.413400013678572,-0.2947181620802718,3.392621759079994,28,0.8928571428571429,0.08378989826960323,0.0566873939092124,0.46748999857471724,-0.144563902827127,90.85714285714286,"{'warning_confirm_volume': 15, 'segment_ema55': 10, 'hard_swing96': 1, 'stop_loss': 2}",5.971322770558165,-6.170863013394323,1.1102230246251565e-16,-0.5424775871952732,0
warning_source,osc,V12_4_age128__warning_source=osc,5.639381782478162,-0.3862409449940165,2.3687056987227253,25,0.52,0.1033046001924523,0.011038045512998576,0.7743867426241053,-0.144563902827127,234.16,"{'hard_swing96': 22, 'warning_confirm_osc': 1, 'stop_loss': 2}",5.060020364987137,-6.944881244594733,-0.0915227829137446,-1.566393647552542,-3
segment_bars,4,V12_4_age128__segment_bars=4,4.983146571320653,-0.29471816208027135,3.322131725788109,28,0.7857142857142857,0.07529459784150629,0.046559969820882806,0.46748999857471724,-0.144563902827127,79.21428571428571,"{'warning_confirm_volume': 13, 'segment_adx': 13, 'stop_loss': 2}",4.541069328200246,-7.601116455752242,5.551115123125783e-16,-0.6129676204871584,0
segment_exit_mode,adx22,V12_4_age128__segment_exit_mode=adx22,4.7348623471903855,-0.294718162080271,3.417674677490902,28,0.8571428571428571,0.07278181378485368,0.05193170926003322,0.46748999857471724,-0.144563902827127,71.5,"{'warning_confirm_volume': 11, 'segment_adx': 16, 'stop_loss': 1}",4.292785104069979,-7.84940067988251,8.881784197001252e-16,-0.5174246687843653,0
segment_adx,22.0,V12_4_age128__segment_adx=22.0,4.7348623471903855,-0.294718162080271,3.417674677490902,28,0.8571428571428571,0.07278181378485368,0.05193170926003322,0.46748999857471724,-0.144563902827127,71.5,"{'warning_confirm_volume': 11, 'segment_adx': 16, 'stop_loss': 1}",4.292785104069979,-7.84940067988251,8.881784197001252e-16,-0.5174246687843653,0
