spec,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,exit_reason,equity_after
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-09-22 05:45:00+00:00,2025-09-22 09:00:00+00:00,-1,short,49.11243150000001,49.316646,2.214834933593975,-0.004158102007227882,-0.00920950958305554,13,10.058073678721463,volume,warning_confirm_volume,2.144772973755027
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-09-22 14:00:00+00:00,2025-09-23 04:45:00+00:00,-1,short,49.907034,46.5542655,2.2013986391497506,0.0671802796375357,0.1478905761717708,59,14.499690113709205,volume,warning_confirm_volume,2.4748300028577157
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-10-11 03:15:00+00:00,2025-10-13 07:15:00+00:00,-1,short,38.536722,42.3445205252809,1.2823059537149293,-0.0988096113956165,-0.12670415297685755,209,7.959173067511631,,stop_loss,2.137536480777296
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-10-23 12:30:00+00:00,2025-10-23 16:45:00+00:00,1,long,39.1805805,39.696142,1.6823561470873802,0.01315859779055617,0.022137447879992594,17,4.340599991627233,volume,warning_confirm_volume,2.1769933128081833
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-10-25 19:15:00+00:00,2025-10-26 03:15:00+00:00,1,long,42.9684735,43.8710535,2.0478433271689527,0.021005633351159236,0.04301624609112905,32,5.464504765830817,volume,warning_confirm_volume,2.262381289379033
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-10-26 03:30:00+00:00,2025-10-26 15:00:00+00:00,1,long,43.98598199999999,46.946515,2.0690390083339167,0.06730628407932349,0.13925932726612436,46,13.576568813429287,volume,warning_confirm_volume,2.575667197357707
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-10-26 15:15:00+00:00,2025-10-27 03:00:00+00:00,1,long,47.0445105,47.7091335,2.1663783070370144,0.014127535666462077,0.030605586799715152,47,4.908563475858941,volume,warning_confirm_volume,2.640706484941982
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-11-21 09:45:00+00:00,2025-11-21 13:45:00+00:00,-1,short,33.48824750000001,33.74686499999999,1.4327826110671718,-0.007722634634732328,-0.01106485661626956,16,5.587207927469901,volume,warning_confirm_volume,2.5925277309169954
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-11-21 14:00:00+00:00,2025-11-23 01:00:00+00:00,-1,short,33.215384,30.3341595,1.392702159503955,0.08674367576180975,0.12080810455678331,140,11.576668045729384,volume,warning_confirm_volume,2.886849940448704
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-11-26 06:00:00+00:00,2025-11-27 03:45:00+00:00,1,long,34.6563195,35.62118050000001,1.5223946339010896,0.027840838667245293,0.0423847433903202,87,5.163448439184397,volume,warning_confirm_volume,2.9989374725369053
