name,entry_i,exit_i,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,entry_atr,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after,symbol,symbol_id
SNDKUSDT_B0_original,6615,6707,2026-06-15 11:15:00+00:00,2026-06-16 10:15:00+00:00,1,long,2104.9,2171.650892857143,3.0,13.350178571428575,0.0317121444520607,0.0951364333561821,93,5.151991011356167,take_profit,1.1144424106688304,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0w_weekend_filtered,6615,6707,2026-06-15 11:15:00+00:00,2026-06-16 10:15:00+00:00,1,long,2104.9,2171.650892857143,3.0,13.350178571428575,0.0317121444520607,0.0951364333561821,93,5.151991011356167,take_profit,1.1142483349485135,SNDK/USDT:USDT,SNDKUSDT
SOXLUSDT_B0_original,1730,1733,2026-06-02 14:30:00+00:00,2026-06-02 15:15:00+00:00,1,long,248.37,259.3674702380952,2.258428480575891,2.199494047619047,0.0442785772762217,0.0999999999999996,4,5.187556662111133,take_profit,1.0957807923630634,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,1730,1733,2026-06-02 14:30:00+00:00,2026-06-02 15:15:00+00:00,1,long,248.37,259.3674702380952,2.258428480575891,2.199494047619047,0.0442785772762217,0.0999999999999996,4,5.187556662111133,take_profit,1.0957807923630634,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,1734,1756,2026-06-02 15:30:00+00:00,2026-06-02 21:00:00+00:00,1,long,259.18,270.1661607142857,2.3591499045064817,2.197232142857142,0.0423881499895273,0.0999999999999998,23,5.156487463935951,take_profit,1.2005295606595503,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,1734,1756,2026-06-02 15:30:00+00:00,2026-06-02 21:00:00+00:00,1,long,259.18,270.1661607142857,2.3591499045064817,2.197232142857142,0.0423881499895273,0.0999999999999998,23,5.156487463935951,take_profit,1.2005295606595503,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,1757,1805,2026-06-02 21:15:00+00:00,2026-06-03 09:15:00+00:00,1,long,269.86,280.8779315476191,2.4492800561854664,2.2035863095238093,0.040828324122208,0.1000000000000001,49,5.128004267934447,take_profit,1.3150896305553397,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,1757,1805,2026-06-02 21:15:00+00:00,2026-06-03 09:15:00+00:00,1,long,269.86,280.8779315476191,2.4492800561854664,2.2035863095238093,0.040828324122208,0.1000000000000001,49,5.128004267934447,take_profit,1.3150896305553397,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,1809,1823,2026-06-03 10:15:00+00:00,2026-06-03 13:45:00+00:00,1,long,280.16,264.47312500000004,2.500332284154748,2.2409821428571424,-0.0559925578241005,-0.14,15,2.088370054583826,stop_loss,1.1261748992341891,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,1809,1823,2026-06-03 10:15:00+00:00,2026-06-03 13:45:00+00:00,1,long,280.16,264.47312500000004,2.500332284154748,2.2409821428571424,-0.0559925578241005,-0.14,15,2.088370054583826,stop_loss,1.1261748992341891,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,1824,1824,2026-06-03 14:00:00+00:00,2026-06-03 14:00:00+00:00,1,long,265.29,276.2551041666667,2.419402460456943,2.1930208333333328,0.0413325197582519,0.0999999999999999,1,6.242530755711775,take_profit,1.2337024947061348,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,1824,1824,2026-06-03 14:00:00+00:00,2026-06-03 14:00:00+00:00,1,long,265.29,276.2551041666667,2.419402460456943,2.1930208333333328,0.0413325197582519,0.0999999999999999,1,6.242530755711775,take_profit,1.2337024947061348,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,1825,1854,2026-06-03 14:15:00+00:00,2026-06-03 21:30:00+00:00,1,long,278.33,262.916875,2.5281180811808124,2.2018749999999994,-0.0553771602055114,-0.1399999999999999,30,2.793074084587016,stop_loss,1.0564291463876825,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,1825,1854,2026-06-03 14:15:00+00:00,2026-06-03 21:30:00+00:00,1,long,278.33,262.916875,2.5281180811808124,2.2018749999999994,-0.0553771602055114,-0.1399999999999999,30,2.793074084587016,stop_loss,1.0564291463876825,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,2030,2034,2026-06-05 17:30:00+00:00,2026-06-05 18:30:00+00:00,-1,short,203.98,190.89331845238095,1.402815521505529,2.6173363095238096,0.0641566896147614,0.0899999999999998,5,6.487511726412141,take_profit,1.148763306725209,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,2030,2034,2026-06-05 17:30:00+00:00,2026-06-05 18:30:00+00:00,-1,short,203.98,190.89331845238095,1.402815521505529,2.6173363095238096,0.0641566896147614,0.0899999999999998,5,6.487511726412141,take_profit,1.148763306725209,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,2035,2042,2026-06-05 18:45:00+00:00,2026-06-05 20:30:00+00:00,-1,short,189.74,176.50153273809525,1.289922742728678,2.6476934523809517,0.0697716204379927,0.0899999999999999,8,5.933466348180418,take_profit,1.249407704736696,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0w_weekend_filtered,2035,2042,2026-06-05 18:45:00+00:00,2026-06-05 20:30:00+00:00,-1,short,189.74,176.50153273809525,1.289922742728678,2.6476934523809517,0.0697716204379927,0.0899999999999999,8,5.933466348180418,take_profit,1.249407704736696,SOXL/USDT:USDT,SOXLUSDT
SOXLUSDT_B0_original,2044,2248,2026-06-05 21:00:00+00:00,2026-06-08 00:00:00+00:00,-1,short,176.14,195.23739583333332,1.162129129735184,2.7281994047619045,-0.1084216863479807,-0.126,205,4.75405132680612,stop_loss,1.089826057846397,SOXL/USDT:USDT,SOXLUSDT
