spec,entry_ts,exit_ts,direction,side,entry_kind,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,warning_ts,exit_reason,equity_after
HYPE_EMA_X_V17_1,2026-01-26 21:45:00+00:00,2026-01-27 11:00:00+00:00,1,long,hq_normal,24.696342,27.2153855,2.618107178475337,0.10200067281219205,0.26704869369891415,53,20.38716863431723,osc,2026-01-27 01:30:00+00:00,warning_confirm_osc,5.344568153958421
HYPE_EMA_X_V17_1,2026-01-27 12:45:00+00:00,2026-01-28 06:00:00+00:00,1,long,hq_normal,27.620803499999997,32.7646095,2.682880504818951,0.18622941218925804,0.4996312593864531,69,36.75694396788104,volume,2026-01-27 17:00:00+00:00,warning_confirm_volume,8.295303045919004
HYPE_EMA_X_V17_1,2026-02-23 03:30:00+00:00,2026-02-23 21:00:00+00:00,-1,short,hq_normal,26.9155355,26.4402135,2.319515553447027,0.017659763819300678,0.04096209684906899,70,7.288918798333979,osc,2026-02-23 17:00:00+00:00,warning_confirm_osc,8.557755049885483
HYPE_EMA_X_V17_1,2026-02-28 21:15:00+00:00,2026-03-01 06:45:00+00:00,1,long,hq_normal,30.363173999999997,30.825579500000003,2.510411749730736,0.015229155555344986,0.038231451044615165,38,5.514280418315444,osc,2026-03-01 05:45:00+00:00,warning_confirm_osc,8.82922500780711
HYPE_EMA_X_V17_1,2026-03-09 15:15:00+00:00,2026-03-10 00:15:00+00:00,1,long,hq_normal,32.8214025,34.481750500000004,2.4093002067822087,0.05058735683217708,0.12188012927632962,36,10.604708388545058,osc,2026-03-09 21:00:00+00:00,warning_confirm_osc,9.859120193869966
HYPE_EMA_X_V17_1,2026-03-10 00:30:00+00:00,2026-03-11 18:00:00+00:00,1,long,hq_normal,34.2000915,36.029976000000005,2.487734381864836,0.05350525158682706,0.13310685398287775,166,11.571986320439327,volume,2026-03-11 13:15:00+00:00,warning_confirm_volume,11.089229185737668
HYPE_EMA_X_V17_1,2026-04-06 04:15:00+00:00,2026-04-08 11:45:00+00:00,1,long,hq_normal,37.1555685,39.1034385,3.3000000000000003,0.05242471259725168,0.17300155157093056,222,14.040379430289457,volume,2026-04-07 22:30:00+00:00,warning_confirm_volume,12.89358787958817
HYPE_EMA_X_V17_1,2026-04-19 11:45:00+00:00,2026-04-20 01:15:00+00:00,-1,short,lq_normal,43.310334000000005,41.432705999999996,2.4527128700957253,0.04335288663440018,0.10633218300399427,54,11.31948558022214,volume,2026-04-19 17:30:00+00:00,warning_confirm_volume,14.26813624420974
HYPE_EMA_X_V17_1,2026-04-20 01:45:00+00:00,2026-04-21 20:30:00+00:00,-1,short,hq_normal,41.4122835,39.633807,2.5565177149603215,0.042945627473066184,0.10979125741498037,171,10.203168746074905,volume,2026-04-21 15:00:00+00:00,warning_confirm_volume,15.712303249798676
HYPE_EMA_X_V17_1,2026-05-14 20:15:00+00:00,2026-05-15 05:15:00+00:00,1,long,hq_normal,43.797888,45.7681045,3.3000000000000003,0.04498428097720142,0.1484481272247647,36,17.087802297430272,osc,2026-05-15 00:15:00+00:00,warning_confirm_osc,17.93787675309604
HYPE_EMA_X_V17_1,2026-05-17 13:15:00+00:00,2026-05-17 23:15:00+00:00,1,long,lq_normal,42.881429999999995,45.864056500000004,2.6401072472071037,0.0695552014006997,0.183633191298937,40,16.906350834894813,volume,2026-05-17 20:00:00+00:00,warning_confirm_volume,21.258565392288784
HYPE_EMA_X_V17_1,2026-05-17 23:45:00+00:00,2026-05-21 05:15:00+00:00,1,long,hq_normal,45.3336555,55.755108500000006,2.891593950152973,0.22988335895392353,0.6647293299920096,310,42.88921595837199,volume,2026-05-20 11:00:00+00:00,warning_confirm_volume,37.40398834921024
HYPE_EMA_X_V17_1,2026-05-21 10:00:00+00:00,2026-05-22 14:30:00+00:00,1,long,hq_late,57.9059385,60.295837000000006,2.4445585992379097,0.04127207954672918,0.10089201696438786,114,11.381684043254028,volume,2026-05-21 14:00:00+00:00,warning_confirm_volume,40.66155945469354
