candidate_id,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
cfg_style_78_22__q90,cfg_style_78_22,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,476,365.0,1.3041095890410959,0.7193465145028175,0.7193465145028175,0.5252100840336135,1.1728934737914987,13.428396476222195,-0.24909476750580373,1.4459421639664873,13,5,0.11347916309870154,-0.0004490507765322338,0.1414625794308899,False
style_only__q70,style_only,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,723,365.0,1.9808219178082191,0.7181460676618616,0.7181460676618616,0.5836791147994468,1.1485133757796149,8.626313825758265,-0.24490372645506653,1.5377398069514532,13,5,-0.07263262203464804,-0.07775677274950232,0.04732276488984222,False
style_only__q60,style_only,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,741,365.0,2.03013698630137,0.7096085346212957,0.7096085346212957,0.5897435897435898,1.1436896653249995,8.390496714352057,-0.24934805170626095,1.505341426330803,13,5,-0.09011245471894513,-0.2069239287449327,0.042118578308924626,False
style_only__q80,style_only,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,682,365.0,1.8684931506849316,0.694458617482623,0.694458617482623,0.592375366568915,1.155199391837133,8.873364677531738,-0.24492111756331436,1.535801174008602,13,4,-0.0037887429804209782,-0.18162888602522553,0.013321476298550072,False
cfg_side_88_12__q70,cfg_side_88_12,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,762,365.0,2.0876712328767124,0.6111416134052616,0.6111416134052616,0.5288713910761155,1.1087953508586512,7.980968950826235,-0.4811517264067172,1.1850862250284242,13,6,-0.027398414625142142,-0.37527179294325097,-0.17025221919056077,False
current_70_20_10__q90,current_70_20_10,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,474,365.0,1.2986301369863014,0.6036613581075916,0.6036613581075916,0.5232067510548524,1.1529583645623913,12.00766799300449,-0.2610289519102019,1.2895931403898713,13,5,0.11347916309870154,-0.0004490507765322338,0.0646599826844465,False
cfg_only__q90,cfg_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,477,365.0,1.3068493150684932,0.5966590043928541,0.5966590043928541,0.519916142557652,1.1502396152697534,11.874888097668041,-0.24909476750580395,1.2725902220586838,13,5,0.11347916309870154,-0.0004490507765322338,0.1005735727716437,False
cfg_only__q80,cfg_only,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,635,365.0,1.7397260273972603,0.5948057235013746,0.5948057235013746,0.5291338582677165,1.1245927641246918,9.061282453523834,-0.33168718949752163,1.2313050480262238,13,5,0.2717894124625091,0.18919338713486322,0.17013939888678853,False
cfg_side_88_12__q80,cfg_side_88_12,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,634,365.0,1.736986301369863,0.5872222108774798,0.5872222108774798,0.5283911671924291,1.1237765202999321,8.997009828799191,-0.3316871894975223,1.221796840907467,13,5,0.2717894124625091,0.2034451713135268,0.18256823401707933,False
equal_weight__q80,equal_weight,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,627,365.0,1.7178082191780821,0.5701417892267522,0.5701417892267522,0.5215311004784688,1.1211132540756745,8.97364159346596,-0.3045320860601368,1.1885377465183182,13,7,0.34694199284029437,0.17449254227413702,0.3458738325086479,False
cfg_style_78_22__q85,cfg_style_78_22,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,562,365.0,1.5397260273972602,0.5569830775652937,0.5569830775652937,0.5320284697508897,1.1306670264574803,9.673816877443512,-0.3460927967289049,1.2070892188189404,13,7,0.27287115015431573,0.07501782233851007,0.1833189750468054,False
