bracket,source,events,avg_event_bps,win_rate,target_rate,long_share
tp90_sl130_h24,bb_revert_1p5,5015,-12.900342868004376,0.5176470588235295,0.4089730807577268,0.5070787637088734
tp90_sl130_h24,vwap_revert_200,5641,-13.203868670559306,0.5337706080482184,0.4862613011877327,0.47207941854281155
tp90_sl130_h24,bb_revert_1p2,9313,-14.144870136453852,0.5075700633523033,0.40373671212283907,0.5057446580049393
tp90_sl130_h24,bb_revert_1p8,2363,-14.614054858435306,0.509098603470165,0.4079559881506559,0.5294117647058824
tp90_sl130_h24,macd_flip,6724,-15.170263012528547,0.49702558001189767,0.39812611540749554,0.5056513979773944
tp90_sl130_h24,vwap_revert_140,9945,-15.455982980339414,0.5164404223227753,0.4498743086978381,0.49763700351935647
tp90_sl130_h24,vwap_revert_50,21188,-15.533916381490432,0.5017462714744195,0.4081083632244667,0.4993864451576364
tp90_sl130_h24,vwap_revert_75,17521,-15.674129458434154,0.5041378916728497,0.416928257519548,0.5014553963814851
tp90_sl130_h24,vwap_revert_20,26348,-15.893617487602974,0.4955214817063914,0.39627296189464095,0.5028465158645817
tp90_sl130_h24,vwap_revert_30,24668,-15.942153155988883,0.4967569320577266,0.3990189719474623,0.5018647640668072
tp90_sl130_h24,vwap_revert_12,27767,-16.05357789233071,0.4940396873987107,0.39341664565851553,0.5021788453920121
tp90_sl130_h24,vwap_revert_100,14124,-16.09873061787572,0.5055225148683092,0.42622486547720195,0.5027612574341547
tp90_sl130_h24,wick_reject_0p6,10932,-16.120910980449295,0.4930479326747164,0.39260885473838275,0.5392425905598244
tp90_sl130_h24,wick_reject_1p0,1759,-17.055526449812458,0.48891415577032404,0.3808982376350199,0.5611142694712905
tp90_sl130_h24,ema34_144_reclaim,6973,-17.427113807948448,0.4844399827907644,0.39595582962856735,0.49777714039868065
tp90_sl130_h24,ema21_96_reclaim,9263,-17.654904090193547,0.47997409046745115,0.38961459570333584,0.5015653675914931
tp90_sl130_h24,ema21_55_reclaim_buf5,10691,-17.659487505882584,0.4785333458048826,0.38312599382658313,0.5015433542231784
tp90_sl130_h24,momentum_pause_48,16603,-17.906237056678485,0.48406914413057883,0.39697645003914955,0.5083418659278444
tp90_sl130_h24,ema21_55_reclaim,9304,-18.118291194256233,0.4774290627687016,0.3861779879621668,0.5026870163370594
tp90_sl130_h24,breakout_24,8973,-21.210820843441994,0.4609383706675582,0.36654407667446787,0.5301459935361641
tp90_sl130_h24,breakout_48,5919,-23.412495000556184,0.45362392295995946,0.3622233485386045,0.5343808075688461
