candidate_id,style_set,allowed_styles,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
core_bb_vwap_macd__cfg_style_78_22__q90,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",cfg_style_78_22,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,291,365.0,0.7972602739726027,1.7799488487918556,1.7799488487918556,0.6288659793814433,1.5269988475617944,37.38574257597314,-0.150430119642033,3.0371994973734435,13,1,0.3039394465255749,0.3897398456922532,0.6431566237753479,True
no_wick__equal_weight__q85,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",equal_weight,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,479,365.0,1.3123287671232877,1.7759388616771004,1.7759388616771004,0.5866388308977035,1.364277834703891,22.9598925232104,-0.16176408628084238,2.780978764395948,13,4,0.5034348829635726,0.3576972917320824,0.7461408295737129,True
bb_vwap_only__cfg_style_78_22__q85,bb_vwap_only,"bb_revert,vwap_revert",cfg_style_78_22,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,333,365.0,0.9123287671232877,1.7637686470150653,1.7637686470150653,0.6156156156156156,1.4673804142629339,32.56482918416004,-0.10785513647465894,2.972977848484983,13,1,0.4423140835046955,0.36626245472926744,0.677242569024423,True
core_bb_vwap_macd__cfg_side_88_12__q90,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",cfg_side_88_12,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,283,365.0,0.7753424657534247,1.7515353257138564,1.7515353257138564,0.6289752650176679,1.5316723931578498,38.09758601122864,-0.15043011964203334,2.997113244040056,13,1,0.3671329406423369,0.39470942865219993,0.6564566145317539,True
bb_vwap_only__cfg_side_88_12__q85,bb_vwap_only,"bb_revert,vwap_revert",cfg_side_88_12,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,347,365.0,0.9506849315068493,1.7431895583665642,1.7431895583665642,0.6109510086455331,1.4469369633309446,31.08539273245716,-0.13963431879761712,2.9173559234866295,13,2,0.4423140835046955,0.347726139297156,0.6827205508290277,True
bb_vwap_only__cfg_side_88_12__q80,bb_vwap_only,"bb_revert,vwap_revert",cfg_side_88_12,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,444,365.0,1.2164383561643837,1.684389943974994,1.684389943974994,0.5923423423423423,1.346812144413106,24.095114684311145,-0.1663358947318978,2.6494859341092734,13,4,0.4477037696253232,0.37527882063203966,0.9913482770410513,True
core_bb_vwap_macd__cfg_style_78_22__q80,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",cfg_style_78_22,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,469,365.0,1.284931506849315,1.6349114920294907,1.6349114920294907,0.5735607675906184,1.3225638326798241,22.57873152598124,-0.1798456260733522,2.500515222335114,13,2,0.3338186837856245,0.316408186495581,1.0582628288306344,True
bb_vwap_only__cfg_only__q85,bb_vwap_only,"bb_revert,vwap_revert",cfg_only,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,341,365.0,0.9342465753424658,1.561671651519843,1.561671651519843,0.6070381231671554,1.423000645241772,29.59037488469118,-0.139634318797617,2.7491865822847528,13,2,0.4423140835046955,0.36626245472926744,0.7185714797350335,True
no_wick_no_breakout__cfg_style_78_22__q90,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_style_78_22,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,356,365.0,0.9753424657534246,1.4903825597410028,1.4903825597410028,0.5955056179775281,1.4100529754378448,27.538862819462175,-0.1362238838502038,2.672531449896787,13,3,0.2062847573457829,0.17363949794873035,0.42832507090731164,True
bb_vwap_only__cfg_side_88_12__q90,bb_vwap_only,"bb_revert,vwap_revert",cfg_side_88_12,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,249,365.0,0.6821917808219178,1.4876951594355727,1.4876951594355727,0.6305220883534136,1.5470669800870729,38.849032905032054,-0.10191482518063533,2.9273102713020704,13,2,0.21575577373418442,0.24634250028517157,0.5513030476699634,True
no_wick_no_breakout__cfg_only__q90,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,362,365.0,0.9917808219178083,1.4822481649841373,1.4822481649841373,0.5939226519337016,1.3967250904372563,27.052563732726217,-0.136223883850204,2.626336896640273,13,4,0.3039394465255749,0.26865139268036464,0.5439550164883744,True
no_wick__cfg_side_88_12__q80,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",cfg_side_88_12,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,572,365.0,1.5671232876712329,1.4541503852577313,1.4541503852577313,0.5629370629370629,1.2622873319314818,17.315352034414783,-0.14767560834400473,2.3025776137695826,13,4,0.29360529479711084,0.17420871205642086,0.29933049267779177,True
no_wick_no_breakout__cfg_side_88_12__q90,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_side_88_12,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,358,365.0,0.9808219178082191,1.4086748421291881,1.4086748421291881,0.5921787709497207,1.3867650756199996,26.500622220891334,-0.1459810303376522,2.552208192320893,13,3,0.3039394465255749,0.26865139268036464,0.5771252695941287,True
