candidate_id,month,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,median_trade_bps,max_drawdown_1x,avg_bars_held
tp50_sl75_h12__core__trailing_180d__q95,2025_10,200,31.0,6.451612903225806,-0.2255665439110316,-0.95069654165865,0.535,0.644481778089418,-12.590768633610994,44.33814053737181,-0.23915433697205324,5.165
tp50_sl75_h12__core__trailing_180d__q95,2025_11,262,30.0,8.733333333333333,-0.19397808312286935,-0.9274640414728906,0.5610687022900763,0.7501860710911183,-8.051057587225282,44.33814053737181,-0.2303981988252286,5.041984732824427
tp50_sl75_h12__core__trailing_180d__q95,2025_12,252,31.0,8.129032258064516,-0.46600034766800047,-0.9993805379618483,0.42063492063492064,0.4108419261680456,-24.696140708070665,-46.06463602916628,-0.4730435049143622,6.091269841269841
tp50_sl75_h12__core__trailing_180d__q95,2026_01,276,31.0,8.903225806451612,-0.40206989127956383,-0.997654481571605,0.4673913043478261,0.5215331199621216,-18.439222999614433,-27.266902086907994,-0.40206989127956383,4.528985507246377
tp50_sl75_h12__core__trailing_180d__q95,2026_02,344,28.0,12.285714285714286,-0.4537479878499592,-0.9996226617535935,0.47674418604651164,0.5390198517134335,-17.38614470191424,-20.132354961500752,-0.461759609400586,4.584302325581396
tp50_sl75_h12__core__trailing_180d__q95,2026_03,309,31.0,9.96774193548387,-0.4327045849515775,-0.9987372925667948,0.47572815533980584,0.5289693606914491,-18.14907385985224,-21.381785047085195,-0.4381250010588251,5.349514563106796
tp50_sl75_h12__core__trailing_180d__q95,2026_04,62,30.0,2.066666666666667,-0.14735474164976836,-0.8562254649564169,0.3870967741935484,0.3927082299949838,-25.517178472172684,-50.81487215780488,-0.1525221153358609,7.129032258064516
tp50_sl75_h12__core__trailing_180d__q95,2026_05,166,31.0,5.354838709677419,-0.358288281341981,-0.9946100650874491,0.43373493975903615,0.4161876579037998,-26.49892455102103,-80.64301311494208,-0.36112204979480567,3.3493975903614457
tp50_sl75_h12__core__trailing_180d__q95,2026_06,7,25.17013888888889,0.27810732514829634,-0.012749730258844627,-0.16978995782319628,0.42857142857142855,0.5116130587606277,-18.146467626646395,-18.121602712422398,-0.013494299582757385,5.714285714285714
tp50_sl75_h12__core__trailing_120d__q70,2025_09,715,30.0,23.833333333333332,-0.73196018026572,-0.9999998895688251,0.45174825174825173,0.5047559480336309,-18.23428308479789,-23.3995990437409,-0.7351208298451843,6.9020979020979025
tp50_sl75_h12__core__trailing_120d__q70,2025_10,668,31.0,21.548387096774192,-0.5207175472893109,-0.9998265306135864,0.5404191616766467,0.6818997110597179,-10.825266597836865,44.33814053737181,-0.5375972700407035,5.1062874251497
tp50_sl75_h12__core__trailing_120d__q70,2025_11,971,30.0,32.36666666666667,-0.7761849422618124,-0.9999999876882487,0.5066941297631308,0.5897509488081265,-15.220460432037878,9.530052914533929,-0.7807526110128593,4.4984552008238925
tp50_sl75_h12__core__trailing_120d__q70,2025_12,954,31.0,30.774193548387096,-0.7850677079271495,-0.9999999862472156,0.48951781970649894,0.5636611682372032,-15.928901280033902,-12.124718731384146,-0.787496732405311,5.566037735849057
tp50_sl75_h12__core__trailing_120d__q70,2026_01,978,31.0,31.548387096774192,-0.7883785131871051,-0.9999999885446044,0.4938650306748466,0.572364399665594,-15.68872855887421,-4.977245996047979,-0.7893130236157511,4.637014314928425
tp50_sl75_h12__core__trailing_120d__q70,2026_02,1140,28.0,40.714285714285715,-0.8373845304155454,-0.9999999999478888,0.4964912280701754,0.57879497385422,-15.73774410040422,-2.414878328754183,-0.8381026326010772,4.1535087719298245
tp50_sl75_h12__core__trailing_120d__q70,2026_03,767,31.0,24.741935483870968,-0.6862688088502985,-0.9999988186654645,0.4980443285528031,0.5863436811108759,-14.925729900696755,-1.3133417605403634,-0.6924843366885259,5.33116036505867
