candidate_id,style_set,variant,quantile,month,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,36,30.0,1.2,-0.07936479963930221,-0.634350058064033,0.4444444444444444,0.6571381410558069,-22.21509156336674,-0.13253970470850696,-3.802676435979875
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,39,31.0,1.2580645161290323,-0.08844479664370197,-0.6638934644712061,0.5641025641025641,0.6984101550870044,-22.652221897676636,-0.1391527310457289,-3.296232697734764
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,42,25.180555555555557,1.667953667953668,-0.07417299108079389,-0.6727801132266501,0.6190476190476191,0.7826469710559332,-17.05410540187243,-0.1457476515926951,-2.606724722631291
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,6,4.819444444444445,1.2449567723342938,0.02823002862742885,7.234856019280183,0.8333333333333334,3.090917098553721,47.028072362665384,-0.013494960387055333,8.94164915451776
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,59,31.0,1.903225806451613,0.1436091417643639,3.8548068725437448,0.6440677966101694,1.5493488594748082,23.601350556867693,-0.05490156248655054,4.79163982865618
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,59,31.0,1.903225806451613,-0.20071181514975123,-0.9284827312484244,0.423728813559322,0.6136465014580105,-36.50034717359159,-0.24157698140907524,-5.70220552542315
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,56,30.0,1.8666666666666667,0.036776090960427776,0.5517931949310946,0.5892857142857143,1.132437571997278,7.4144127681196705,-0.11322080122625366,1.3841408605559018
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,66,31.0,2.129032258064516,-0.14318141403869078,-0.8378859457611902,0.5,0.7455044307653146,-21.946587133726123,-0.20678375336803045,-3.57893277599329
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,62,30.0,2.066666666666667,0.06781613516023466,1.2218112452283139,0.5967741935483871,1.2247725755822159,11.484066904370044,-0.09086465127108145,2.344068104165771
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,55,31.0,1.7741935483870968,0.006974614090275777,0.08527716028828758,0.6181818181818182,1.038239069218754,2.405252967113349,-0.09049730457730665,0.4031011109751173
mean_revert_bb_vwap_rsi__side_only__q50,mean_revert_bb_vwap_rsi,side_only,0.5,2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,59,31.0,1.903225806451613,0.17894639965901638,5.946801766454241,0.6779661016949152,1.7477500706929392,28.611557000848613,-0.05186531727319266,6.462814824631466
