label,trade_no,signal_ts,entry_ts,exit_ts,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_3x,mae_1x,mfe_1x,trigger_atr,lock_atr,trail_atr,max_hold_bars
trigger2.5_lock1.5_trail2_max144,13,2025-07-11 05:00:00+00:00,2025-07-11 05:05:00+00:00,2025-07-11 06:40:00+00:00,trail_stop,20,45.353612265,45.92154866057143,0.011687891905798664,0.03506367571739599,-0.0051245896789245,0.020293592704858865,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,14,2025-07-11 06:40:00+00:00,2025-07-11 06:45:00+00:00,2025-07-11 18:45:00+00:00,time_open_untriggered,145,46.025332248000005,46.243204984,0.0039024714135718727,0.011707414240715619,-0.021757956405570114,0.010834636658634045,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,15,2025-08-08 00:35:00+00:00,2025-08-08 00:40:00+00:00,2025-08-08 12:40:00+00:00,time_open_untriggered,145,41.108061672000005,41.093845912,-0.001174993633643072,-0.0035249809009292163,-0.024693638022642808,0.009655972864085705,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,16,2025-08-13 18:00:00+00:00,2025-08-13 18:05:00+00:00,2025-08-14 04:30:00+00:00,trail_stop,126,47.425833375,48.28760170514286,0.017334005818790892,0.05200201745637267,-0.02366851467556476,0.03066190979717276,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,17,2025-08-15 08:00:00+00:00,2025-08-15 08:05:00+00:00,2025-08-15 09:00:00+00:00,trail_stop,12,48.49898363100001,48.84626849953574,0.006328370941008878,0.018985112823026635,-0.005259786165208517,0.01342329921701424,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,18,2025-08-22 15:35:00+00:00,2025-08-22 15:40:00+00:00,2025-08-23 01:15:00+00:00,trail_stop,116,44.121291402000004,44.86969961714286,0.01612616203064447,0.048378486091933404,-0.01080174173027672,0.03197342038669437,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,19,2025-08-25 02:45:00+00:00,2025-08-25 02:50:00+00:00,2025-08-25 06:25:00+00:00,stop_market,44,47.062443876,45.27739395318327,-0.03874298763196372,-0.11622896289589116,-0.03860740541775477,0.003964012674130046,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,20,2025-08-26 17:35:00+00:00,2025-08-26 17:40:00+00:00,2025-08-26 21:10:00+00:00,trail_stop,43,47.459869857,48.77358711428572,0.026839790536829052,0.08051937161048715,-0.00730195067735108,0.03944659242936943,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,21,2025-08-26 22:45:00+00:00,2025-08-26 22:50:00+00:00,2025-08-27 02:50:00+00:00,trail_gap_open,49,49.01253408000001,49.621096512,0.011581994118378828,0.034745982355136484,-0.018012896052066366,0.025656007052145435,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,22,2025-08-27 04:20:00+00:00,2025-08-27 04:25:00+00:00,2025-08-27 16:25:00+00:00,time_open_untriggered,145,50.613249807,50.345287648,-0.00612143578346623,-0.01836430735039869,-0.04762067586459863,0.011968213764377289,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,23,2025-09-08 10:05:00+00:00,2025-09-08 10:10:00+00:00,2025-09-08 13:35:00+00:00,trail_stop,42,50.8545084,51.54789076571429,0.0127996528354703,0.0383989585064109,-0.010925202397936056,0.0219939516709593,2.5,1.5,2.0,144.0
