trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_3x,mae_1x,mfe_1x,signal_atr14,signal_atr_bps,dir_ret192_bps
86,2026-01-28 07:40:00+00:00,2026-01-28 07:45:00+00:00,2026-01-28 08:00:00+00:00,1,target,4,33.513921894000006,34.085418069380026,0.016216107030826547,0.04864832109247964,-0.005604202975094911,0.0219335149232891,0.2249999999999999,67.21032350569045,
87,2026-01-28 08:20:00+00:00,2026-01-28 08:25:00+00:00,2026-01-28 11:25:00+00:00,1,time_open,37,34.133586081000004,34.22403276000001,0.0018193640426490934,0.005458092127947281,-0.021818391914118176,0.020959236960989003,0.31378571428571433,92.03546497498513,
88,2026-01-28 11:25:00+00:00,2026-01-28 11:30:00+00:00,2026-01-28 14:30:00+00:00,1,time_open,37,34.390861842,33.77391396,-0.018761180811765622,-0.05628354243529687,-0.03451854179484605,0.008843574766962403,0.25900000000000034,75.39590125756881,
89,2026-02-02 22:35:00+00:00,2026-02-02 22:40:00+00:00,2026-02-03 01:00:00+00:00,1,target,29,33.536946573,34.290997006895275,0.021645524833803793,0.06493657450141138,-0.012727844686155192,0.024332967380429116,0.2980000000000003,88.94460362941747,
90,2026-02-03 01:30:00+00:00,2026-02-03 01:35:00+00:00,2026-02-03 01:50:00+00:00,1,target,4,34.30677171000001,35.12372049630288,0.022973850587040257,0.06892155176112078,-0.006296057313563545,0.03545155167268277,0.3230714285714288,94.25037300059186,
91,2026-02-03 02:55:00+00:00,2026-02-03 03:00:00+00:00,2026-02-03 03:30:00+00:00,1,target,7,35.892471342,36.937041575862864,0.02826137667980181,0.08478413003940544,-0.007560208340962952,0.039215150291224354,0.4139285714285726,115.44836599223869,
92,2026-02-03 04:20:00+00:00,2026-02-03 04:25:00+00:00,2026-02-03 07:25:00+00:00,1,time_open,37,37.613315829,37.08978912,-0.014742204567824506,-0.04422661370347352,-0.024430513385897426,0.014986292980992522,0.5544285714285709,147.56429560006677,
93,2026-02-03 07:30:00+00:00,2026-02-03 07:35:00+00:00,2026-02-03 08:25:00+00:00,1,target,11,37.213887702,37.95962068263904,0.019201472332869632,0.057604416998608896,-0.009762991288816652,0.020801704573274016,0.2942857142857131,79.16865228820431,
94,2026-02-03 09:55:00+00:00,2026-02-03 10:00:00+00:00,2026-02-03 13:00:00+00:00,1,time_open,37,37.106772891000006,36.088524856,-0.028258972996509268,-0.0847769189895278,-0.03832614704240746,0.0020542640348679697,0.32364285714285757,87.31529087111034,
95,2026-02-06 04:20:00+00:00,2026-02-06 04:25:00+00:00,2026-02-06 07:25:00+00:00,1,time_open,37,35.274809301000005,33.561857992,-0.04936937282456918,-0.14810811847370753,-0.055972985787622456,0.008425012208119087,0.30799999999999883,87.40564163686896,
96,2026-02-28 18:50:00+00:00,2026-02-28 18:55:00+00:00,2026-02-28 20:20:00+00:00,1,target,18,29.488607361000003,30.07779580334331,0.019142598109568903,0.057427794328706705,-0.01589885679730453,0.026192916794759213,0.23250000000000043,78.92324926168587,
97,2026-02-28 20:30:00+00:00,2026-02-28 20:35:00+00:00,2026-02-28 20:45:00+00:00,1,target,3,29.906054802000003,30.468024809039157,0.01795406367035337,0.05386219101106011,-0.004730001560691603,0.020428812895746384,0.2215714285714276,74.17610008751886,
98,2026-02-28 21:00:00+00:00,2026-02-28 21:05:00+00:00,2026-02-28 22:25:00+00:00,1,target,17,30.155321979000004,30.778088106859602,0.019814061364452344,0.05944218409335703,-0.005167453507890955,0.02045005592808602,0.2458571428571421,81.62045775750019,
99,2026-02-28 22:40:00+00:00,2026-02-28 22:45:00+00:00,2026-02-28 23:45:00+00:00,1,target,13,30.906126729000004,31.383874170742175,0.014622284839401523,0.04386685451820457,-0.007537091466244498,0.015979785345815678,0.1877857142857136,60.82325396311253,
100,2026-03-01 01:50:00+00:00,2026-03-01 01:55:00+00:00,2026-03-01 02:00:00+00:00,1,target,2,30.639841311,31.15913658053468,0.0161120163560902,0.048336049068270596,-0.004064853551268414,0.018836869393079825,0.20442857142857157,66.79144360067029,
101,2026-03-01 03:25:00+00:00,2026-03-01 03:30:00+00:00,2026-03-01 05:45:00+00:00,1,target,28,31.018246905,31.45958575789721,0.013393139663125669,0.040179418989377005,-0.013769603847409122,0.016724126820860885,0.17321428571428577,55.90082156918795,
102,2026-03-01 06:15:00+00:00,2026-03-01 06:20:00+00:00,2026-03-01 09:20:00+00:00,1,time_open,37,31.074306993000004,30.872148096000004,-0.007332285650752828,-0.021996856952258486,-0.02150304771150892,0.004785078780147556,0.18907142857142947,60.90826253831244,
103,2026-03-02 22:45:00+00:00,2026-03-02 22:50:00+00:00,2026-03-03 01:50:00+00:00,1,time_open,37,33.145527030000004,32.921689031999996,-0.0075797110177607254,-0.022739133053282175,-0.027372356965905356,0.002307188234804025,0.16892857142857107,51.020408163265195,
104,2026-03-03 02:50:00+00:00,2026-03-03 02:55:00+00:00,2026-03-03 03:10:00+00:00,1,target,4,32.804161137,33.202031302683025,0.011294297386607876,0.033882892159823624,-0.0017913505915949795,0.01477979762918391,0.15564285714285728,47.49698103172428,
105,2026-03-03 04:35:00+00:00,2026-03-03 04:40:00+00:00,2026-03-03 05:05:00+00:00,1,target,6,33.004375737000004,33.33906778505172,0.009307310983249089,0.027921932949747267,-0.004274020385421144,0.014350347565248223,0.13035714285714356,39.53930748798676,
106,2026-03-09 14:50:00+00:00,2026-03-09 14:55:00+00:00,2026-03-09 16:20:00+00:00,1,target,18,33.096474453000006,33.82575923939846,0.02119666027402636,0.06358998082207908,-0.02750136670221205,0.03887198163136629,0.2881428571428576,87.1549127802721,
107,2026-03-09 17:15:00+00:00,2026-03-09 17:20:00+00:00,2026-03-09 20:20:00+00:00,1,time_open,37,33.929367189000004,34.172019032,0.006319387913195441,0.018958163739586323,-0.006143244102225901,0.02610224959595242,0.419785714285715,123.85616920476646,
108,2026-03-09 20:30:00+00:00,2026-03-09 20:35:00+00:00,2026-03-09 21:05:00+00:00,1,target,7,34.24070089200001,34.7986353070355,0.015458400663412232,0.046375201990236696,-0.006947848020630657,0.017736176310043872,0.21950000000000003,64.1737808443457,
109,2026-03-09 21:35:00+00:00,2026-03-09 21:40:00+00:00,2026-03-10 00:40:00+00:00,1,time_open,37,34.936446627,34.309055199999996,-0.018779953913612875,-0.056339861740838625,-0.02716170393306795,0.012238032607173377,0.20235714285714224,57.983650780005796,
110,2026-03-10 03:40:00+00:00,2026-03-10 03:45:00+00:00,2026-03-10 06:45:00+00:00,1,time_open,37,34.568051763,34.08899712,-0.014681882229606105,-0.044045646688818316,-0.021331424799821544,0.008358823314112085,0.2895714285714287,83.85839638916589,
111,2026-04-08 07:25:00+00:00,2026-04-08 07:30:00+00:00,2026-04-08 07:50:00+00:00,1,target,5,39.098908161000004,39.393412419897366,0.006699842595916964,0.02009952778775089,-0.004888140730815575,0.008212296816008768,0.11364285714285671,29.095923278933054,
112,2026-04-08 09:35:00+00:00,2026-04-08 09:40:00+00:00,2026-04-08 12:40:00+00:00,1,time_open,37,39.441275127000004,39.408401072000004,-0.0016624707209484091,-0.004987412162845227,-0.010208338765688179,0.003720084417340619,0.1342142857142871,34.066268773614674,
113,2026-05-14 15:35:00+00:00,2026-05-14 15:40:00+00:00,2026-05-14 16:30:00+00:00,1,target,11,42.41946730200001,43.06887019708202,0.01447340638717408,0.04342021916152224,-0.002783085725192828,0.019979805308871335,0.2552142857142862,60.22898138346302,
114,2026-05-14 16:35:00+00:00,2026-05-14 16:40:00+00:00,2026-05-14 17:05:00+00:00,1,target,6,43.101198015,43.76899998127596,0.014658067181291382,0.043974201543874145,-0.0020897427082711287,0.015633022190369328,0.2624999999999998,60.96852862617577,
115,2026-05-14 17:20:00+00:00,2026-05-14 17:25:00+00:00,2026-05-14 18:15:00+00:00,1,target,11,43.534662624000006,44.314394250647034,0.01707384361705465,0.051221530851163946,-0.006654806694490826,0.018820345136849825,0.30721428571428583,70.6450860519893,
116,2026-05-14 18:30:00+00:00,2026-05-14 18:35:00+00:00,2026-05-14 21:35:00+00:00,1,time_open,37,44.11428389100001,43.9365962,-0.00485554712601357,-0.014566641378040712,-0.011437936497704986,0.014818694793170106,0.26271428571428757,59.623776885817165,
117,2026-05-14 22:05:00+00:00,2026-05-14 22:10:00+00:00,2026-05-14 23:35:00+00:00,1,target,18,44.08024740900001,44.57451197431599,0.010378863401763031,0.031136590205289093,-0.004980139520041075,0.012063285082456687,0.19300000000000037,43.8297679066177,
118,2026-05-15 00:00:00+00:00,2026-05-15 00:05:00+00:00,2026-05-15 00:25:00+00:00,1,target,5,44.268449133000004,44.7432939592854,0.009892713858009619,0.029678141574028857,-0.001486511215936696,0.012798073528572207,0.18521428571428697,41.88283788935077,
119,2026-05-15 01:00:00+00:00,2026-05-15 01:05:00+00:00,2026-05-15 01:35:00+00:00,1,target,7,45.331588659000005,45.85529840554884,0.010718752349013155,0.03215625704703946,-0.003714538139055438,0.015252307749481941,0.20464285714285577,45.19098514770245,
120,2026-05-15 02:00:00+00:00,2026-05-15 02:05:00+00:00,2026-05-15 03:00:00+00:00,1,target,12,46.06036980300001,46.83362347348514,0.015951546385803116,0.04785463915740935,-0.015033949125550687,0.017729562322072567,0.30435714285714255,66.14877808722751,
121,2026-05-15 03:15:00+00:00,2026-05-15 03:20:00+00:00,2026-05-15 06:20:00+00:00,1,time_open,37,46.562908449000005,45.718066384000004,-0.018965898918475586,-0.05689769675542676,-0.0315963142050605,0.007776394625275351,0.3530714285714289,75.9064859120757,
122,2026-05-15 07:20:00+00:00,2026-05-15 07:25:00+00:00,2026-05-15 10:25:00+00:00,1,time_open,37,46.238560797000005,45.48200408,-0.017184567879511822,-0.05155370363853547,-0.022875585247500455,0.012142229198371046,0.24464285714285644,52.96675698078644,
123,2026-05-17 20:15:00+00:00,2026-05-17 20:20:00+00:00,2026-05-17 23:20:00+00:00,1,time_open,37,46.455793638,45.638045264,-0.018424744449169594,-0.05527423334750878,-0.02034314741563438,0.01763410541177146,0.405857142857142,87.4560180268369,
