filter,mode,signal_count,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
slope12_same_ge_0,5m_conservative,4199,1681,0.06540469624322136,2.2772619285556224e-05,-0.9345953037567787,-0.936130874155626,0.3896490184414039,0.5940376479717115,-0.0015854525398004858,0.005953986825584019,0.006398642388072269,0.9305078272045436,-0.03892276407195153,0.04732944157303568,871,810,1.0753086419753086,0.5181439619274242,0.4818560380725758,0.40298507462686567,0.37530864197530867,0.9729512609959596,0.8751514228656322
slope12_same_ge_0,5m_optimistic,4199,1739,0.05821026501119419,1.4422281354992364e-05,-0.9417897349888058,-0.9435936784673867,0.3801035077630822,0.5706922164133826,-0.0016015086930702368,0.0056009359935118175,0.00601785000831211,0.9307204376605543,-0.03892276407195153,0.04797182187073166,901,838,1.0751789976133652,0.5181138585393904,0.48188614146060954,0.38845726970033295,0.3711217183770883,0.9703080193159466,0.8843444348940864
slope12_same_ge_0,1m_conservative,4199,1717,0.04700177089720837,6.2365023837599344e-06,-0.9529982291027916,-0.9540344625230852,0.37216074548631334,0.546775572430365,-0.0017461268711508298,0.005660320564547123,0.006136405082107222,0.9224163804067816,-0.03892276407195153,0.04732944157303568,891,826,1.0786924939467313,0.5189283634245777,0.48107163657542223,0.3782267115600449,0.36561743341404357,0.96337954726467,0.8741427541188833
slope12_same_ge_0,1m_optimistic,4199,1739,0.05821026501119419,1.4422281354992364e-05,-0.9417897349888058,-0.9435936784673867,0.3801035077630822,0.5706922164133826,-0.0016015086930702368,0.0056009359935118175,0.00601785000831211,0.9307204376605543,-0.03892276407195153,0.04797182187073166,901,838,1.0751789976133652,0.5181138585393904,0.48188614146060954,0.38845726970033295,0.3711217183770883,0.9703080193159466,0.8843444348940864
depth_atr_le_0p25,5m_conservative,3470,1557,0.06734721370286519,2.5540918043277008e-05,-0.9326527862971348,-0.9336314988360849,0.3853564547206166,0.5664684933077937,-0.0016961239352330662,0.005751088351837489,0.006365222547816486,0.903517246825931,-0.038936032438778266,0.048017164157804264,792,765,1.035294117647059,0.5086705202312138,0.4913294797687861,0.3939393939393939,0.3764705882352941,0.9215469195817978,0.8774881229886308
depth_atr_le_0p25,5m_optimistic,3470,1614,0.06250567686927251,1.9064877436124906e-05,-0.9374943231307274,-0.9379572608459046,0.379182156133829,0.5549646729768373,-0.0016835751849048157,0.005536757157040199,0.006093598531482011,0.9086186312463904,-0.038936032438778266,0.045099258441145096,827,787,1.050825921219822,0.5123915737298637,0.4876084262701363,0.3857315598548972,0.37229987293519695,0.9173025729220817,0.8962205607717035
depth_atr_le_0p25,1m_conservative,3470,1591,0.05167102993523846,9.04012011834993e-06,-0.9483289700647616,-0.9487116628014404,0.37335009428032684,0.5286105521527006,-0.0018277758483287165,0.005489877336027951,0.006187541135698686,0.8872470042024284,-0.038936032438778266,0.045099258441145096,818,773,1.0582147477360933,0.51414204902577,0.48585795097423007,0.3801955990220049,0.36610608020698576,0.898483269810085,0.8711845187567271
depth_atr_le_0p25,1m_optimistic,3470,1614,0.06250567686927251,1.9064877436124906e-05,-0.9374943231307274,-0.9379572608459046,0.379182156133829,0.5549646729768373,-0.0016835751849048157,0.005536757157040199,0.006093598531482011,0.9086186312463904,-0.038936032438778266,0.045099258441145096,827,787,1.050825921219822,0.5123915737298637,0.4876084262701363,0.3857315598548972,0.37229987293519695,0.9173025729220817,0.8962205607717035
depth_atr_le_0p50,5m_conservative,4231,1786,0.06304753458664014,1.9720957407119155e-05,-0.9369524654133599,-0.9378686935578837,0.396976483762598,0.6099683139535613,-0.001508805852166096,0.00594396117659922,0.006415037814463783,0.9265668182341121,-0.038936032438778266,0.06278539554259432,912,874,1.0434782608695652,0.5106382978723404,0.48936170212765956,0.4100877192982456,0.38329519450800914,0.953370198469047,0.891063432876165
depth_atr_le_0p50,5m_optimistic,4231,1854,0.05161452709752477,9.001432776907843e-06,-0.9483854729024752,-0.9488303360581937,0.3807982740021575,0.5820687226285779,-0.001562855771348684,0.005716014455843445,0.0060392341514860035,0.9464800192317385,-0.038936032438778266,0.06278539554259432,950,904,1.0508849557522124,0.5124056094929881,0.48759439050701187,0.391578947368421,0.3694690265486726,0.952256182978112,0.938599189663012
