label,reason,bars_held,lockout_initial_stop_breached,lockout_target_touched,lockout_mae_bps,unlock_stop_valid,unlock_target_marketable,unlock_active_stop_bps
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-92.81914122776251,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-51.6546759435023,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-65.41877504454578,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-45.98756469581315,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-60.639238034641146,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-39.38557574747052,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-45.35140950303843,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-68.91146586878409,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-84.6380116788416,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-15.034614501023984,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-111.99085521817602,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-41.16617817315108,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-36.388581996223,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-18.412622204855438,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-76.3289478508257,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-114.52894744811498,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-56.879973911993105,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-52.274431759263976,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-40.686618607553996,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-37.331496881196784,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-16.666605667201722,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-62.33634982357531,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-58.52186385723394,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-23.952473088134788,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-61.25203345831569,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-91.21650888708214,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-22.590652636441813,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,6,True,,-83.07957001346027,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-63.846800199351,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-54.35091555752295,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-20.379699738754123,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-26.350300050270874,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-78.52006937979954,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-58.217550901771425,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-42.37340123812731,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-40.657702469772,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-45.56067768490505,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-38.23517684599113,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-44.835596809065386,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-86.11548678517005,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-55.58629493824367,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-51.58637100757272,,,
