label,reason_counts,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade,trigger_atr,lock_atr,trail_atr,max_hold_bars
trigger2.5_lock1.5_trail1_max72,"{""stop_market"": 6, ""time_open_triggered"": 1, ""time_open_untriggered"": 35, ""trail_gap_open"": 20, ""trail_stop"": 67}",129.0,2.597187824312565,-0.47382917962579574,0.011766965321965946,0.7286821705426356,1.6149119668955103,0.6012970089504559,-0.18502896178922504,0.12750249747557815,2.5,1.5,1.0,72.0
trigger2.5_lock1.5_trail1_max144,"{""stop_market"": 13, ""time_open_untriggered"": 16, ""trail_gap_open"": 19, ""trail_stop"": 72}",120.0,1.899369205555029,-0.4386432691666696,0.011732727223281303,0.7833333333333333,1.5093346816865576,0.4174755502537287,-0.3111942578158864,0.12750249747557815,2.5,1.5,1.0,144.0
trigger2.5_lock1.5_trail1.5_max36,"{""stop_market"": 2, ""time_open_triggered"": 3, ""time_open_untriggered"": 65, ""trail_gap_open"": 17, ""trail_stop"": 59}",146.0,2.550541362999131,-0.26230368522868275,0.01000641257814675,0.6232876712328768,1.646460118519528,0.9951132584458685,-0.14810811847370753,0.18278077196774806,2.5,1.5,1.5,36.0
trigger2.5_lock1.5_trail1.5_max72,"{""stop_market"": 6, ""time_open_triggered"": 3, ""time_open_untriggered"": 34, ""trail_gap_open"": 16, ""trail_stop"": 60}",119.0,2.482557754087943,-0.4002622928366425,0.012693018254439109,0.7226890756302521,1.6589128677304035,0.6365595887802711,-0.18502896178922504,0.3064820866315321,2.5,1.5,1.5,72.0
trigger2.5_lock1.5_trail1.5_max144,"{""stop_market"": 11, ""time_open_untriggered"": 16, ""trail_gap_open"": 15, ""trail_stop"": 67}",109.0,2.127801611333517,-0.4386432691666695,0.013657961568184713,0.7798165137614679,1.6074018105892096,0.4538546288722474,-0.3111942578158864,0.2910614611783572,2.5,1.5,1.5,144.0
trigger2.5_lock1.5_trail2_max36,"{""stop_market"": 2, ""time_open_triggered"": 6, ""time_open_untriggered"": 64, ""trail_gap_open"": 12, ""trail_stop"": 57}",141.0,2.024971635431081,-0.3391284396632501,0.009407923445142375,0.6028368794326241,1.5640589351476046,1.0304388278619514,-0.14810811847370753,0.28535406805761865,2.5,1.5,2.0,36.0
trigger2.5_lock1.5_trail2_max72,"{""stop_market"": 6, ""time_open_triggered"": 3, ""time_open_untriggered"": 33, ""trail_gap_open"": 11, ""trail_stop"": 62}",115.0,2.074111162377651,-0.4503840446898455,0.012183890684988897,0.7217391304347827,1.609918490520783,0.6206914662248803,-0.18502896178922504,0.3064820866315321,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max144,"{""stop_market"": 12, ""time_open_untriggered"": 15, ""trail_gap_open"": 9, ""trail_stop"": 70}",106.0,1.7118669538581437,-0.4386432691666695,0.013050032107207465,0.7735849056603774,1.5720954928214972,0.4601255100940967,-0.3111942578158864,0.4226928372585801,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2.5_max36,"{""stop_market"": 2, ""time_open_triggered"": 8, ""time_open_untriggered"": 62, ""trail_gap_open"": 8, ""trail_stop"": 61}",141.0,2.2075930578491136,-0.27695764141239965,0.009803600598139202,0.6170212765957447,1.6059349287070932,0.9967871971285407,-0.14810811847370753,0.27123049844998104,2.5,1.5,2.5,36.0
trigger2.5_lock1.5_trail2.5_max72,"{""stop_market"": 5, ""time_open_triggered"": 5, ""time_open_untriggered"": 33, ""trail_gap_open"": 9, ""trail_stop"": 63}",115.0,2.3759374178956985,-0.32075155045598935,0.012862087514346959,0.7391304347826086,1.6935858232985488,0.5977361729288997,-0.18502896178922504,0.3064820866315321,2.5,1.5,2.5,72.0
trigger2.5_lock1.5_trail2.5_max144,"{""stop_market"": 11, ""time_open_triggered"": 1, ""time_open_untriggered"": 15, ""trail_gap_open"": 8, ""trail_stop"": 71}",106.0,1.6417298221593182,-0.4386432691666695,0.012680150279889469,0.7735849056603774,1.5746780140764938,0.4608813699736079,-0.3111942578158864,0.4226928372585801,2.5,1.5,2.5,144.0
trigger2.5_lock1.5_trail3_max36,"{""stop_market"": 2, ""time_open_triggered"": 10, ""time_open_untriggered"": 62, ""trail_gap_open"": 7, ""trail_stop"": 58}",139.0,1.77376213326649,-0.300316652150872,0.008967216922483884,0.6115107913669064,1.537299771460924,0.9766375018692929,-0.14810811847370753,0.27870290660188823,2.5,1.5,3.0,36.0
trigger2.5_lock1.5_trail3_max72,"{""stop_market"": 6, ""time_open_triggered"": 5, ""time_open_untriggered"": 32, ""trail_gap_open"": 8, ""trail_stop"": 62}",113.0,1.7104440102821141,-0.3871478028193722,0.011202522374440511,0.7345132743362832,1.5703246830265478,0.5675872348288727,-0.18502896178922504,0.3064820866315321,2.5,1.5,3.0,72.0
