label,month,slice_start,slice_end,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade
short_require_candle_True,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,16.0,-0.03188171153922281,-0.1377020904992744,-0.001001258738090106,0.5625,0.9486700225782351,0.7378544620052939,-0.11366724456079319,0.04787745562471993
short_require_candle_True,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,3.0,-0.02258705769927205,-0.049618971086638375,-0.007165647301206182,0.3333333333333333,0.5695461624243559,1.1390923248487117,-0.042356779891117406,0.02844323756996058
short_require_candle_True,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,13.0,0.01437911410229864,-0.08336974326685087,0.0017687046004335706,0.5384615384615384,1.121152102564525,0.9609875164838786,-0.08336974326685088,0.04343653774775277
short_require_candle_True,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,8.0,-0.09703479653226355,-0.156040854048502,-0.011706267836368403,0.375,0.5271657721909649,0.8786096203182748,-0.09627977229836662,0.04123871519885245
short_require_candle_True,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,23.0,0.16311880541324242,-0.1272652520836569,0.008171588388562377,0.4782608695652174,1.4480017496759783,1.5796382723737947,-0.09043755994940063,0.18601580928759737
short_require_candle_True,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,16.0,0.2940759409856455,-0.13720024610595527,0.01728142972564666,0.8125,2.5640225425208665,0.5916975098125077,-0.12411333068229081,0.0636267877420081
short_require_candle_True,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,6.0,0.15752948428350377,-0.039504328951260215,0.02516839700546104,0.8333333333333334,4.822628710364388,0.9645257420728776,-0.03950432895126017,0.054077215122204744
short_require_candle_True,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,29.0,1.8158005802664312,-0.056283542435296874,0.037034518242253095,0.8275862068965517,7.164279363994,1.4925582008320835,-0.05628354243529687,0.09230243912687061
short_require_candle_True,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,17.0,-0.02006533466545557,-0.3344492048211428,0.0012433017678384535,0.5882352941176471,1.0398952428549637,0.7279266699984746,-0.14810811847370753,0.08478413003940544
short_require_candle_True,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,11.0,0.1330832310112331,-0.09790398278492307,0.012192921934902089,0.6363636363636364,1.9242058739065027,1.0995462136608587,-0.056339861740838625,0.06358998082207908
short_require_candle_True,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2.0,0.01501187099554957,-0.004987412162845262,0.007556057812452832,0.5,4.030051483911143,4.030051483911143,-0.004987412162845227,0.02009952778775089
short_require_candle_True,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,37.0,0.5210507992697682,-0.21228621539536718,0.012328120757173135,0.7027027027027027,1.8958464823479195,0.8020888963779659,-0.11204445569580701,0.06096250574354524
short_require_candle_True,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,13.0,0.1877412657319999,-0.05757499094154772,0.01398762286482843,0.6923076923076923,2.270643292075749,1.0091747964781108,-0.05757499094154777,0.06704697622252558
short_htf_threshold_0p0,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
short_htf_threshold_0p0,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,17.0,-0.019180318156919784,-0.17880194405330707,-6.517303022753786e-05,0.5882352941176471,0.9966891668920794,0.6976824168244556,-0.11366724456079319,0.04787745562471993
short_htf_threshold_0p0,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,3.0,-0.02258705769927205,-0.049618971086638375,-0.007165647301206182,0.3333333333333333,0.5695461624243559,1.1390923248487117,-0.042356779891117406,0.02844323756996058
short_htf_threshold_0p0,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,14.0,0.05031498115455779,-0.08336974326685087,0.004172830404506413,0.5714285714285714,1.3078159130778026,0.980861934808352,-0.08336974326685088,0.04343653774775277
short_htf_threshold_0p0,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,7.0,-0.07127334577017885,-0.156040854048502,-0.00941595411441329,0.42857142857142855,0.6130190408875189,0.8173587211833586,-0.09627977229836662,0.04123871519885245
short_htf_threshold_0p0,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,25.0,0.07529630920202979,-0.13995696206858155,0.00467906660912648,0.44,1.2250836790522517,1.5591974097028658,-0.09043755994940063,0.21472617537964928
short_htf_threshold_0p0,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,14.0,0.22275275286679697,-0.13720024610595527,0.01564089639515463,0.7857142857142857,2.2386055765445265,0.6105287936030526,-0.12411333068229081,0.0636267877420081
short_htf_threshold_0p0,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,6.0,0.23486191285272606,0.0,0.0358632236284449,1.0,inf,inf,0.015818574374212288,0.054077215122204744
short_htf_threshold_0p0,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,28.0,1.592833320939703,-0.12542568196303483,0.03540809946437006,0.8214285714285714,6.079322167158392,1.321591775469216,-0.07326579818917425,0.09230243912687061
short_htf_threshold_0p0,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,19.0,0.109655151846203,-0.2291843094887548,0.007821703134800956,0.631578947368421,1.2822697705371844,0.7479906994800242,-0.14810811847370753,0.08478413003940544
short_htf_threshold_0p0,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,11.0,0.1330832310112331,-0.09790398278492307,0.012192921934902089,0.6363636363636364,1.9242058739065027,1.0995462136608587,-0.056339861740838625,0.06358998082207908
short_htf_threshold_0p0,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2.0,0.01501187099554957,-0.004987412162845262,0.007556057812452832,0.5,4.030051483911143,4.030051483911143,-0.004987412162845227,0.02009952778775089
short_htf_threshold_0p0,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,36.0,0.4842801309850724,-0.21228621539536718,0.011982418501940274,0.6944444444444444,1.8471922485210532,0.8127645893492635,-0.11204445569580701,0.06096250574354524
short_htf_threshold_0p0,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,14.0,0.14932530127886356,-0.06590432901252963,0.01076876451127087,0.6428571428571429,1.808656328011232,1.0048090711173512,-0.05757499094154777,0.07929874322881589
short_htf_threshold_0p5,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
short_htf_threshold_0p5,2025-06,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,17.0,-0.019180318156919784,-0.17880194405330707,-6.517303022753786e-05,0.5882352941176471,0.9966891668920794,0.6976824168244556,-0.11366724456079319,0.04787745562471993
short_htf_threshold_0p5,2025-07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,2.0,0.020644141551587003,-0.007583399582461681,0.01042991899374943,0.5,3.750723835750635,3.750723835750635,-0.007583399582461718,0.02844323756996058
short_htf_threshold_0p5,2025-08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,14.0,0.05031498115455779,-0.08336974326685087,0.004172830404506413,0.5714285714285714,1.3078159130778026,0.980861934808352,-0.08336974326685088,0.04343653774775277
short_htf_threshold_0p5,2025-09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,7.0,-0.07127334577017885,-0.156040854048502,-0.00941595411441329,0.42857142857142855,0.6130190408875189,0.8173587211833586,-0.09627977229836662,0.04123871519885245
