config_id,modes,min_trades,min_pf,min_total_return,worst_max_dd,avg_trades
pbm0p0060__long__ret100_spread250_close0p7_wick0p5__deadline9__maxholdnone,4,72,0.891733911485471,-0.05975386497925339,-0.12447100835753144,72.0
pbm0p0060__long__ret100_spread250_wick0p25__deadline9__maxholdnone,4,56,0.8811502071055586,-0.05732423620026561,-0.1298120635700145,56.0
pbm0p0060__long__ret100_spread250_wick0p5__deadline9__maxholdnone,4,75,0.8637916212580369,-0.0748161276991175,-0.12447100835753144,75.0
pbm0p0060__long__ret100_spread300__deadline9__maxholdnone,4,104,0.8355584972261008,-0.11144433670497012,-0.14754511541448023,104.5
pbm0p0060__long__ret100_spread300_close0p55__deadline9__maxholdnone,4,103,0.8478358149233236,-0.10312741250032575,-0.14754511541448023,103.5
pbm0p0060__long__ret100_spread300_close0p55_wick0p25__deadline9__maxholdnone,4,57,0.9028219574093779,-0.04839360541421456,-0.1298120635700145,57.0
pbm0p0060__long__ret100_spread300_close0p55_wick0p5__deadline9__maxholdnone,4,76,0.8816951781405807,-0.0660512099086954,-0.12447100835753144,76.0
pbm0p0060__long__ret100_spread300_close0p6__deadline9__maxholdnone,4,103,0.8478358149233236,-0.10312741250032575,-0.14754511541448023,103.5
pbm0p0060__long__ret100_spread300_close0p6_wick0p25__deadline9__maxholdnone,4,57,0.9028219574093779,-0.04839360541421456,-0.1298120635700145,57.0
pbm0p0060__long__ret100_spread300_close0p6_wick0p5__deadline9__maxholdnone,4,76,0.8816951781405807,-0.0660512099086954,-0.12447100835753144,76.0
pbm0p0060__long__ret100_spread300_close0p7__deadline9__maxholdnone,4,99,0.8385417719256409,-0.10602085116275806,-0.14035798721458015,99.5
pbm0p0060__long__ret100_spread300_close0p7_wick0p25__deadline9__maxholdnone,4,56,0.9302568754926976,-0.03687453666914031,-0.1298120635700144,56.0
pbm0p0060__long__ret100_spread300_close0p7_wick0p5__deadline9__maxholdnone,4,74,0.892954675448425,-0.05964799228259776,-0.12447100835753144,74.0
pbm0p0060__long__ret100_spread300_wick0p25__deadline9__maxholdnone,4,58,0.882639155525612,-0.057218089924873095,-0.1298120635700145,58.0
pbm0p0060__long__ret100_spread300_wick0p5__deadline9__maxholdnone,4,77,0.8651708947112317,-0.07471195102897399,-0.12447100835753144,77.0
pbm0p0060__long__ret150_spread125__deadline9__maxholdnone,4,64,1.2403478301877464,0.07490607252892922,-0.09181594726589815,64.25
pbm0p0060__long__ret150_spread125_close0p55__deadline9__maxholdnone,4,64,1.2403478301877464,0.07490607252892922,-0.09181594726589815,64.25
pbm0p0060__long__ret150_spread125_close0p55_wick0p25__deadline9__maxholdnone,4,36,1.373093761263397,0.07662702325892079,-0.06159512582408666,36.0
pbm0p0060__long__ret150_spread125_close0p55_wick0p5__deadline9__maxholdnone,4,50,1.209720919183557,0.05402134710026796,-0.07983180459971007,50.0
pbm0p0060__long__ret150_spread125_close0p6__deadline9__maxholdnone,4,64,1.2403478301877464,0.07490607252892922,-0.09181594726589815,64.25
pbm0p0060__long__ret150_spread125_close0p6_wick0p25__deadline9__maxholdnone,4,36,1.373093761263397,0.07662702325892079,-0.06159512582408666,36.0
pbm0p0060__long__ret150_spread125_close0p6_wick0p5__deadline9__maxholdnone,4,50,1.209720919183557,0.05402134710026796,-0.07983180459971007,50.0
pbm0p0060__long__ret150_spread125_close0p7__deadline9__maxholdnone,4,61,1.2286764146027969,0.0679657975497272,-0.09181594726589815,61.25
pbm0p0060__long__ret150_spread125_close0p7_wick0p25__deadline9__maxholdnone,4,35,1.4533442716753353,0.08965945007349885,-0.06159512582408688,35.0
pbm0p0060__long__ret150_spread125_close0p7_wick0p5__deadline9__maxholdnone,4,48,1.2432910100784529,0.06124779049806439,-0.07983180459971007,48.0
pbm0p0060__long__ret150_spread125_wick0p25__deadline9__maxholdnone,4,36,1.373093761263397,0.07662702325892079,-0.06159512582408666,36.0
pbm0p0060__long__ret150_spread125_wick0p5__deadline9__maxholdnone,4,50,1.209720919183557,0.05402134710026796,-0.07983180459971007,50.0
pbm0p0060__long__ret150_spread150__deadline9__maxholdnone,4,70,1.1416624511277669,0.04508867467305677,-0.09811166858916931,70.5
pbm0p0060__long__ret150_spread150_close0p55__deadline9__maxholdnone,4,69,1.1708605533138707,0.05487075547388787,-0.09811166858916931,69.5
pbm0p0060__long__ret150_spread150_close0p55_wick0p25__deadline9__maxholdnone,4,38,1.280267729372597,0.06066532578949024,-0.06159512582408688,38.0
pbm0p0060__long__ret150_spread150_close0p55_wick0p5__deadline9__maxholdnone,4,53,1.1761104379020928,0.046062864831735606,-0.08017116214560005,53.0
