emergency_mult,breakeven_trigger,lock_profit_mult,trail_start_mult,trail_distance_mult,fail_bars,fail_progress_mult,config_id,mode,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
1.0,1.0,0.25,2.0,1.0,3,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p3,1m_conservative,3791,0.001279251788278969,4.568983691344008e-12,-0.9987207482117211,-0.9987295887953531,0.29042469005539434,0.34956580538069615,-0.0017461767092897922,0.0032313219820078445,0.0037834354673264826,0.8540708596494756,-0.018613436776766707,0.03633685444119938,1941,1850,1.0491891891891891,0.5120021102611448,0.48799788973885516,0.2936630602782071,0.28702702702702704,0.8826541708887546,0.8223854778259487
1.0,1.0,0.25,2.0,1.0,3,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p3,1m_optimistic,3791,0.001314955083436888,5.08956281235028e-12,-0.9986850449165631,-0.9986941322365841,0.2909522553415985,0.35189252463673243,-0.0017388673898486662,0.003244948027240167,0.0037839374810127234,0.8575585731854368,-0.018613436776766707,0.03633685444119938,1941,1850,1.0491891891891891,0.5120021102611448,0.48799788973885516,0.2946934569809377,0.28702702702702704,0.887048258152084,0.8247003348597212
1.0,1.0,0.25,2.0,1.0,3,0.5,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p5,5m_conservative,4061,0.00025208137954987463,7.847410132101388e-15,-0.9997479186204501,-0.9997502916960462,0.2802265451859148,0.22449283022801597,-0.0020317142377945636,0.002098794944229321,0.0036398289997320184,0.5766191061129093,-0.018613436776766707,0.03781925997219416,2082,1979,1.0520464881253158,0.5126816055158828,0.48731839448411723,0.2905859750240154,0.2693279434057605,0.5722850414127926,0.5807134068911642
1.0,1.0,0.25,2.0,1.0,3,0.5,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p5,5m_optimistic,4061,0.00027631995059500643,1.1246436319162451e-14,-0.999723680049405,-0.9997262813051291,0.28342772716079784,0.22870545193044975,-0.0020091112299976907,0.0021019283267502626,0.003635161583886658,0.5782214292941866,-0.018613436776766707,0.03781925997219416,2082,1979,1.0520464881253158,0.5126816055158828,0.48731839448411723,0.29490874159462055,0.2713491662455786,0.5760528958934639,0.5796758855051701
1.0,1.0,0.25,2.0,1.0,3,0.5,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p5,1m_conservative,3929,0.0010604405453329222,2.1901501741014827e-12,-0.9989395594546671,-0.9989492364486032,0.28327818783405445,0.33676897103492237,-0.0017327702598483499,0.0031059544586573063,0.0036452349657065865,0.8520587802644577,-0.018613436776766707,0.03633685444119938,2016,1913,1.053842132775745,0.5131076609824383,0.48689233901756174,0.28918650793650796,0.2770517511761631,0.866477202717526,0.8351681031267886
1.0,1.0,0.25,2.0,1.0,3,0.5,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p5,1m_optimistic,3929,0.0010900103728811983,2.439457729029049e-12,-0.9989099896271189,-0.9989199364589474,0.2837872232120132,0.33906569536709036,-0.0017257238957526524,0.0031196367882255936,0.003645616277641687,0.855722750460083,-0.018613436776766707,0.03633685444119938,2016,1913,1.053842132775745,0.5131076609824383,0.48689233901756174,0.29017857142857145,0.2770517511761631,0.8711539619061497,0.8375646755481313
1.0,1.0,0.25,2.0,1.0,5,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail5_0p3,5m_conservative,3841,0.00029563932879744553,1.4657543501832762e-14,-0.9997043606712026,-0.9997064892359291,0.300963290809685,0.2392351847023094,-0.0021060841630586185,0.0022005783161720277,0.003960274787263694,0.5556630371329591,-0.018613436776766707,0.03781925997219416,1969,1872,1.0518162393162394,0.5126269200728977,0.4873730799271023,0.30675469781615033,0.2948717948717949,0.5659556708312207,0.5437440724800465
1.0,1.0,0.25,2.0,1.0,5,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail5_0p3,5m_optimistic,3841,0.0003257592777865633,2.1439799993877495e-14,-0.9996742407222134,-0.9996765861466563,0.30434782608695654,0.2439499182534465,-0.0020808278190872706,0.0022060535667620855,0.003956338425396364,0.5575998131507349,-0.018613436776766707,0.03781925997219416,1969,1872,1.0518162393162394,0.5126269200728977,0.4873730799271023,0.31132554596241746,0.297008547008547,0.5689066069586359,0.5443668907036259
1.0,1.0,0.25,2.0,1.0,5,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail5_0p3,1m_conservative,3693,0.0013403482727625043,5.485817015267364e-12,-0.9986596517272375,-0.9986689145331292,0.30435959924180883,0.3547296904821826,-0.0017796381991719357,0.003214404836772681,0.003964653525136026,0.810765635986412,-0.018613436776766707,0.03633685444119938,1895,1798,1.0539488320355952,0.5131329542377471,0.4868670457622529,0.30554089709762533,0.3031145717463849,0.8506507821252842,0.7676355534242801
1.0,1.0,0.25,2.0,1.0,5,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail5_0p3,1m_optimistic,3693,0.0013777567410838303,6.110857941812727e-12,-0.9986222432589161,-0.9986317645852147,0.3049011643650149,0.35705779160827555,-0.0017721349145791098,0.003227782600699609,0.003965320392648388,0.8140029760732179,-0.018613436776766707,0.03633685444119938,1895,1798,1.0539488320355952,0.5131329542377471,0.4868670457622529,0.3065963060686016,0.3031145717463849,0.8547114866487262,0.7697811412917391
