label,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,mode,pullback_buffer,signal_count,armed_rate,deadline_exit_rate,avg_retry_count,avg_reject_count
5m_conservative_pb_m0p0100,37,1.0435231368960156,1.0405209090668186,0.04352313689601561,-0.09825430047133699,0.5675675675675675,1.217342193529374,0.0013301110626659737,0.013126198395275365,0.014152253561383853,0.9274988141176184,-0.030534993377596048,0.07755944026126306,20,17,1.1764705882352942,0.5405405405405406,0.4594594594594595,0.55,0.5882352941176471,1.3352887743412727,0.6253810426319525,5m_conservative,-0.01,39,0.3783783783783784,0.6216216216216216,2.0,2.0
5m_optimistic_pb_m0p0100,37,1.0927021106591417,1.0861703872903454,0.09270211065914169,-0.10302220170802268,0.5945945945945946,1.47725896939799,0.0025728431678420025,0.013393525027045917,0.013297490225657072,1.0072220245895387,-0.030534993377596048,0.07755944026126306,20,17,1.1764705882352942,0.5405405405405406,0.4594594594594595,0.55,0.6470588235294118,1.6568591871772986,0.5726286558449251,5m_optimistic,-0.01,39,0.5945945945945946,0.40540540540540543,1.7297297297297298,1.4324324324324325
1m_conservative_pb_m0p0100,37,1.0435231368960156,1.0405209090668186,0.04352313689601561,-0.09825430047133699,0.5675675675675675,1.217342193529374,0.0013301110626659737,0.013126198395275365,0.014152253561383853,0.9274988141176184,-0.030534993377596048,0.07755944026126306,20,17,1.1764705882352942,0.5405405405405406,0.4594594594594595,0.55,0.5882352941176471,1.3352887743412727,0.6253810426319525,1m_conservative,-0.01,39,0.3783783783783784,0.6216216216216216,3.2972972972972974,2.0
1m_optimistic_pb_m0p0100,37,1.060439343766582,1.05623914750254,0.060439343766582,-0.09825430047133699,0.5945945945945946,1.2987089277813542,0.001764804002270393,0.012904439514319011,0.014573328082067578,0.8854833598509233,-0.030534993377596048,0.07755944026126306,20,17,1.1764705882352942,0.5405405405405406,0.4594594594594595,0.55,0.6470588235294118,1.3352887743412727,0.5570327701432277,1m_optimistic,-0.01,39,0.40540540540540543,0.5945945945945946,3.027027027027027,1.9189189189189189
5m_conservative_pb_m0p0125,13,0.9859696305340755,0.9869122480909018,-0.014030369465924508,-0.06472551088123213,0.5384615384615384,0.8509210576606625,-0.0009633293616790571,0.010211583151740481,0.014000727294001853,0.729360906566282,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.6666666666666666,2.1755328864641434,0.26580272481732425,5m_conservative,-0.0125,13,0.3076923076923077,0.6923076923076923,2.1538461538461537,2.1538461538461537
5m_optimistic_pb_m0p0125,13,0.9889288162374705,0.9896736658183185,-0.011071183762529468,-0.059057059860689876,0.46153846153846156,0.8832832321971138,-0.0007337919162442578,0.012031831987577393,0.011675755262377102,1.0304971042299662,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.5,3.48419528882399,0.380824348472429,5m_optimistic,-0.0125,13,0.46153846153846156,0.5384615384615384,2.0,1.7692307692307692
1m_conservative_pb_m0p0125,13,0.9859696305340755,0.9869122480909018,-0.014030369465924508,-0.06472551088123213,0.5384615384615384,0.8509210576606625,-0.0009633293616790571,0.010211583151740481,0.014000727294001853,0.729360906566282,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.6666666666666666,2.1755328864641434,0.26580272481732425,1m_conservative,-0.0125,13,0.3076923076923077,0.6923076923076923,2.1538461538461537,2.1538461538461537
1m_optimistic_pb_m0p0125,13,0.9859696305340755,0.9869122480909018,-0.014030369465924508,-0.06472551088123213,0.5384615384615384,0.8509210576606625,-0.0009633293616790571,0.010211583151740481,0.014000727294001853,0.729360906566282,-0.030534993377596048,0.021077577092108283,7,6,1.1666666666666667,0.5384615384615384,0.46153846153846156,0.42857142857142855,0.6666666666666666,2.1755328864641434,0.26580272481732425,1m_optimistic,-0.0125,13,0.3076923076923077,0.6923076923076923,2.1538461538461537,2.1538461538461537
5m_conservative_pb_m0p0150,7,1.033261614116799,1.030977701856258,0.033261614116798954,-0.05563887933126388,0.7142857142857143,2.0587074827274052,0.004818415960201748,0.013117497340481584,0.015929287490497844,0.8234829930909621,-0.029084982812558686,0.021077577092108283,3,4,0.75,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.75,6.5365753275559175,0.3361173085735165,5m_conservative,-0.015,7,0.5714285714285714,0.42857142857142855,1.4285714285714286,1.4285714285714286
5m_optimistic_pb_m0p0150,7,1.0216845218418305,1.0202033151371566,0.02168452184183045,-0.05563887933126388,0.5714285714285714,1.6308093677700266,0.003205660229807881,0.014503091979267684,0.011857582102805188,1.2231070258275198,-0.029084982812558686,0.021077577092108283,3,4,0.75,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.5,6.5365753275559175,0.663211604495044,5m_optimistic,-0.015,7,0.5714285714285714,0.42857142857142855,1.4285714285714286,1.2857142857142858
1m_conservative_pb_m0p0150,7,1.033261614116799,1.030977701856258,0.033261614116798954,-0.05563887933126388,0.7142857142857143,2.0587074827274052,0.004818415960201748,0.013117497340481584,0.015929287490497844,0.8234829930909621,-0.029084982812558686,0.021077577092108283,3,4,0.75,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.75,6.5365753275559175,0.3361173085735165,1m_conservative,-0.015,7,0.5714285714285714,0.42857142857142855,1.4285714285714286,1.4285714285714286
1m_optimistic_pb_m0p0150,7,1.033261614116799,1.030977701856258,0.033261614116798954,-0.05563887933126388,0.7142857142857143,2.0587074827274052,0.004818415960201748,0.013117497340481584,0.015929287490497844,0.8234829930909621,-0.029084982812558686,0.021077577092108283,3,4,0.75,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.75,6.5365753275559175,0.3361173085735165,1m_optimistic,-0.015,7,0.5714285714285714,0.42857142857142855,1.4285714285714286,1.4285714285714286
5m_conservative_pb_m0p0200,1,0.997226407831563,0.9974137393616289,-0.002773592168436978,-0.015383690098543679,0.0,0.0,-0.002773592168437005,0.0,0.002773592168437005,0.0,-0.002773592168437005,-0.002773592168437005,1,0,inf,1.0,0.0,0.0,0.0,0.0,0.0,5m_conservative,-0.02,1,1.0,0.0,0.0,0.0
5m_optimistic_pb_m0p0200,1,0.997226407831563,0.9974137393616289,-0.002773592168436978,-0.015383690098543679,0.0,0.0,-0.002773592168437005,0.0,0.002773592168437005,0.0,-0.002773592168437005,-0.002773592168437005,1,0,inf,1.0,0.0,0.0,0.0,0.0,0.0,5m_optimistic,-0.02,1,1.0,0.0,0.0,0.0
1m_conservative_pb_m0p0200,1,0.997226407831563,0.9974137393616289,-0.002773592168436978,-0.015383690098543679,0.0,0.0,-0.002773592168437005,0.0,0.002773592168437005,0.0,-0.002773592168437005,-0.002773592168437005,1,0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1m_conservative,-0.02,1,1.0,0.0,0.0,0.0
1m_optimistic_pb_m0p0200,1,0.997226407831563,0.9974137393616289,-0.002773592168436978,-0.015383690098543679,0.0,0.0,-0.002773592168437005,0.0,0.002773592168437005,0.0,-0.002773592168437005,-0.002773592168437005,1,0,inf,1.0,0.0,0.0,0.0,0.0,0.0,1m_optimistic,-0.02,1,1.0,0.0,0.0,0.0
