config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MS_R11999,2025-06-17 17:00:00+00:00,2025-06-17 17:05:00+00:00,2025-06-17 17:05:00+00:00,-1,38.664468462,38.53829825919905,target_limit,1,0.0024352385043377995,-0.0028337179207518362,0.009064354844149691,short
HYPE_5M_MS_R11999,2025-06-18 09:50:00+00:00,2025-06-18 09:55:00+00:00,2025-06-18 10:00:00+00:00,-1,39.866177643,39.73608601318594,target_limit,2,0.002435238504337688,-0.003395191776184096,0.005598170082884435,short
HYPE_5M_MS_R11999,2025-06-18 10:05:00+00:00,2025-06-18 10:10:00+00:00,2025-06-18 10:25:00+00:00,-1,39.634426579,39.505091201111995,target_limit,4,0.002435238504337688,-0.008881376991282568,0.0030636643312593748,short
HYPE_5M_MS_R11999,2025-06-18 10:30:00+00:00,2025-06-18 10:35:00+00:00,2025-06-18 10:45:00+00:00,-1,39.425650836,39.29699673678676,target_limit,3,0.002435238504337688,-0.004126690431437889,0.004734248694496457,short
HYPE_5M_MS_R11999,2025-06-18 13:35:00+00:00,2025-06-18 13:40:00+00:00,2025-06-18 13:40:00+00:00,-1,37.990192737,37.86622283613907,target_limit,1,0.0024352385043379106,-0.00964881459430124,0.0033743639545988913,short
HYPE_5M_MS_R11999,2025-06-18 14:30:00+00:00,2025-06-18 14:35:00+00:00,2025-06-18 14:45:00+00:00,-1,39.785264556,39.65543696241875,target_limit,3,0.002435238504337577,-0.013126288332696816,0.004003104108452726,short
HYPE_5M_MS_R11999,2025-06-18 18:00:00+00:00,2025-06-18 18:05:00+00:00,2025-06-18 18:05:00+00:00,-1,38.69843198,38.57215094717541,target_limit,1,0.002435238504337688,-0.003995375384044501,0.007840937331952347,short
HYPE_5M_MS_R11999,2025-06-18 21:05:00+00:00,2025-06-18 21:10:00+00:00,2025-06-18 21:10:00+00:00,-1,38.383769975,38.258515749747424,target_limit,1,0.002435238504337577,-0.002504868319009438,0.008278758840180811,short
HYPE_5M_MS_R11999,2025-06-18 21:20:00+00:00,2025-06-18 21:25:00+00:00,2025-06-18 22:50:00+00:00,-1,38.247915903,39.38495300679765,stop_market,18,-0.030569729706392115,-0.031921844605686825,-0.0010741525657029793,short
HYPE_5M_MS_R11999,2025-06-19 05:05:00+00:00,2025-06-19 05:10:00+00:00,2025-06-19 06:10:00+00:00,-1,38.167002816,38.0424559470748,target_limit,13,0.0024352385043377995,-0.008746391877548125,0.009065496121559602,short
