ts,outer_break_mid_exit_k1,outer_break_mid_exit_k2,compression_expansion_break_k1,compression_expansion_break_k2,trend_pullback_mid_reclaim_k1,trend_pullback_mid_reclaim_k2
2025-06-18 04:45:00+00:00,0.9453017515054862,0.927815188056483,1.0,1.0,1.0528126905020836,1.0441905274933825
2025-06-18 05:00:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 05:15:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 05:30:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 05:45:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 06:00:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 06:15:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 06:30:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 06:45:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 07:00:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 07:15:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 07:30:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 07:45:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 08:00:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 08:15:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 08:30:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 08:45:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 09:00:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 09:15:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 09:30:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 09:45:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 10:00:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 10:15:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 10:30:00+00:00,0.9439787071740792,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 10:45:00+00:00,0.9471403270999134,0.9265166179192791,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 11:00:00+00:00,0.9432952749626288,0.9214606475776258,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 11:15:00+00:00,0.9470612599128929,0.9251394605889339,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 11:30:00+00:00,0.9494792063485366,0.9275014383784278,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 11:45:00+00:00,0.9452018350902857,0.9233230762110631,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 12:00:00+00:00,0.9484766810233001,0.9265221186893284,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 12:15:00+00:00,0.9511443474746569,0.9291280361798891,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 12:30:00+00:00,0.9620459249957127,0.9397772729022588,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 12:45:00+00:00,0.9614220786510729,0.9391678668424822,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 13:00:00+00:00,0.9723377007789482,0.9498308230786016,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 13:15:00+00:00,0.9811330994881441,0.9584226330933396,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 13:30:00+00:00,0.9694513983432927,0.9470113304106569,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 13:45:00+00:00,0.9491726398474204,0.9272019680279002,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 14:00:00+00:00,0.9328608242157743,0.9112677249610102,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 14:15:00+00:00,0.9243815524476735,0.9029847244395346,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 14:30:00+00:00,0.9231108393169783,0.9017434247369127,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 14:45:00+00:00,0.9231108393169783,0.9017434247369127,1.0,1.0,1.051339173860457,1.0427290784311027
2025-06-18 15:00:00+00:00,0.9231108393169783,0.9017434247369127,1.0,1.0,1.0610602873937287,1.0427290784311027
2025-06-18 15:15:00+00:00,0.9231108393169783,0.9017434247369127,1.0,1.0,1.0538418209884415,1.0340995012145335
2025-06-18 15:30:00+00:00,0.9231108393169783,0.9017434247369127,1.0,1.0,1.058017996471706,1.0381974416247723
2025-06-18 15:45:00+00:00,0.9231108393169783,0.9017434247369127,1.0,1.0,1.0626321529980172,1.0427251580878643
2025-06-18 16:00:00+00:00,0.9231108393169783,0.9017434247369127,1.0,1.0,1.06875559425671,1.0487338848485763
2025-06-18 16:15:00+00:00,0.9248843889534389,0.9017434247369127,1.0,1.0,1.0721973308932022,1.0521111451434566
2025-06-18 16:30:00+00:00,0.9195776164650654,0.8952868845474476,1.0,1.0,1.0660453108508594,1.0460743749844572
2025-06-18 16:45:00+00:00,0.9281795297689299,0.9036615774771952,1.0,1.0,1.0760173123195127,1.0558595643169255
2025-06-18 17:00:00+00:00,0.9282276855981224,0.9037084612654895,1.0,1.0,1.0760731382715385,1.0559143444442605
2025-06-18 17:15:00+00:00,0.9296484299738271,0.9050916765407292,1.0,1.0,1.0777201747505907,1.0575305258934578
2025-06-18 17:30:00+00:00,0.9187307130140431,0.8944623521332149,1.0,1.0,1.0650635150388035,1.0451109718063698
2025-06-18 17:45:00+00:00,0.9150973147139874,0.8909249304016145,1.0,1.0,1.0608513994426045,1.040977764573237
