variant,signal_ts,entry_ts,exit_ts,direction,entry_price,exit_price,entry_atr,allocation,entry_bar,exit_bar,hold_bars,exit_reason,raw_price_return,trade_return,entry_equity,exit_equity
trend_pullback_mid_reclaim_k2,2025-07-05 01:15:00+00:00,2025-07-05 01:45:00+00:00,2025-07-05 02:45:00+00:00,-1,38.8424568,39.007596799999995,0.25977232142857126,1.0,3421,3425,4,midline_exit_next_open,-0.004251533337612967,-0.006294151649850366,0.9345666850585465,0.92868438061589
trend_pullback_mid_reclaim_k2,2025-07-06 00:00:00+00:00,2025-07-06 00:30:00+00:00,2025-07-06 00:45:00+00:00,-1,39.0923568,39.150653999999996,0.2605892857142856,1.0,3512,3513,1,midline_exit_next_open,-0.0014912684926686737,-0.0034864165256827118,0.92868438061589,0.9254466000441673
trend_pullback_mid_reclaim_k2,2025-07-07 10:30:00+00:00,2025-07-07 11:00:00+00:00,2025-07-07 12:00:00+00:00,1,39.5678208,39.5421768,0.24588839285714267,1.0,3650,3654,4,midline_exit_next_open,-0.0006481024095216226,-0.0026458068528047995,0.9254466000441673,0.9229980470878656
trend_pullback_mid_reclaim_k2,2025-07-08 13:00:00+00:00,2025-07-08 13:30:00+00:00,2025-07-08 17:15:00+00:00,-1,38.246695200000005,38.23628839999999,0.23439732142857128,1.0,3756,3771,15,midline_exit_next_open,0.0002720967117706419,-0.0020554846662163007,0.9229980470878656,0.9211008387551289
trend_pullback_mid_reclaim_k2,2025-07-09 14:45:00+00:00,2025-07-09 15:15:00+00:00,2025-07-09 15:45:00+00:00,1,38.9265644,38.8974348,0.22146726190476168,1.0,3859,3861,2,midline_exit_next_open,-0.0007483218837570638,-0.0027458259883114122,0.9211008387551289,0.9185716561342196
trend_pullback_mid_reclaim_k2,2025-07-12 12:45:00+00:00,2025-07-12 13:15:00+00:00,2025-07-12 13:30:00+00:00,1,46.062417599999996,45.7177056,0.24426934523809524,1.0,4139,4140,1,midline_exit_next_open,-0.007483584621923889,-0.00946762493626463,0.9185716561342196,0.9098749642168574
trend_pullback_mid_reclaim_k2,2025-07-14 08:45:00+00:00,2025-07-14 09:15:00+00:00,2025-07-14 09:30:00+00:00,1,48.630444399999995,48.6235428,0.2788199404761905,1.0,4315,4316,1,midline_exit_next_open,-0.00014191932821394637,-0.002140635631476817,0.9098749642168574,0.9079272534482661
trend_pullback_mid_reclaim_k2,2025-07-14 10:45:00+00:00,2025-07-14 11:15:00+00:00,2025-07-14 11:30:00+00:00,1,48.7414888,48.4576092,0.2806875000000001,1.0,4323,4324,1,midline_exit_next_open,-0.005824188119588181,-0.007811545567537048,0.9079272534482661,0.9008349383359462
trend_pullback_mid_reclaim_k2,2025-07-14 12:45:00+00:00,2025-07-14 13:15:00+00:00,2025-07-14 13:30:00+00:00,1,48.557415199999994,48.561567600000004,0.2822991071428572,1.0,4331,4332,1,midline_exit_next_open,8.551526029343393e-05,-0.0019136556847118014,0.9008349383359462,0.8991110504352126
trend_pullback_mid_reclaim_k2,2025-07-15 07:15:00+00:00,2025-07-15 07:45:00+00:00,2025-07-15 13:00:00+00:00,-1,47.7798804,47.6880676,0.29596875,1.0,4405,4426,21,midline_exit_next_open,0.001921578690264103,-0.0002814531802101117,0.8991110504352126,0.8988579927707055
trend_pullback_mid_reclaim_k2,2025-07-15 14:30:00+00:00,2025-07-15 15:00:00+00:00,2025-07-15 16:15:00+00:00,-1,47.0591688,47.7580956,0.3021130952380953,1.0,4434,4439,5,midline_exit_next_open,-0.014852085530248305,-0.01661410218324255,0.8988579927707055,0.8839242742305887
trend_pullback_mid_reclaim_k2,2025-07-15 18:15:00+00:00,2025-07-15 18:45:00+00:00,2025-07-15 19:15:00+00:00,-1,47.4190248,47.679064,0.3049449404761906,1.0,4449,4451,2,midline_exit_next_open,-0.005483858031597455,-0.007455793065666794,0.8839242742305887,0.8773339177562057
trend_pullback_mid_reclaim_k2,2025-07-16 05:00:00+00:00,2025-07-16 05:30:00+00:00,2025-07-16 05:45:00+00:00,1,47.49399,47.516985600000005,0.31090327380952393,1.0,4492,4493,1,midline_exit_next_open,0.0004841791561418507,-0.0015157887179914065,0.8773339177562057,0.8760040649017596
trend_pullback_mid_reclaim_k2,2025-07-16 06:30:00+00:00,2025-07-16 07:00:00+00:00,2025-07-16 11:00:00+00:00,1,47.742089199999995,47.5829592,0.3122157738095239,1.0,4498,4514,16,midline_exit_next_open,-0.003333117646640349,-0.005375188471727466,0.8760040649017596,0.8712953779509133
trend_pullback_mid_reclaim_k2,2025-07-17 15:45:00+00:00,2025-07-17 16:15:00+00:00,2025-07-17 21:30:00+00:00,-1,46.616346,46.8497324,0.3338110119047619,1.0,4631,4652,21,midline_exit_next_open,-0.005006535690291969,-0.008193315219176656,0.8712953779509133,0.8641565802703498
trend_pullback_mid_reclaim_k2,2025-07-17 22:15:00+00:00,2025-07-17 22:45:00+00:00,2025-07-18 02:00:00+00:00,-1,46.3304604,46.7646984,0.33922767857142866,1.0,4657,4670,13,midline_exit_next_open,-0.009372624322118828,-0.011311078569953392,0.8641565802703498,0.8543820372941696
trend_pullback_mid_reclaim_k2,2025-07-18 03:45:00+00:00,2025-07-18 04:15:00+00:00,2025-07-18 05:00:00+00:00,-1,46.0795608,46.601633199999995,0.3450699404761905,1.0,4679,4682,3,midline_exit_next_open,-0.011329804167751423,-0.013225641358303952,0.8543820372941696,0.8430822868859399
trend_pullback_mid_reclaim_k2,2025-07-18 07:00:00+00:00,2025-07-18 07:30:00+00:00,2025-07-19 02:45:00+00:00,-1,46.321464000000006,45.1650588,0.34328571428571425,1.0,4692,4769,77,midline_exit_next_open,0.024964780905888606,0.02183682647365237,0.8430822868859399,0.8614925284876781
trend_pullback_mid_reclaim_k2,2025-07-19 04:15:00+00:00,2025-07-19 04:45:00+00:00,2025-07-19 09:45:00+00:00,-1,44.727102,45.018,0.345047619047619,1.0,4777,4797,20,midline_exit_next_open,-0.006503841898811036,-0.008518476373841843,0.8614925284876781,0.8541539247375145
trend_pullback_mid_reclaim_k2,2025-07-20 22:15:00+00:00,2025-07-20 22:45:00+00:00,2025-07-21 00:15:00+00:00,1,46.1494524,45.4428156,0.33654166666666674,1.0,4945,4951,6,midline_exit_next_open,-0.015311921664318606,-0.01732944911725509,0.8541539247375145,0.839351907760472
trend_pullback_mid_reclaim_k2,2025-07-21 01:30:00+00:00,2025-07-21 02:00:00+00:00,2025-07-21 13:15:00+00:00,1,46.1524536,46.241496,0.33639285714285716,1.0,4958,5003,45,midline_exit_next_open,0.0019293102111477278,-0.00038338857948860827,0.839351907760472,0.8390301098248646
