window,slice_start,slice_end,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts
week_021_20251017_20251024,2025-10-17 10:30:00+00:00,2025-10-24 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.028081715852522,2.808171585252195,324.2138401442754,4.242138401442754,-5.49516031398769,77.77777777777779,9,1.2857142857142858,1.5879435360162333,0.32397285063726755,1.1249999999999847,-4.425000000000004,1,7,0,1,0.49210749685230226,False,False,True,True,True,False,False,2025-10-17 10:30:00+00:00,2025-10-24 10:30:00+00:00
week_022_20251024_20251031,2025-10-24 10:30:00+00:00,2025-10-31 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0694271554167425,6.942715541674249,3219.4671438577734,33.194671438577736,-2.7125566368323306,100.0,6,0.8571428571428571,inf,1.1249999999999984,1.1250000000000013,1.1249999999999847,0,6,0,0,14.475263797834781,True,True,True,True,True,True,True,2025-10-24 10:30:00+00:00,2025-10-31 10:30:00+00:00
week_023_20251031_20251107,2025-10-31 10:30:00+00:00,2025-11-07 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0457650863305659,4.576508633056586,932.8698085444945,10.328698085444945,-2.6266669103670037,100.0,4,0.5714285714285714,inf,1.1249999999999931,1.1249999999999931,1.1249999999999847,0,4,0,0,1.973672239385737,False,False,True,True,False,False,False,2025-10-31 10:30:00+00:00,2025-11-07 10:30:00+00:00
week_024_20251107_20251114,2025-11-07 10:30:00+00:00,2025-11-14 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.003510524358837,0.35105243588369195,20.063835499631843,1.2006383549963184,-5.3715407918839,75.0,8,1.1428571428571428,1.080997324047294,0.06322077829853555,1.1249999999999931,-4.425000000000004,1,6,0,1,-1.1007981945702108,False,False,True,True,True,False,False,2025-11-07 10:30:00+00:00,2025-11-14 10:30:00+00:00
week_025_20251114_20251121,2025-11-14 10:30:00+00:00,2025-11-21 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0506362737897124,5.063627378971236,1216.3007084471656,13.163007084471657,-3.004377880184328,71.42857142857143,7,1.0,8.624591195643317,0.7103993105726829,1.1250000000000013,-0.5951394841424288,0,5,0,2,2.477953045585182,False,False,True,True,True,False,False,2025-11-14 10:30:00+00:00,2025-11-21 10:30:00+00:00
week_026_20251121_20251128,2025-11-21 10:30:00+00:00,2025-11-28 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0437513905301186,4.375139053011856,834.0462751530987,9.340462751530987,-3.3984953608670487,83.33333333333334,6,0.8571428571428571,4.3172936397056665,0.7203500726988029,1.1249999999999931,-1.3028995638071719,0,5,0,1,1.8677504510229908,False,False,True,True,True,False,False,2025-11-21 10:30:00+00:00,2025-11-28 10:30:00+00:00
week_027_20251128_20251205,2025-11-28 10:30:00+00:00,2025-12-05 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0221050037895516,2.2105003789551603,212.94093589631154,3.1294093589631156,-4.985245011966921,85.71428571428571,7,1.0,1.525423728813556,0.33214285714285535,1.1249999999999847,-4.425000000000004,1,6,0,0,0.16107562645819895,False,False,True,True,True,False,False,2025-11-28 10:30:00+00:00,2025-12-05 10:30:00+00:00
week_028_20251205_20251212,2025-12-05 10:30:00+00:00,2025-12-12 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0688866101227261,6.888661012272612,3133.0429443698235,32.330429443698236,-5.025139128819333,90.0,10,1.4285714285714286,3.341306712028702,0.6756515707668701,1.1249999999999931,-2.8857883817427292,0,8,0,2,14.325757483494186,True,True,True,True,True,True,True,2025-12-05 10:30:00+00:00,2025-12-12 10:30:00+00:00
week_029_20251212_20251219,2025-12-12 10:30:00+00:00,2025-12-19 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.035352975023025,3.5352975023025035,512.7636900231334,6.127636900231335,-4.961704363781571,81.81818181818183,11,1.5714285714285714,1.6711379451861064,0.3300238196954171,1.1249999999999847,-4.425000000000004,1,8,0,2,1.0941376426767073,False,False,True,True,True,False,False,2025-12-12 10:30:00+00:00,2025-12-19 10:30:00+00:00
week_030_20251219_20251226,2025-12-19 10:30:00+00:00,2025-12-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9994899812604386,-0.05100187395613576,-2.62676793079496,0.9737323206920504,-5.384934625262671,80.0,5,0.7142857142857143,1.0169491525423733,0.015000000000000359,1.1250000000000013,-4.425000000000004,1,4,0,0,-1.3366663806171832,False,False,True,True,False,False,False,2025-12-19 10:30:00+00:00,2025-12-26 10:30:00+00:00
week_031_20251226_20260102,2025-12-26 10:30:00+00:00,2026-01-02 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0226265624999997,2.2626562499999725,221.38291935703327,3.2138291935703327,-0.4616225248038397,100.0,2,0.2857142857142857,inf,1.1249999999999931,1.1249999999999931,1.1249999999999847,0,2,0,0,-0.31219875591854906,False,False,True,True,False,False,False,2025-12-26 10:30:00+00:00,2026-01-02 10:30:00+00:00
week_032_20260102_20260109,2026-01-02 10:30:00+00:00,2026-01-09 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.057529943551785,5.752994355178509,1751.6418102176808,18.516418102176807,-3.4159090909090972,100.0,5,0.7142857142857143,inf,1.1250000000000013,1.1250000000000013,1.1250000000000013,0,5,0,0,3.5825690942397554,False,False,True,True,False,False,False,2026-01-02 10:30:00+00:00,2026-01-09 10:30:00+00:00
week_033_20260109_20260116,2026-01-09 10:30:00+00:00,2026-01-16 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9961156048411749,-0.38843951588251047,-18.378449651842043,0.8162155034815796,-4.025241657987366,40.0,5,0.7142857142857143,0.8608461685145956,-0.07274147978898829,-0.4499480889025546,-1.1908336351563322,0,2,0,3,-4.915279156284859,False,False,True,False,False,False,False,2026-01-09 10:30:00+00:00,2026-01-16 10:30:00+00:00
week_034_20260116_20260123,2026-01-16 10:30:00+00:00,2026-01-23 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0247372134351749,2.4737213435174876,257.8866542200396,3.578866542200396,-4.883827438781562,75.0,4,0.5714285714285714,3.715382624449931,0.6166536050156702,1.1249999999999931,-0.9083855799373233,0,3,0,1,-0.0337626210672185,False,False,True,True,False,False,False,2026-01-16 10:30:00+00:00,2026-01-23 10:30:00+00:00
week_035_20260123_20260130,2026-01-23 10:30:00+00:00,2026-01-30 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9284881369017501,-7.151186309824986,-97.91734919774639,0.020826508022536192,-12.86738401049753,66.66666666666666,12,1.7142857142857142,0.5615091051387375,-0.5856862660574156,1.1250000000000013,-4.425000000000004,3,8,0,1,-5.764786535473034,False,False,True,False,True,False,False,2026-01-23 10:30:00+00:00,2026-01-30 10:30:00+00:00
week_036_20260130_20260206,2026-01-30 10:30:00+00:00,2026-02-06 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9552625495896643,-4.473745041033572,-90.82019220121809,0.09179807798781908,-10.008792223934792,66.66666666666666,6,0.8571428571428571,0.5084745762711866,-0.7250000000000006,1.1250000000000013,-4.425000000000004,2,4,0,0,-4.245738699633969,False,False,True,False,True,False,False,2026-01-30 10:30:00+00:00,2026-02-06 10:30:00+00:00
week_037_20260206_20260213,2026-02-06 10:30:00+00:00,2026-02-13 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9688349918439336,-3.1165008156066376,-80.83384291403414,0.1916615708596586,-8.301561431728889,66.66666666666666,6,0.8571428571428571,0.6006356165260278,-0.49867720022643547,1.1249999999999931,-4.425000000000004,1,4,0,1,-3.482540237923495,False,False,True,False,True,False,False,2026-02-06 10:30:00+00:00,2026-02-13 10:30:00+00:00
week_038_20260213_20260220,2026-02-13 10:30:00+00:00,2026-02-20 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0482853544836226,4.828535448362259,1071.0946870261919,11.71094687026192,-1.4037020728898342,100.0,5,0.7142857142857143,inf,0.9481995083981962,1.1250000000000013,0.24099754199099227,0,4,0,1,2.464010272037629,False,False,True,True,False,False,False,2026-02-13 10:30:00+00:00,2026-02-20 10:30:00+00:00
