window,slice_start,slice_end,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts,days
rolling_90d_001_20250530_20250828,2025-05-30 10:30:00+00:00,2025-08-28 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.2228480091089515,22.284800910895154,126.24899114670373,2.2624899114670374,-14.793319825703144,73.03370786516854,89,0.9888888888888889,1.4247214918991662,0.2391708673641601,1.1250000000000013,-4.425000000000004,5,63,0,21,-0.4748811908967334,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-08-28 10:30:00+00:00,90
rolling_90d_002_20250629_20250927,2025-06-29 10:30:00+00:00,2025-09-27 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1872704410397477,18.727044103974766,100.69999047853292,2.0069999047853293,-14.793319825703154,73.52941176470588,68,0.7555555555555555,1.49885424227964,0.26376052797413596,1.1250000000000013,-4.425000000000004,2,47,0,19,-0.6152980677585305,False,False,True,True,True,False,False,2025-06-29 10:30:00+00:00,2025-09-27 10:30:00+00:00,90
rolling_90d_003_20250729_20251027,2025-07-29 10:30:00+00:00,2025-10-27 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.5847552410990229,58.47552410990229,547.9078598443131,6.479078598443131,-7.808116969830802,82.71604938271605,81,0.9,2.7420205145687655,0.578127584094829,1.1250000000000013,-4.425000000000004,2,65,0,14,1.165565492628883,False,False,True,True,True,False,False,2025-07-29 10:30:00+00:00,2025-10-27 10:30:00+00:00,90
rolling_90d_004_20250828_20251126,2025-08-28 10:30:00+00:00,2025-11-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.6490102073622324,64.90102073622323,661.315614927057,7.61315614927057,-5.495160313987679,84.93150684931507,73,0.8111111111111111,3.907917172819069,0.6940087963019465,1.1250000000000013,-4.425000000000004,2,60,0,11,1.4855569032663285,False,False,True,True,True,False,False,2025-08-28 10:30:00+00:00,2025-11-26 10:30:00+00:00,90
rolling_90d_005_20250927_20251226,2025-09-27 10:30:00+00:00,2025-12-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.668715669218393,66.8715669218393,698.9170309205351,7.989170309205352,-5.495160313987702,83.15789473684211,95,1.0555555555555556,2.5385251487247475,0.550448152512258,1.1250000000000013,-4.425000000000004,5,76,0,14,1.5536312883846273,False,False,True,True,True,False,False,2025-09-27 10:30:00+00:00,2025-12-26 10:30:00+00:00,90
rolling_90d_006_20251027_20260125,2025-10-27 10:30:00+00:00,2026-01-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.4117041651316269,41.17041651316269,305.2376920165851,4.052376920165851,-6.362067512036152,80.24691358024691,81,0.9,1.9852277922334578,0.4384211282634178,1.1250000000000013,-4.425000000000004,5,63,0,13,0.44338975553039983,False,False,True,True,True,False,False,2025-10-27 10:30:00+00:00,2026-01-25 10:30:00+00:00,90
rolling_90d_007_20251126_20260224,2025-11-26 10:30:00+00:00,2026-02-24 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1100320348481805,11.003203484818048,52.75190014716025,1.5275190014716025,-18.66807496257401,77.10843373493977,83,0.9222222222222223,1.2105417028561152,0.1435066605902039,1.1250000000000013,-4.425000000000004,9,60,0,14,-0.9391996605543294,False,False,True,True,True,False,False,2025-11-26 10:30:00+00:00,2026-02-24 10:30:00+00:00,90
rolling_90d_008_20251226_20260326,2025-12-26 10:30:00+00:00,2026-03-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1470796920696518,14.707969206965178,74.5221911959119,1.745221911959119,-18.877695407964,77.01149425287356,87,0.9666666666666667,1.2627495011533214,0.17561661143007554,1.1250000000000013,-4.425000000000004,10,65,0,12,-0.7872581026088978,False,False,True,True,True,False,False,2025-12-26 10:30:00+00:00,2026-03-26 10:30:00+00:00,90
rolling_90d_009_20260125_20260425,2026-01-25 10:30:00+00:00,2026-04-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.06010296886229,6.010296886229005,26.72749180417806,1.2672749180417806,-13.68976949211862,74.15730337078652,89,0.9888888888888889,1.1156879661585912,0.08423841289602692,1.1250000000000013,-4.425000000000004,11,64,0,14,-1.1317283081492564,False,False,True,True,True,False,False,2026-01-25 10:30:00+00:00,2026-04-25 10:30:00+00:00,90
rolling_90d_010_20260224_20260525,2026-02-24 10:30:00+00:00,2026-05-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1069221254811121,10.692212548111213,51.02253956453986,1.5102253956453986,-14.835966631080622,73.75,80,0.8888888888888888,1.211077128738862,0.1446052039913353,1.1250000000000013,-4.425000000000004,9,59,0,12,-0.9475782184195514,False,False,True,True,True,False,False,2026-02-24 10:30:00+00:00,2026-05-25 10:30:00+00:00,90
rolling_90d_011_20260326_20260624,2026-03-26 10:30:00+00:00,2026-06-24 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9815099482053337,-1.849005179466634,-7.2943903259177105,0.9270560967408229,-15.547764813126541,71.95121951219512,82,0.9111111111111111,0.9959748875269029,-0.003233247806314662,1.1250000000000013,-4.425000000000004,10,58,0,14,-1.5190010442989093,False,False,True,True,True,False,False,2026-03-26 10:30:00+00:00,2026-06-24 10:30:00+00:00,90
