strategy,symbol,asset_class,gross_contribution,net_contribution_2bps,turnover,average_abs_position
tsmom_12m,6A=F,fx,-0.00791721940864519,-0.008403974913845688,2.4337775260024865,0.09799013045577722
tsmom_12m,6B=F,fx,-0.0007091375209018488,-0.0012643516511097051,2.77607065103928,0.12586104081312097
tsmom_12m,6C=F,fx,-0.012870395394888122,-0.014012032902944763,5.708187540283206,0.1686944862733268
tsmom_12m,6E=F,fx,-0.01620503969851677,-0.017003911134940364,3.9943571821179846,0.13198617188478842
tsmom_12m,6J=F,fx,0.0221763921398769,0.021870826234723466,1.5278295257671826,0.09781915523952095
tsmom_12m,6S=F,fx,-0.015578184957416256,-0.01624103106804525,3.314230553144979,0.11654761095261648
tsmom_12m,BZ=F,commodity,-0.01618350362490607,-0.01626346090227236,0.3997863868314605,0.022688440697813117
tsmom_12m,ES=F,equity_index,0.04337537902373462,0.04326865896898028,0.5336002737716666,0.07584758139013707
tsmom_12m,GC=F,commodity,0.032173294526643546,0.03201881258172359,0.772409724599781,0.046255896861993384
tsmom_12m,HG=F,commodity,0.007576528520155335,0.0074651846831279576,0.5567191851368876,0.029518759416334715
tsmom_12m,NG=F,commodity,0.003200837728943671,0.003174634171850107,0.1310177854678185,0.009168994894264409
tsmom_12m,NKD=F,equity_index,0.03603160692490141,0.035825193364578,1.032067801617084,0.059113831989017325
tsmom_12m,NQ=F,equity_index,0.03957792738694985,0.039499058120736494,0.39434633106677286,0.05579734032455328
tsmom_12m,RTY=F,equity_index,-0.023072494057935065,-0.023298597270213925,1.1305160613942882,0.05318903936166998
tsmom_12m,SI=F,commodity,0.02640203206390227,0.026306149912997633,0.4794107545231917,0.0238539198407102
tsmom_12m,UB=F,bond,0.019035626719747522,0.018842052732447732,0.9678699364989466,0.08247645911316176
tsmom_12m,YM=F,equity_index,0.03441812948257421,0.034271749594259146,0.7318994415752884,0.08513987086992705
tsmom_12m,ZB=F,bond,0.01007360338397441,0.009715249907512715,1.79176738230849,0.10560747012263853
tsmom_12m,ZC=F,commodity,-0.0007875427747014968,-0.0009737764657218753,0.9311684551018911,0.030829634948940376
tsmom_12m,ZF=F,bond,0.02325580915015014,0.022056606406527422,5.996013718113577,0.28059651415503295
tsmom_12m,ZN=F,bond,0.011011453019410205,0.010203687544372403,4.038827375189019,0.19312988730321612
tsmom_12m,ZS=F,commodity,0.01453366769572207,0.014437166048460551,0.4825082363075997,0.03748274638965428
tsmom_12m,ZT=F,bond,0.03859964113419835,0.035773751445808875,14.129448441947378,0.6415446531215292
tsmom_12m,ZW=F,commodity,-0.01080454528995303,-0.010890873897218729,0.43164303632849543,0.023413685687593375
tsmom_1m,6A=F,fx,-0.019187189439122274,-0.020427175168713133,6.199928647954295,0.09615539616937424
tsmom_1m,6B=F,fx,0.013032216483083114,0.011654885384213455,6.886655494348298,0.12272817057360141
tsmom_1m,6C=F,fx,0.00180484923944908,-0.0002817572820011931,10.433032607251365,0.16482672220465092
tsmom_1m,6E=F,fx,0.014710551685318254,0.013242415014105509,7.340683356063726,0.1295874758338958
tsmom_1m,6J=F,fx,-0.007599738558023874,-0.008774537892706352,5.8739966734124,0.09636761641375516
tsmom_1m,6S=F,fx,0.03241547453987603,0.031152095091257707,6.31689724309162,0.11479501583942038
tsmom_1m,BZ=F,commodity,0.021577886882535237,0.02136372449406748,1.070811942338799,0.022099644866843002
tsmom_1m,ES=F,equity_index,-0.004616711001636942,-0.005457410465475635,4.203497319193469,0.07426365429069717
tsmom_1m,GC=F,commodity,0.020845867515901107,0.020426086459259727,2.098905283206899,0.04566834788710931
tsmom_1m,HG=F,commodity,0.008943982399524937,0.008645271150055835,1.493556247345514,0.02884981030985028
tsmom_1m,NG=F,commodity,-0.02162242396245208,-0.02174052611703323,0.5905107729057499,0.008905439104156275
tsmom_1m,NKD=F,equity_index,0.00995501091073119,0.009216740838799774,3.6913503596570814,0.058556474045879006
tsmom_1m,NQ=F,equity_index,-7.482990815556984e-05,-0.0006243703487355259,2.7477022028997715,0.05454542983474789
tsmom_1m,RTY=F,equity_index,-0.041826375563220324,-0.04253367068542084,3.5364756110025843,0.052347315458860406
tsmom_1m,SI=F,commodity,0.020480716608819047,0.020237088193876436,1.2181420747130605,0.02339684858908219
tsmom_1m,UB=F,bond,-0.012706127008258015,-0.01357964325608751,4.367581239147479,0.07898929193419504
tsmom_1m,YM=F,equity_index,-0.023030504663805167,-0.023998677925568954,4.840866308818941,0.08340411302786413
tsmom_1m,ZB=F,bond,-0.00742038093143834,-0.008547575726796219,5.635973976789402,0.1040825387614141
tsmom_1m,ZC=F,commodity,0.007313044008425381,0.006975180094317559,1.6893195705391137,0.03023412045625447
tsmom_1m,ZF=F,bond,-0.0030413959605184557,-0.00631609943745149,16.37351738466517,0.2753328946068054
tsmom_1m,ZN=F,bond,-0.003661614555386079,-0.005714884960746888,10.266352026804048,0.1897902998709022
tsmom_1m,ZS=F,commodity,-0.007459563940688814,-0.007904885138849262,2.2266059908022373,0.03647754149040502
tsmom_1m,ZT=F,bond,0.01855728320355806,0.011553283104834383,35.020000493618376,0.6300559004508121
tsmom_1m,ZW=F,commodity,0.0006045009245643891,0.0003516468734838075,1.2642702554029066,0.022552180329492716
tsmom_3m,6A=F,fx,0.003034059225042343,0.00246316998471661,2.8544462016286642,0.09635750311084906
tsmom_3m,6B=F,fx,-0.006334278523355333,-0.0073703908043388335,5.180561404917521,0.12313619767839118
tsmom_3m,6C=F,fx,-0.018180720483990213,-0.01975685822525766,7.880688706337234,0.16518505881193143
tsmom_3m,6E=F,fx,0.0014219308706285674,0.0004019955114276899,5.099676796004382,0.12989920201395552
tsmom_3m,6J=F,fx,0.02534658194429317,0.02489948596029542,2.2354799199887623,0.09650521480885162
tsmom_3m,6S=F,fx,0.004174750761611869,0.0032190617519177616,4.778445048470537,0.11501621179830825
tsmom_3m,BZ=F,commodity,-0.005779371372881485,-0.005906852280540222,0.6374045382936865,0.022121860740575365
