surface,month,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
30_etf_fx_proxies,2015-11,mop_tsmom,MOP 12M TSMOM,0.0,0.06396579656607138,0.06396579656607138,-0.011125389503137906,0.6316807593274166
30_etf_fx_proxies,2015-11,mop_tsmom,MOP 12M TSMOM,2.0,0.06383219368253945,0.06396579656607138,-0.011125389503138128,0.6316807593274166
30_etf_fx_proxies,2015-11,mop_tsmom,MOP 12M TSMOM,10.0,0.06329778214840975,0.06396579656607138,-0.011125389503138017,0.6316807593274166
30_etf_fx_proxies,2015-12,mop_tsmom,MOP 12M TSMOM,0.0,0.014541882466269307,0.014541882466269307,-0.031844891287040156,0.45469290286330744
30_etf_fx_proxies,2015-12,mop_tsmom,MOP 12M TSMOM,2.0,0.014448992897851065,0.014541882466269307,-0.031844891287039934,0.45469290286330744
30_etf_fx_proxies,2015-12,mop_tsmom,MOP 12M TSMOM,10.0,0.014077434624175877,0.014541882466269307,-0.0318448912870406,0.45469290286330744
30_etf_fx_proxies,2016-01,mop_tsmom,MOP 12M TSMOM,0.0,0.03876680599299065,0.03876680599299065,-0.038481787423960356,0.43732778588640037
30_etf_fx_proxies,2016-01,mop_tsmom,MOP 12M TSMOM,2.0,0.038677120912764984,0.03876680599299065,-0.03848178742396002,0.43732778588640037
30_etf_fx_proxies,2016-01,mop_tsmom,MOP 12M TSMOM,10.0,0.038318380591861434,0.03876680599299065,-0.038481787423960356,0.43732778588640037
30_etf_fx_proxies,2016-02,mop_tsmom,MOP 12M TSMOM,0.0,-0.011678878326167763,-0.011678878326167763,-0.038559833441067726,0.37374940949912927
30_etf_fx_proxies,2016-02,mop_tsmom,MOP 12M TSMOM,2.0,-0.011752899612428092,-0.011678878326167763,-0.038559833441067726,0.37374940949912927
30_etf_fx_proxies,2016-02,mop_tsmom,MOP 12M TSMOM,10.0,-0.012048984757470294,-0.011678878326167763,-0.03855983344106784,0.37374940949912927
30_etf_fx_proxies,2016-03,mop_tsmom,MOP 12M TSMOM,0.0,-0.10010973411742274,-0.10010973411742274,-0.08699623265625267,1.040393374513051
30_etf_fx_proxies,2016-03,mop_tsmom,MOP 12M TSMOM,2.0,-0.10030160599879756,-0.10010973411742274,-0.08699623265625245,1.040393374513051
30_etf_fx_proxies,2016-03,mop_tsmom,MOP 12M TSMOM,10.0,-0.10106909352429694,-0.10010973411742274,-0.08699623265625245,1.040393374513051
30_etf_fx_proxies,2016-04,mop_tsmom,MOP 12M TSMOM,0.0,-0.047833049372044245,-0.047833049372044245,-0.09378864243230944,1.7956140617704772
30_etf_fx_proxies,2016-04,mop_tsmom,MOP 12M TSMOM,2.0,-0.04817182170835055,-0.047833049372044245,-0.09378864243230911,1.7956140617704772
30_etf_fx_proxies,2016-04,mop_tsmom,MOP 12M TSMOM,10.0,-0.04952691105357698,-0.047833049372044245,-0.09378864243230944,1.7956140617704772
30_etf_fx_proxies,2016-05,mop_tsmom,MOP 12M TSMOM,0.0,-0.013304047795875129,-0.013304047795875129,-0.05110579767188572,0.7813291967218525
30_etf_fx_proxies,2016-05,mop_tsmom,MOP 12M TSMOM,2.0,-0.013459266891081345,-0.013304047795875129,-0.05110579767188561,0.7813291967218525
30_etf_fx_proxies,2016-05,mop_tsmom,MOP 12M TSMOM,10.0,-0.014080143271907097,-0.013304047795875129,-0.0511057976718855,0.7813291967218525
30_etf_fx_proxies,2016-06,mop_tsmom,MOP 12M TSMOM,0.0,0.03512006292233982,0.03512006292233982,-0.048344183090362924,0.5720936273598397
30_etf_fx_proxies,2016-06,mop_tsmom,MOP 12M TSMOM,2.0,0.03500124756237222,0.03512006292233982,-0.048344183090363035,0.5720936273598397
30_etf_fx_proxies,2016-06,mop_tsmom,MOP 12M TSMOM,10.0,0.034525986122500685,0.03512006292233982,-0.048344183090363035,0.5720936273598397
30_etf_fx_proxies,2016-07,mop_tsmom,MOP 12M TSMOM,0.0,0.013452665998081592,0.013452665998081592,-0.038976613976063335,0.8474700958087045
30_etf_fx_proxies,2016-07,mop_tsmom,MOP 12M TSMOM,2.0,0.013282124727451272,0.013452665998081592,-0.03897661397606356,0.8474700958087045
30_etf_fx_proxies,2016-07,mop_tsmom,MOP 12M TSMOM,10.0,0.012599959644930214,0.013452665998081592,-0.038976613976063335,0.8474700958087045
30_etf_fx_proxies,2016-08,mop_tsmom,MOP 12M TSMOM,0.0,-0.011487114111167318,-0.011487114111167318,-0.018856344561972938,1.027314745499988
30_etf_fx_proxies,2016-08,mop_tsmom,MOP 12M TSMOM,2.0,-0.011690583959548473,-0.011487114111167318,-0.018856344561972604,1.027314745499988
30_etf_fx_proxies,2016-08,mop_tsmom,MOP 12M TSMOM,10.0,-0.012504463353074757,-0.011487114111167318,-0.018856344561972826,1.027314745499988
30_etf_fx_proxies,2016-09,mop_tsmom,MOP 12M TSMOM,0.0,0.011537357564941786,0.011537357564941786,-0.04211179607352078,1.0174050644589159
30_etf_fx_proxies,2016-09,mop_tsmom,MOP 12M TSMOM,2.0,0.01133245799318816,0.011537357564941786,-0.04211179607352089,1.0174050644589159
30_etf_fx_proxies,2016-09,mop_tsmom,MOP 12M TSMOM,10.0,0.010512859706172328,0.011537357564941786,-0.04211179607352089,1.0174050644589159
30_etf_fx_proxies,2016-10,mop_tsmom,MOP 12M TSMOM,0.0,-0.03389108577982802,-0.03389108577982802,-0.04156169141932842,0.6397608535867041
30_etf_fx_proxies,2016-10,mop_tsmom,MOP 12M TSMOM,2.0,-0.034015047276188204,-0.03389108577982802,-0.041561691419328195,0.6397608535867041
30_etf_fx_proxies,2016-10,mop_tsmom,MOP 12M TSMOM,10.0,-0.034510893261630815,-0.03389108577982802,-0.041561691419328306,0.6397608535867041
30_etf_fx_proxies,2016-11,mop_tsmom,MOP 12M TSMOM,0.0,-0.02268799171057334,-0.02268799171057334,-0.02937943934979126,1.4040248416431393
