source,scope,year,factor,label,return
updated,updated_post_paper_2010_latest,2014,TSMOM^FI,Fixed income,0.2632101412002785
updated,updated_post_paper_2010_latest,2014,TSMOM^CM,Commodities,0.1392236039853234
updated,updated_post_paper_2010_latest,2015,TSMOM,Diversified,0.18136783298011894
updated,updated_post_paper_2010_latest,2015,TSMOM^EQ,Equity indices,-0.03630970923673704
updated,updated_post_paper_2010_latest,2015,TSMOM^FX,Currencies,0.2734375042122512
updated,updated_post_paper_2010_latest,2015,TSMOM^FI,Fixed income,0.13466493260062773
updated,updated_post_paper_2010_latest,2015,TSMOM^CM,Commodities,0.21463702115464134
updated,updated_post_paper_2010_latest,2016,TSMOM,Diversified,-0.11125247631196
updated,updated_post_paper_2010_latest,2016,TSMOM^EQ,Equity indices,-0.209446212297145
updated,updated_post_paper_2010_latest,2016,TSMOM^FX,Currencies,-0.003732588223024469
updated,updated_post_paper_2010_latest,2016,TSMOM^FI,Fixed income,0.14547272734181482
updated,updated_post_paper_2010_latest,2016,TSMOM^CM,Commodities,-0.25698659217413555
updated,updated_post_paper_2010_latest,2017,TSMOM,Diversified,0.06625850976020309
updated,updated_post_paper_2010_latest,2017,TSMOM^EQ,Equity indices,0.6076224421238414
updated,updated_post_paper_2010_latest,2017,TSMOM^FX,Currencies,-0.0033835664458375936
updated,updated_post_paper_2010_latest,2017,TSMOM^FI,Fixed income,-0.07771258238233991
updated,updated_post_paper_2010_latest,2017,TSMOM^CM,Commodities,0.003955221765354455
updated,updated_post_paper_2010_latest,2018,TSMOM,Diversified,-0.0900541390467039
updated,updated_post_paper_2010_latest,2018,TSMOM^EQ,Equity indices,-0.0953100780912216
updated,updated_post_paper_2010_latest,2018,TSMOM^FX,Currencies,-0.14446322041401383
updated,updated_post_paper_2010_latest,2018,TSMOM^FI,Fixed income,-0.09313245424851613
updated,updated_post_paper_2010_latest,2018,TSMOM^CM,Commodities,-0.08248352321698194
updated,updated_post_paper_2010_latest,2019,TSMOM,Diversified,0.031765801263941684
updated,updated_post_paper_2010_latest,2019,TSMOM^EQ,Equity indices,-0.07855250239165834
updated,updated_post_paper_2010_latest,2019,TSMOM^FX,Currencies,0.043970665921878815
updated,updated_post_paper_2010_latest,2019,TSMOM^FI,Fixed income,0.4296623859209845
updated,updated_post_paper_2010_latest,2019,TSMOM^CM,Commodities,-0.13722251216663128
updated,updated_post_paper_2010_latest,2020,TSMOM,Diversified,-0.06735549983509381
updated,updated_post_paper_2010_latest,2020,TSMOM^EQ,Equity indices,-0.6183078818987744
updated,updated_post_paper_2010_latest,2020,TSMOM^FX,Currencies,0.000584733350884159
updated,updated_post_paper_2010_latest,2020,TSMOM^FI,Fixed income,0.3332788975189349
updated,updated_post_paper_2010_latest,2020,TSMOM^CM,Commodities,-0.039476349996953486
updated,updated_post_paper_2010_latest,2021,TSMOM,Diversified,-0.04562844522903153
updated,updated_post_paper_2010_latest,2021,TSMOM^EQ,Equity indices,0.4727099397536303
