surface,year,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
30_etf_fx_proxies,2024,mop_tsmom,MOP 12M TSMOM,0.0,0.1334851168263782,0.1334851168263782,-0.10027028952634875,14.112274784568534
30_etf_fx_proxies,2024,mop_tsmom,MOP 12M TSMOM,2.0,0.13027721083892607,0.1334851168263782,-0.10041937805474055,14.112274784568534
30_etf_fx_proxies,2024,mop_tsmom,MOP 12M TSMOM,10.0,0.11752683267082209,0.1334851168263782,-0.10101573216830673,14.112274784568534
30_etf_fx_proxies,2025,mop_tsmom,MOP 12M TSMOM,0.0,0.28887171843495096,0.28887171843495096,-0.05974679636564151,13.514652281172594
30_etf_fx_proxies,2025,mop_tsmom,MOP 12M TSMOM,2.0,0.2853849902231498,0.28887171843495096,-0.06020673791191855,13.514652281172594
30_etf_fx_proxies,2025,mop_tsmom,MOP 12M TSMOM,10.0,0.27152276731613,0.28887171843495096,-0.06204553280786995,13.514652281172594
30_etf_fx_proxies,2026,mop_tsmom,MOP 12M TSMOM,0.0,0.12101828821958538,0.12101828821958538,-0.12357646047227155,7.035473256537267
30_etf_fx_proxies,2026,mop_tsmom,MOP 12M TSMOM,2.0,0.11944065148328398,0.12101828821958538,-0.12366428559483589,7.035473256537267
30_etf_fx_proxies,2026,mop_tsmom,MOP 12M TSMOM,10.0,0.11314848296667868,0.12101828821958538,-0.12401558608509444,7.035473256537267
30_etf_fx_proxies,2013,always_long,Always-long control,0.0,-0.05404385375894638,-0.05404385375894638,-0.19501824723973815,6.584172692602464
30_etf_fx_proxies,2013,always_long,Always-long control,2.0,-0.05528743087203447,-0.05404385375894638,-0.19544496612665507,6.584172692602464
30_etf_fx_proxies,2013,always_long,Always-long control,10.0,-0.060247270744692716,-0.05404385375894638,-0.1974716196197941,6.584172692602464
30_etf_fx_proxies,2014,always_long,Always-long control,0.0,-0.15322876714253286,-0.15322876714253286,-0.29334518599946946,5.429864870207392
30_etf_fx_proxies,2014,always_long,Always-long control,2.0,-0.15415355334646041,-0.15322876714253286,-0.29377029216836514,5.429864870207392
30_etf_fx_proxies,2014,always_long,Always-long control,10.0,-0.15784360245989104,-0.15322876714253286,-0.29546869282628874,5.429864870207392
30_etf_fx_proxies,2015,always_long,Always-long control,0.0,-0.19984723841057683,-0.19984723841057683,-0.2562653004343619,3.3707100908132723
30_etf_fx_proxies,2015,always_long,Always-long control,2.0,-0.2003876577820215,-0.19984723841057683,-0.25648124541268225,3.3707100908132723
30_etf_fx_proxies,2015,always_long,Always-long control,10.0,-0.20254606609126224,-0.19984723841057683,-0.2573445020160996,3.3707100908132723
30_etf_fx_proxies,2016,always_long,Always-long control,0.0,0.09273014379327726,0.09273014379327726,-0.12561391543477418,3.105367510792838
30_etf_fx_proxies,2016,always_long,Always-long control,2.0,0.09205211573862915,0.09273014379327726,-0.12576835458443425,3.105367510792838
30_etf_fx_proxies,2016,always_long,Always-long control,10.0,0.08934381178237194,0.09273014379327726,-0.12638593304160017,3.105367510792838
30_etf_fx_proxies,2017,always_long,Always-long control,0.0,0.3771145252625887,0.3771145252625887,-0.06632925499617714,3.2782941327948842
30_etf_fx_proxies,2017,always_long,Always-long control,2.0,0.37621459811873104,0.3771145252625887,-0.06638180135720573,3.2782941327948842
30_etf_fx_proxies,2017,always_long,Always-long control,10.0,0.372620234406261,0.3771145252625887,-0.06659198680132083,3.2782941327948842
30_etf_fx_proxies,2018,always_long,Always-long control,0.0,-0.14931677177279057,-0.14931677177279057,-0.2926906435493286,4.968232318695728
30_etf_fx_proxies,2018,always_long,Always-long control,2.0,-0.15016036224948293,-0.14931677177279057,-0.2933491701219505,4.968232318695728
30_etf_fx_proxies,2018,always_long,Always-long control,10.0,-0.15352724463537226,-0.14931677177279057,-0.29597785513976416,4.968232318695728
30_etf_fx_proxies,2019,always_long,Always-long control,0.0,0.4389733883788165,0.4389733883788165,-0.06862553272789385,4.21247792508076
30_etf_fx_proxies,2019,always_long,Always-long control,2.0,0.4377608060454352,0.4389733883788165,-0.06867162253205505,4.21247792508076
30_etf_fx_proxies,2019,always_long,Always-long control,10.0,0.43291975427980556,0.4389733883788165,-0.06885598174869911,4.21247792508076
30_etf_fx_proxies,2020,always_long,Always-long control,0.0,-0.017875389079938353,-0.017875389079938353,-0.45366081603011443,6.74002654974698
30_etf_fx_proxies,2020,always_long,Always-long control,2.0,-0.019202342156327656,-0.017875389079938353,-0.45376865460740257,6.74002654974698
30_etf_fx_proxies,2020,always_long,Always-long control,10.0,-0.02449549603154222,-0.017875389079938353,-0.4541999207166266,6.74002654974698
30_etf_fx_proxies,2021,always_long,Always-long control,0.0,0.15102342711155425,0.15102342711155425,-0.10361229721106757,5.852618989187331
30_etf_fx_proxies,2021,always_long,Always-long control,2.0,0.14968316307579954,0.15102342711155425,-0.10381607788306879,5.852618989187331
30_etf_fx_proxies,2021,always_long,Always-long control,10.0,0.14433609912047074,0.15102342711155425,-0.10463120057107511,5.852618989187331
30_etf_fx_proxies,2022,always_long,Always-long control,0.0,-0.20768902918189946,-0.20768902918189946,-0.3155110335295873,3.3659821394092733
30_etf_fx_proxies,2022,always_long,Always-long control,2.0,-0.20822009043621914,-0.20768902918189946,-0.3159000209559447,3.3659821394092733
30_etf_fx_proxies,2022,always_long,Always-long control,10.0,-0.21034119569269571,-0.20768902918189946,-0.31745409802276636,3.3659821394092733
