strategy,symbol,asset_class,gross_contribution,net_contribution_2bps,turnover,average_abs_position,surface
mop_tsmom,ZW=F,commodity,-0.022133677161294926,-0.02234010119179136,1.0321201524821937,0.052157322644445905,24_yahoo_continuous_futures
always_long,CORN,commodity,-0.04495896694713724,-0.0451389464648859,0.8998975887432934,0.07166441040329358,30_etf_fx_proxies
always_long,DBA,commodity,0.02771026891013225,0.027470414997333683,1.1992695639928577,0.11144413502398948,30_etf_fx_proxies
always_long,DBC,commodity,-0.005325314504134926,-0.005533083947659416,1.0388472176224315,0.08785517069837247,30_etf_fx_proxies
always_long,EEM,equity_index,0.05480413895424196,0.054623555694489886,0.9029162987603735,0.07278755671171802,30_etf_fx_proxies
always_long,EFA,equity_index,0.08847629862399935,0.08822851921903793,1.2388970248070597,0.09322936380899774,30_etf_fx_proxies
always_long,EWA,equity_index,0.04476323156814445,0.044585559426780524,0.8883607068196079,0.07368679491852566,30_etf_fx_proxies
always_long,EWC,equity_index,0.07298404674236138,0.07275104024653208,1.165032479146466,0.08907692742159716,30_etf_fx_proxies
always_long,EWG,equity_index,0.056555728819019414,0.056359390703414,0.9816905780270231,0.0752485389131741,30_etf_fx_proxies
always_long,EWJ,equity_index,0.10346476582007248,0.10324241560114984,1.1117510946132017,0.08440682281023175,30_etf_fx_proxies
always_long,EWU,equity_index,0.07909286125502134,0.07886066338564564,1.1609893468785213,0.0886760883283922,30_etf_fx_proxies
always_long,FXA,currency,-0.04825356768656224,-0.04853540262800778,1.4091747072276584,0.14088648479157012,30_etf_fx_proxies
always_long,FXB,currency,-0.030502145470184195,-0.03086279696941791,1.8032574961685703,0.16581865099312643,30_etf_fx_proxies
always_long,FXC,currency,-0.06453870091159404,-0.06491550217978187,1.8840063409391405,0.2037079208890668,30_etf_fx_proxies
always_long,FXE,currency,-0.04672130366845174,-0.047108580810438165,1.936385709932114,0.18500008952765348,30_etf_fx_proxies
always_long,FXF,currency,0.012102766870823843,0.01170912353442377,1.9682166820003624,0.17295753511495285,30_etf_fx_proxies
always_long,FXY,currency,-0.09606480216577529,-0.09648167474335383,2.0843628878927207,0.1562846252485059,30_etf_fx_proxies
always_long,GLD,commodity,0.09591402415724863,0.09569531011070073,1.0935702327394956,0.09307248764664128,30_etf_fx_proxies
always_long,IEF,bond,0.049516944728583236,0.04904310580886452,2.369194598593542,0.2334401703418098,30_etf_fx_proxies
always_long,IWM,equity_index,0.08951327927445056,0.08934144147910038,0.8591889767508715,0.07180441557861791,30_etf_fx_proxies
always_long,QQQ,equity_index,0.19565448678462022,0.19543646120177385,1.0901279142318143,0.07622582505501105,30_etf_fx_proxies
always_long,SHY,bond,0.18479951094728772,0.18075810230188424,20.207043227017422,1.420456706321263,30_etf_fx_proxies
always_long,SLV,commodity,0.04511304578518235,0.04498993711512124,0.6155433503055454,0.054134960000062196,30_etf_fx_proxies
always_long,SOYB,commodity,0.030223589128246863,0.030032925126154596,0.9533200104613361,0.08049609327756349,30_etf_fx_proxies
always_long,SPY,equity_index,0.1810191892259632,0.18072327276349393,1.4795823123462273,0.09834734222203853,30_etf_fx_proxies
always_long,TIP,bond,0.06938526249644023,0.06878356212727178,3.0085018458422144,0.2799991132966998,30_etf_fx_proxies
always_long,TLT,bond,0.03590135909292916,0.035714067778494736,0.9364565721721063,0.10231989664190919,30_etf_fx_proxies
always_long,UNG,commodity,-0.022408546608904685,-0.02248642682486427,0.38940107979794386,0.03023721353707156,30_etf_fx_proxies
always_long,USO,commodity,-0.016070369393959845,-0.016185933654988986,0.5778213051457206,0.0443782175388605,30_etf_fx_proxies
