variant,rebalance,lookback_month,eligible,status,longs,shorts,long_formation,short_formation,long_hold,short_hold,spread_hold,min_adv,median_adv
all_listed_momentum,2025-08-01,2025-07,483,traded,"DOLO,HYPER,VINE","PUMP,AGT,DMC",2.752513163314552,-0.7590904445424899,0.20685285933597805,0.1668660834610228,0.03998677587495525,21468823.088423032,130341921.31232756
all_listed_momentum,2025-09-01,2025-08,502,traded,"MYX,AIOT,BIO","BROCCOLI714,ASR,SQD",4.991777196090994,-0.5037463745530464,3.6888785028946462,0.4943820478652301,3.194496455029416,4762346.681855334,77284239.75605366
all_listed_momentum,2025-10-01,2025-09,522,traded,"MYX,M,ALPINE","NEIROETH,UXLINK,DOLO",5.5852259090220855,-0.7817010420761741,-0.5753051737593919,-0.06367328664172182,-0.5116318871176702,33506068.175097667,106369225.2770045
all_listed_momentum,2025-11-01,2025-10,554,traded,"XPIN,COAI,ZEC","ALPINE,MYX,KDA",6.20085244725837,-0.8736267818984538,-0.4277185962393623,-0.07657467413192713,-0.35114392210743517,33859509.316481665,139647316.6550913
all_listed_momentum,2025-12-01,2025-11,583,traded,"PIPPIN,ARC,TNSR","EVAA,PORT3,PTB",2.2489506040109903,-0.8042097919725854,0.28375132722893504,-0.23982343564626196,0.523574762875197,8601332.252039667,57271191.481652334
all_listed_momentum,2026-01-01,2025-12,596,traded,"LIT,RIVER,PIPPIN","SKATE,AIOT,TAKE",2.223439624008344,-0.7447952321587655,0.16339970673600476,-0.40037293831631154,0.5637726450523163,1919950.355623667,38119427.83701567
all_listed_momentum,2026-02-01,2026-01,608,traded,"BULLA,BTR,FHE","BEAT,PROM,MERL",4.295089678436529,-0.8424732743875373,-0.48608019139655684,-0.05228570626711648,-0.43379448512944035,16579160.16854,57296351.284033164
all_listed_momentum,2026-03-01,2026-02,628,traded,"POWER,SIREN,PIPPIN","BULLA,MYX,PLAY",4.62220463769217,-0.891762661023054,-0.3094347580545974,0.17712927792645772,-0.48656403598105513,10545293.263012,164268948.76490068
all_listed_momentum,2026-04-01,2026-03,640,traded,"ARIA,STO,BANANAS31","POWER,PIPPIN,BTR",2.602506161242236,-0.9075014727541446,-0.5410116563698207,-0.1329021799426352,-0.40810947642718554,18732594.983528998,52813649.30863548
all_listed_momentum,2026-05-01,2026-04,634,traded,"AIOT,币安人生,SKYAI","ARIA,TRADOOR,HIPPO",6.798126079696928,-0.7406258832845083,-0.06864384699239716,-0.2117308362900796,0.14308698929768243,1926460.3128101823,97256945.49603784
all_listed_momentum,2026-06-01,2026-05,640,traded,"LAB,PORTAL,UB","ESPORTS,NAORIS,SWARMS",5.384089880839277,-0.793948753587848,-0.24058348185286169,-0.08672728358308734,-0.15385619826977434,21084216.16287633,40295847.076110184
adv10m_momentum,2020-02-01,2020-01,2,flat,,,,,,,,,
adv10m_momentum,2020-03-01,2020-02,10,traded,"LINK,ETH,XRP","ETC,BCH,EOS",0.19999789193648684,-0.2294350091502232,-0.35841128080225526,-0.3289479229630868,-0.02946335783916848,67086345.78572,84164845.72611648
adv10m_momentum,2020-04-01,2020-03,12,traded,"XRP,BTC,BCH","LINK,XTZ,ETH",-0.2594513064863187,-0.4149399992320806,0.2370402567815392,0.6348348950126974,-0.39779463823115824,41753194.31738767,109565755.40955134
adv10m_momentum,2020-05-01,2020-04,14,traded,"XTZ,XLM,LINK","BCH,LTC,XRP",0.6697153788075448,0.18394962212690866,0.06001659842571253,-0.03494656909102156,0.09496316751673409,12102600.227383668,43424076.7102025
adv10m_momentum,2020-06-01,2020-05,13,traded,"ADA,ETH,LINK","EOS,BCH,XRP",0.2631985124170468,-0.04745332710719478,0.06677171076631701,-0.10626717253431768,0.1730388833006347,30567566.903373335,43609350.02904917
adv10m_momentum,2020-07-01,2020-06,18,traded,"VET,BAT,IOST","ETC,XTZ,XRP",0.25867528709159343,-0.15613335687157817,0.341320738553996,0.3272015860547926,0.014119152499203369,10191589.605749,20863434.551071
adv10m_momentum,2020-08-01,2020-07,22,traded,"VET,LINK,ADA","COMP,IOST,TRX",0.7793819380830257,-0.03565750178315837,0.2975954952712872,0.4951620992126791,-0.19756660394139192,17134970.60339767,53654512.01889971
adv10m_momentum,2020-09-01,2020-08,36,traded,"OMG,BAND,LEND","ADA,ETC,BCH",1.9156332218464904,-0.1061786852975413,-0.3330436611660582,-0.1741320040552251,-0.1589116571108331,37086957.60112467,82590576.83645251
adv10m_momentum,2020-10-01,2020-09,36,traded,"THETA,BNB,XMR","BAND,COMP,DEFI",0.32864629472486007,-0.4623923920696839,-0.013135754522849504,-0.315089509732425,0.3019537552095755,14773716.181462001,32352545.833341833
adv10m_momentum,2020-11-01,2020-10,37,traded,"BTC,WAVES,LTC","FLM,YFII,CRV",0.2433149948488346,-0.6356740892389674,0.7373533790031978,0.4887026779092756,0.24865070109392218,16775133.222343335,52055402.835635
adv10m_momentum,2020-12-01,2020-11,54,traded,"XRP,XLM,SUSHI","FIL,AVAX,XMR",1.6645093362990533,0.008966484775077443,-0.07468753774855615,-0.04747540339666897,-0.027212134351887178,21082795.316536665,73766434.76863833
adv10m_momentum,2021-01-01,2020-12,54,traded,"THETA,ZIL,EGLD","XRP,OMG,XLM",1.7967182798326233,-0.4716028194060897,0.47673521346416087,1.0315606798839407,-0.5548254664197798,18117997.051913332,56937060.88597133
adv10m_momentum,2021-02-01,2021-01,78,traded,"ALPHA,DOGE,FTM","ZIL,XMR,FIL",7.848887198266276,-0.12098758838340251,0.7411496619557182,0.5853737545901784,0.1557759073655398,40123246.374823965,50491494.994518995
adv10m_momentum,2021-03-01,2021-02,85,traded,"MATIC,BNB,ADA","ALPHA,CRV,1INCH",3.876958703246839,-0.3039665621401673,0.2980900865513143,0.4359421466927831,-0.13785206014146878,89328034.22689867,155810416.2862242
adv10m_momentum,2021-04-01,2021-03,92,traded,"CHZ,ANKR,FIL","UNFI,ADA,SNX",6.071327275112059,-0.11027996336024033,0.039772503566655626,0.010603137001001165,0.029169366565654463,18643241.234619997,363585962.5456092
adv10m_momentum,2021-05-01,2021-04,105,traded,"DOGE,XRP,ETC","AKRO,MTL,STORJ",2.883500095029126,-0.306880291736979,0.17933769606100883,-0.4897475237590516,0.6690852198200604,48265612.10843667,305505607.2923112
adv10m_momentum,2021-06-01,2021-05,110,traded,"MATIC,ETC,RLC","DENT,BZRX,LIT",0.9305983168381863,-0.6297759122080161,-0.3156770362310248,-0.3370440960467767,0.021367059815751932,30251818.538140003,225230805.24214992
adv10m_momentum,2021-07-01,2021-06,112,traded,"WAVES,KAVA,AXS","ICP,BAKE,ALICE",0.16659042143490566,-0.5232647970098451,2.249025249712876,0.7877298378066943,1.4612954119061818,41165992.602066666,71619715.4499545
adv10m_momentum,2021-08-01,2021-07,113,traded,"AXS,ALICE,SAND","1000SHIB,DOGE,ICP",3.52703951870996,-0.21087961876127748,0.5064836077163898,0.31243136697934665,0.19405224073704314,120778122.22072627,459899395.78305197
adv10m_momentum,2021-09-01,2021-08,116,traded,"SOL,LUNA,AVAX","IOTA,TLM,COMP",1.9355684080900097,0.07911490933987804,0.4068431757163235,-0.20416337049821368,0.6110065462145372,52392854.80338868,433753580.750095
adv10m_momentum,2021-10-01,2021-09,123,traded,"CELR,COTI,OMG","TLM,SFP,LINA",1.2707572319400253,-0.4392862147534207,-0.003175515415807998,0.6097755128345596,-0.6129510282503675,35798316.650076665,217568918.657165
adv10m_momentum,2021-11-01,2021-10,127,traded,"1000SHIB,MANA,FTM","DYDX,1000XEC,CELR",4.283999301691918,-0.2426497538858702,0.02215948247111495,-0.14595670235219751,0.16811618482331248,43520076.888443,673108159.1865702
adv10m_momentum,2021-12-01,2021-11,132,traded,"GALA,LRC,SAND","OMG,DENT,BZRX",4.06826180786625,-0.31528848986005936,-0.22130518023155354,-0.26985263080814864,0.0485474505765951,57494230.05449,962128263.0985041
adv10m_momentum,2022-01-01,2021-12,132,traded,"NEAR,LUNA,MATIC","TLM,ZEN,QTUM",0.5043889042132645,-0.48015088490732155,-0.3263483349463196,-0.3697661669186707,0.043417831972351106,49771445.79468333,448005713.248465
adv10m_momentum,2022-02-01,2022-01,134,traded,"KNC,BTCDOM,SNX","GALA,SUSHI,LIT",0.22269442902128045,-0.5507859530702031,-0.10517330746441833,0.3165343982206945,-0.42170770568511284,13970219.543243332,74412968.87106666
adv10m_momentum,2022-03-01,2022-02,87,traded,"GALA,BLZ,ARPA","DUSK,ANT,COTI",0.28708693743193714,-0.3082269216013103,0.061040175980743884,0.16512394798128163,-0.10408377200053776,44050207.514214665,67008051.930107504
adv10m_momentum,2022-04-01,2022-03,88,traded,"RUNE,BAKE,CELR","API3,ATOM,KLAY",1.4168014607831643,-0.14988084359278508,-0.5652964138548546,-0.3812764033067304,-0.18402001054812422,18737922.66942867,68708303.65843816
adv10m_momentum,2022-05-01,2022-04,89,traded,"APE,ENS,MTL","BAKE,CELR,DUSK",0.24574084680751063,-0.5936996442001118,-0.46876339270664563,-0.3556208663551832,-0.11314252635146244,28523734.647350002,106511455.18449667
adv10m_momentum,2022-06-01,2022-05,140,traded,"BEL,TRX,BTCDOM","GMT,APE,DAR",0.29989582472519155,-0.6349948573650526,-0.07396544465012782,-0.3288980438341327,0.25493259918400485,12917440.633606669,471445006.11831546
adv10m_momentum,2022-07-01,2022-06,138,traded,"UNFI,LIT,STORJ","ONE,CRV,BCH",0.36312627252899093,-0.5343685680632869,0.24888933859154394,0.5031083551893611,-0.2542190165978172,49610004.92049667,157322859.19529548
adv10m_momentum,2022-08-01,2022-07,137,traded,"OP,TRB,ETC","OGN,BTCDOM,RSR",1.6021164010835502,-0.1405719115309398,-0.22607732826547267,-0.10372671212912705,-0.12235061613634561,11729461.200686665,131311518.25540504
adv10m_momentum,2022-09-01,2022-08,136,traded,"CHZ,ANKR,BAL","FLM,HNT,FIL",0.36944811331705235,-0.42697467026907177,-0.1008529839889506,-0.0012581635419528132,-0.09959482044699779,34539757.15528,110221074.79733282
adv10m_momentum,2022-10-01,2022-09,128,traded,"XRP,REEF,RSR","KNC,BAL,JASMY",0.3941974376181565,-0.2651209298976049,-0.0852425857940486,-0.0590341879132229,-0.0262083978808257,31341946.091506563,112416313.53649935
adv10m_momentum,2022-11-01,2022-10,122,traded,"DOGE,MASK,LIT","AXS,HNT,RSR",0.8607115166922349,-0.25112079951583244,0.13377013825074524,-0.31217800673144214,0.4459481449821874,77076766.64946668,166249989.36596668
adv10m_momentum,2022-12-01,2022-11,143,traded,"MASK,BAND,LTC","FTT,SRM,SOL",0.6065504990119068,-0.7100985992158874,-0.28737496313036254,-0.0987314363717668,-0.18864352675859575,54827745.956559986,540437039.115586
adv10m_momentum,2023-01-01,2022-12,111,traded,"OCEAN,ANT,RLC","BNX,MASK,WAVES",0.14226815424573136,-0.4705570002954979,0.6601742320723148,0.7293396926509085,-0.06916546057859363,34610369.911129996,136343593.5547415
adv10m_momentum,2023-02-01,2023-01,139,traded,"APT,GALA,DYDX","CTK,ZEN,TRX",2.67680708630717,0.10787859820474943,-0.21853285102353207,0.09039979534331082,-0.30893264636684287,11732099.2081,192779121.04553032
adv10m_momentum,2023-03-01,2023-02,144,traded,"GRT,STG,FET","GMT,APT,GALA",0.6646886463753977,-0.2989116062839718,-0.16432014315761626,0.026611448542435318,-0.19093159170005158,143548019.8022133,228607467.131435
adv10m_momentum,2023-04-01,2023-03,157,traded,"CFX,SXP,MASK","HNT,BNX,COCOS",0.9694797461027015,-0.405873014339955,-0.2276088703831177,0.0822409139039267,-0.3098497842870444,15338145.74853333,154254156.55945665
adv10m_momentum,2023-05-01,2023-04,162,traded,"RNDR,INJ,CTSI","OMG,SSV,MASK",0.6642977215778697,-0.3133436556056631,-0.07470916123630263,-0.1412790791515298,0.06656991791522716,40036432.75427666,231883241.72572565
adv10m_momentum,2023-06-01,2023-05,132,traded,"LINA,TOMO,ARPA","OP,AMB,LUNA2",0.7957016499013595,-0.3453614905603222,-0.29104733678401146,-0.12179253308923428,-0.1692548036947772,10843785.116163332,256802529.91217384
adv10m_momentum,2023-07-01,2023-06,157,traded,"BCH,1000XEC,COMP","BNX,EDU,LINA",0.9613400562588564,-0.4441633566771663,-0.07701944298616144,-0.0814404375140881,0.004420994527926658,17821571.153335325,104594776.04489833
adv10m_momentum,2023-08-01,2023-07,155,traded,"STMX,XRP,MKR","CRV,MAV,1000PEPE",0.5119821023533656,-0.24651358064901852,-0.18662287977089995,-0.28299630687470845,0.0963734271038085,54167880.20084333,268772027.0462537
adv10m_momentum,2023-09-01,2023-08,155,traded,"UNFI,BLZ,LPT","WLD,COMP,GMX",1.0169604515342083,-0.4154228872355916,0.003274460461741069,0.2565495870771403,-0.25327512661539925,16564461.130446667,174855873.23449332
adv10m_momentum,2023-10-01,2023-09,146,traded,"TRB,LEVER,STORJ","CYBER,GALA,LPT",1.4229507395370742,-0.2832010117301294,0.23871583022271958,0.28330105730278116,-0.044585227080061574,60487023.812213354,158747886.93769482
adv10m_momentum,2023-11-01,2023-10,157,traded,"TRB,BLZ,ARK","LEVER,AMB,HFT",1.0306480138104028,-0.29975352955750195,-0.13195203624431373,0.07429752274298033,-0.20624955898729408,11479049.905336669,129980529.91385847
adv10m_momentum,2023-12-01,2023-11,195,traded,"RUNE,SEI,BLUR","TRB,TOMO,POLYX",1.1389041063060554,-0.2597956843913078,0.36079448299074474,0.4822000759797727,-0.12140559298902798,27891414.759126667,206097507.14168
adv10m_momentum,2024-01-01,2023-12,220,traded,"ORDI,1000BONK,ICP","UNFI,USTC,RUNE",2.3886926861110807,-0.30954724538396133,-0.19294739530302363,-0.19368539037172453,0.0007379950687008974,55941904.304646656,211618545.9517815
