year,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position,partial_year
2018,tsmom_3m,3M,0.0,252,2018-01-02T00:00:00+00:00,2018-12-31T00:00:00+00:00,0.1170155583303154,0.1170155583303154,-0.047542855974393006,6.085704593844216,0.9627030458621977,False
2019,tsmom_3m,3M,0.0,252,2019-01-02T00:00:00+00:00,2019-12-31T00:00:00+00:00,-0.08600975247862985,-0.08600975247862985,-0.15106220228949452,5.820394221250948,0.9036344261618021,False
2020,tsmom_3m,3M,0.0,253,2020-01-02T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.11311273755657547,0.11311273755657547,-0.10581711189990617,3.598659699187797,0.5673420558208137,False
2021,tsmom_3m,3M,0.0,231,2021-01-04T00:00:00+00:00,2021-11-30T00:00:00+00:00,-0.03167864198788517,-0.03167864198788517,-0.13312880749678757,2.9772966177789018,0.6248502302827291,True
1986,tsmom_3m,3M,2.0,40,1986-11-03T00:00:00+00:00,1986-12-31T00:00:00+00:00,0.0023783150844083334,0.002286604425663308,-0.03703639570676842,0.4581380138604358,0.4568165920884339,True
1987,tsmom_3m,3M,2.0,253,1987-01-02T00:00:00+00:00,1987-12-31T00:00:00+00:00,0.03697249733883323,0.03602933604410885,-0.06376706556894263,4.545728102223994,0.5304718559255328,False
1988,tsmom_3m,3M,2.0,252,1988-01-04T00:00:00+00:00,1988-12-30T00:00:00+00:00,-0.04232919103802213,-0.04322048292969016,-0.09461621423907529,4.656845792953677,0.696016476573084,False
1989,tsmom_3m,3M,2.0,252,1989-01-03T00:00:00+00:00,1989-12-29T00:00:00+00:00,-0.10552462160324627,-0.1065014449363596,-0.14663274429330408,5.463752130808706,0.7811269887956398,False
1990,tsmom_3m,3M,2.0,251,1990-01-02T00:00:00+00:00,1990-12-31T00:00:00+00:00,0.05060587660413818,0.049724655856586475,-0.08235539745727771,4.211436143158118,0.5959087017795616,False
1991,tsmom_3m,3M,2.0,252,1991-01-02T00:00:00+00:00,1991-12-31T00:00:00+00:00,-0.10846802204027373,-0.10953621072121722,-0.1601367922302218,5.985697139332399,0.7507866861477928,False
1992,tsmom_3m,3M,2.0,254,1992-01-02T00:00:00+00:00,1992-12-31T00:00:00+00:00,-0.08733082354680244,-0.08870822492736696,-0.17161015014537095,7.51025994185855,1.1319836285825442,False
1993,tsmom_3m,3M,2.0,251,1993-01-04T00:00:00+00:00,1993-12-30T00:00:00+00:00,0.07924287411925568,0.07819961481550042,-0.0960443744063254,4.848286208916529,0.9264840653408242,False
1994,tsmom_3m,3M,2.0,251,1994-01-03T00:00:00+00:00,1994-12-30T00:00:00+00:00,-0.07341302871797772,-0.07533784813361599,-0.08904966607276332,10.38441960523232,0.8863220026345369,False
1995,tsmom_3m,3M,2.0,250,1995-01-03T00:00:00+00:00,1995-12-29T00:00:00+00:00,-0.09352045316870039,-0.0963416361008902,-0.13924910520017186,15.563899651193923,1.360454094345554,False
1996,tsmom_3m,3M,2.0,251,1996-01-02T00:00:00+00:00,1996-12-31T00:00:00+00:00,0.1589160967327825,0.15798140483838963,-0.09160568626949706,4.028436647315291,1.6143613659979086,False
