month,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position
2012-11,composite_1_3_12m,Composite,0.0,22,2012-11-01T00:00:00+00:00,2012-11-30T00:00:00+00:00,-0.00038478942906505775,-0.00038478942906505775,-0.005664779287395949,0.42488737648558605,0.25191390895801663
2012-12,composite_1_3_12m,Composite,0.0,20,2012-12-03T00:00:00+00:00,2012-12-31T00:00:00+00:00,0.005985927871780872,0.005985927871780872,-0.004245847295370919,0.5062531774792456,0.2543392685212289
2013-01,composite_1_3_12m,Composite,0.0,22,2013-01-02T00:00:00+00:00,2013-01-31T00:00:00+00:00,0.0016747383386943593,0.0016747383386943593,-0.00726808778164878,0.01788958325947665,0.27222885178070555
2013-02,composite_1_3_12m,Composite,0.0,20,2013-02-01T00:00:00+00:00,2013-02-28T00:00:00+00:00,0.04508214384046161,0.04508214384046161,-0.027048687383449788,0.5844793867083398,0.8567082384890453
2013-03,composite_1_3_12m,Composite,0.0,20,2013-03-01T00:00:00+00:00,2013-03-28T00:00:00+00:00,-0.009437150178030707,-0.009437150178030707,-0.02038501207789245,0.06115462261754889,0.7955536158714963
2013-04,composite_1_3_12m,Composite,0.0,22,2013-04-01T00:00:00+00:00,2013-04-30T00:00:00+00:00,0.020809318738219895,0.020809318738219895,-0.02587683660586526,0.5009538373683928,0.29459977850310354
2013-05,composite_1_3_12m,Composite,0.0,23,2013-05-01T00:00:00+00:00,2013-05-31T00:00:00+00:00,0.025940867325058292,0.025940867325058292,-0.017544544168869525,0.1346445933956658,0.42924437189876946
2013-06,composite_1_3_12m,Composite,0.0,20,2013-06-03T00:00:00+00:00,2013-06-28T00:00:00+00:00,0.05182167329577059,0.05182167329577059,-0.012723085129389577,0.022443971326406964,0.4516883432251764
2013-07,composite_1_3_12m,Composite,0.0,23,2013-07-01T00:00:00+00:00,2013-07-31T00:00:00+00:00,-0.02854517453070249,-0.02854517453070249,-0.03917243393198733,0.04880799762565019,0.4028803455995261
2013-08,composite_1_3_12m,Composite,0.0,22,2013-08-01T00:00:00+00:00,2013-08-30T00:00:00+00:00,-0.007674026041271653,-0.007674026041271653,-0.014266705296070437,0.2623073944801796,0.1405729511193465
2013-09,composite_1_3_12m,Composite,0.0,21,2013-09-02T00:00:00+00:00,2013-09-30T00:00:00+00:00,-0.007113142145588669,-0.007113142145588669,-0.011246204439970042,0.29310938598847325,0.15253643486912677
2013-10,composite_1_3_12m,Composite,0.0,23,2013-10-01T00:00:00+00:00,2013-10-31T00:00:00+00:00,0.00029203712294578743,0.00029203712294578743,-0.008974836165546951,0.2975785754054777,0.14504214053635106
2013-11,composite_1_3_12m,Composite,0.0,21,2013-11-01T00:00:00+00:00,2013-11-29T00:00:00+00:00,0.00845025896043805,0.00845025896043805,-0.0029219004308708163,0.007919401205343818,0.15296154174169488
2013-12,composite_1_3_12m,Composite,0.0,21,2013-12-02T00:00:00+00:00,2013-12-31T00:00:00+00:00,0.018120302502533603,0.018120302502533603,-0.017377418761238217,0.34772179458716523,0.5006833363288601
2014-01,composite_1_3_12m,Composite,0.0,22,2014-01-02T00:00:00+00:00,2014-01-31T00:00:00+00:00,-0.01722943715317271,-0.01722943715317271,-0.019396020044020856,0.000632178867069455,0.5000511574617905
2014-02,composite_1_3_12m,Composite,0.0,20,2014-02-03T00:00:00+00:00,2014-02-28T00:00:00+00:00,-0.011352174823633376,-0.011352174823633376,-0.01193628971336258,0.3232680083497239,0.1767831491120667
2014-03,composite_1_3_12m,Composite,0.0,21,2014-03-03T00:00:00+00:00,2014-03-31T00:00:00+00:00,-0.006087750071186004,-0.006087750071186004,-0.014258549206207172,0.3719088464587551,0.19512569734668836
2014-04,composite_1_3_12m,Composite,0.0,21,2014-04-01T00:00:00+00:00,2014-04-30T00:00:00+00:00,-0.00118613148796054,-0.00118613148796054,-0.00732579120426935,0.3941527843420536,0.19902708699536517
2014-05,composite_1_3_12m,Composite,0.0,22,2014-05-01T00:00:00+00:00,2014-05-30T00:00:00+00:00,-0.006996273465872838,-0.006996273465872838,-0.01004760153554507,0.4164000243274854,0.21737293733212024
2014-06,composite_1_3_12m,Composite,0.0,21,2014-06-02T00:00:00+00:00,2014-06-30T00:00:00+00:00,-0.0424901822121887,-0.0424901822121887,-0.04580750826718882,0.9181280018622,0.7007550645300799
2014-07,composite_1_3_12m,Composite,0.0,23,2014-07-01T00:00:00+00:00,2014-07-31T00:00:00+00:00,-0.023918110364747447,-0.023918110364747447,-0.03001264542099147,1.4134845554768014,0.7127294909467214
2014-08,composite_1_3_12m,Composite,0.0,21,2014-08-01T00:00:00+00:00,2014-08-29T00:00:00+00:00,-0.0032362156396331665,-0.0032362156396331665,-0.014511497223129055,1.4576518152122375,0.7449223242655162
2014-09,composite_1_3_12m,Composite,0.0,22,2014-09-01T00:00:00+00:00,2014-09-30T00:00:00+00:00,-0.016850247996687884,-0.016850247996687884,-0.016788357906066476,1.0152161630996055,0.27029383883408964
2014-10,composite_1_3_12m,Composite,0.0,23,2014-10-01T00:00:00+00:00,2014-10-31T00:00:00+00:00,0.025641550775275856,0.025641550775275856,-0.04053737285722947,1.1304341228109522,0.8601402839768625
2014-11,composite_1_3_12m,Composite,0.0,20,2014-11-03T00:00:00+00:00,2014-11-28T00:00:00+00:00,0.0018790852556764825,0.0018790852556764825,-0.04527102315230158,0.009719962139911664,0.8504203218369509
2014-12,composite_1_3_12m,Composite,0.0,22,2014-12-01T00:00:00+00:00,2014-12-31T00:00:00+00:00,-0.012837620709300612,-0.012837620709300612,-0.02199932638330593,0.17707404020193773,0.6733462816350131
2015-01,composite_1_3_12m,Composite,0.0,21,2015-01-02T00:00:00+00:00,2015-01-30T00:00:00+00:00,-0.015709664532578715,-0.015709664532578715,-0.01752244703345529,0.48222841755061446,0.19111786408439885
2015-02,composite_1_3_12m,Composite,0.0,20,2015-02-02T00:00:00+00:00,2015-02-27T00:00:00+00:00,-0.03181778630353593,-0.03181778630353593,-0.0332639051941539,0.7603910728663648,0.5692732087819656
2015-03,composite_1_3_12m,Composite,0.0,22,2015-03-02T00:00:00+00:00,2015-03-31T00:00:00+00:00,0.004761458082238823,0.004761458082238823,-0.009317206465993877,0.7671451550748546,0.1978719462928887
2015-04,composite_1_3_12m,Composite,0.0,21,2015-04-01T00:00:00+00:00,2015-04-30T00:00:00+00:00,-0.0011995565851091738,-0.0011995565851091738,-0.017584947541267604,0.4381287874081502,0.6360007337010389
2015-05,composite_1_3_12m,Composite,0.0,21,2015-05-01T00:00:00+00:00,2015-05-29T00:00:00+00:00,-0.0014791133689510128,-0.0014791133689510128,-0.0086942137164433,0.4189835764995882,0.2170171572014507
2015-06,composite_1_3_12m,Composite,0.0,22,2015-06-01T00:00:00+00:00,2015-06-30T00:00:00+00:00,0.003467040836006685,0.003467040836006685,-0.005818790629992354,0.01044035446140651,0.22745751166285724
