variant,date,equity
dual_8h4_24h5,2025-07-04,0.9699829423248333
dual_8h4_24h5,2025-07-11,1.0343229050771394
dual_8h4_24h5,2025-07-18,1.2135927158384323
dual_8h4_24h5,2025-07-25,1.290416925277781
dual_8h4_24h5,2025-08-01,1.1987170511934906
dual_8h4_24h5,2025-08-08,1.2828057987681072
dual_8h4_24h5,2025-08-15,1.3007033148566534
dual_8h4_24h5,2025-08-22,1.3707393290055705
dual_8h4_24h5,2025-08-29,1.305692661364742
dual_8h4_24h5,2025-09-05,1.2948548972490566
dual_8h4_24h5,2025-09-12,1.2140102097104686
dual_8h4_24h5,2025-09-19,1.2496549999920659
dual_8h4_24h5,2025-09-26,1.2488113853270795
dual_8h4_24h5,2025-10-03,1.1451466320374708
dual_8h4_24h5,2025-10-10,1.1894993623138501
dual_8h4_24h5,2025-10-17,1.1585685704035302
dual_8h4_24h5,2025-10-24,1.7073463135576405
dual_8h4_24h5,2025-10-31,1.93581399921288
dual_8h4_24h5,2025-11-07,1.73370610347826
dual_8h4_24h5,2025-11-14,1.8849938972387994
dual_8h4_24h5,2025-11-21,1.8889246900706955
dual_8h4_24h5,2025-11-28,1.7185189766076407
dual_8h4_24h5,2025-12-05,1.8724105077411346
dual_8h4_24h5,2025-12-12,1.9904600712309917
dual_8h4_24h5,2025-12-19,1.939418231621288
dual_8h4_24h5,2025-12-26,2.08100879311861
dual_8h4_24h5,2026-01-02,1.9164451717085726
dual_8h4_24h5,2026-01-09,1.8382777665491605
dual_8h4_24h5,2026-01-16,1.9079161576275787
dual_8h4_24h5,2026-01-23,1.8266866360694292
dual_8h4_24h5,2026-01-30,1.6229487134379348
dual_8h4_24h5,2026-02-06,1.6245051816396472
dual_8h4_24h5,2026-02-13,1.9899708394762834
dual_8h4_24h5,2026-02-20,1.8267173903599385
dual_8h4_24h5,2026-02-27,2.096629937827792
dual_8h4_24h5,2026-03-06,2.292480890528767
dual_8h4_24h5,2026-03-13,2.4378123635202287
dual_8h4_24h5,2026-03-20,2.9688305146504876
dual_8h4_24h5,2026-03-27,3.2792540076570185
dual_8h4_24h5,2026-04-03,3.618786194947439
dual_8h4_24h5,2026-04-10,5.0235472272669055
dual_8h4_24h5,2026-04-17,5.297998292896172
dual_8h4_24h5,2026-04-24,5.110088082420592
dual_8h4_24h5,2026-05-01,6.067522852642535
dual_8h4_24h5,2026-05-08,5.896220955925711
dual_8h4_24h5,2026-05-15,5.9097221016836885
dual_8h4_24h5,2026-05-22,5.9153395340055095
strict_9of10,2025-05-30,1.0
strict_9of10,2025-06-06,1.0305454795442528
strict_9of10,2025-06-13,0.9895551644901859
strict_9of10,2025-06-20,0.9848561797873585
strict_9of10,2025-06-27,0.978633216771315
strict_9of10,2025-07-04,0.9305998576826746
strict_9of10,2025-07-11,0.9159492315877914
strict_9of10,2025-07-18,0.8672487523761289
strict_9of10,2025-07-25,0.8884957056946433
strict_9of10,2025-08-01,0.9600363041644812
strict_9of10,2025-08-08,1.0037172694052678
strict_9of10,2025-08-15,0.9253822975470527
strict_9of10,2025-08-22,1.0472308032203927
strict_9of10,2025-08-29,0.98717246314037
strict_9of10,2025-09-05,0.9731720643288303
strict_9of10,2025-09-12,1.1001139251463463
strict_9of10,2025-09-19,1.003245315221704
strict_9of10,2025-09-26,0.9637937676848527
strict_9of10,2025-10-03,0.9225221064432636
strict_9of10,2025-10-10,0.9225221064432636
strict_9of10,2025-10-17,0.9225221064432636
strict_9of10,2025-10-24,0.9162524099282852
strict_9of10,2025-10-31,0.9751104227462505
strict_9of10,2025-11-07,0.9435668023687062
strict_9of10,2025-11-14,0.9298408826956672
strict_9of10,2025-11-21,0.9330606991667507
strict_9of10,2025-11-28,0.8676322697341783
strict_9of10,2025-12-05,0.9076378243791026
strict_9of10,2025-12-12,0.8810910445930651
strict_9of10,2025-12-19,0.9167652898245149
strict_9of10,2025-12-26,0.9735295470615344
strict_9of10,2026-01-02,0.9432291658088331
strict_9of10,2026-01-09,0.9414085281813924
strict_9of10,2026-01-16,1.0748627643756405
strict_9of10,2026-01-23,1.0696000015756308
strict_9of10,2026-01-30,1.0696000015756308
strict_9of10,2026-02-06,1.0620382227221103
strict_9of10,2026-02-13,1.16632000561178
strict_9of10,2026-02-20,1.16632000561178
strict_9of10,2026-02-27,1.0747156391703956
strict_9of10,2026-03-06,1.0268051745692817
strict_9of10,2026-03-13,1.0396826860010164
strict_9of10,2026-03-20,1.0208030421492087
strict_9of10,2026-03-27,1.1340633614072004
strict_9of10,2026-04-03,1.1314481005527603
strict_9of10,2026-04-10,1.1818013721288099
strict_9of10,2026-04-17,1.1696611721930306
strict_9of10,2026-04-24,1.1073610803280034
strict_9of10,2026-05-01,1.1807713356000178
strict_9of10,2026-05-08,1.2550227806074643
strict_9of10,2026-05-15,1.216729579492289
strict_9of10,2026-05-22,1.2222864841503016
risk_off_2x_target003,2025-05-30,1.0
