name,fast_ema,slow_ema,overlay_filter,exit_model,exposure,month,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_staged_p2p2_dd1p5_sl1p5,30,120,v35_relaxed_adx_volume,staged_p2p2_dd1p5_sl1p5,3.0,2026-04,6,0.016267413539235553,1.0162674135392356,1.3056364501162858,-0.01927103523794449,0.8333333333333334,2.624568053642507,0.00271497614253383,0.0034351615570739104,-0.010027192655105373,0.27149321266968324,0.3941079346905094,0.009526514209527354,4,2,5,5
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_staged_p2p2_dd1p5_sl1p5,30,120,v35_relaxed_adx_volume,staged_p2p2_dd1p5_sl1p5,3.0,2026-05,9,0.018303676170353667,1.0183036761703537,1.5050236196578544,-0.04646492781101075,0.4444444444444444,1.3745980786401573,0.002175306175109826,-0.004904576206423591,-0.02034500539951805,0.5553651011312992,0.22932197416346434,0.014123120512102424,9,0,6,6
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_staged_p2p2_dd1p5_sl1p5,30,120,v35_relaxed_adx_volume,staged_p2p2_dd1p5_sl1p5,3.0,2026-06,5,-0.05155325600372551,0.9484467439962745,0.284359709471144,-0.05544472697804481,0.0,0.0,-0.010516684180904906,-0.011651992624235826,-0.017682136442967282,0.3252326316740446,0.036821705426360866,0.013416241283392893,5,0,3,3
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-04,24,-0.028112006305128334,0.9718879936948717,0.6105526421681453,-0.03193744214043215,0.25,0.43012654590663807,-0.0011828880306517277,-0.002846757750991634,-0.0038616320101829125,1.1369543047011217,0.16609199248812068,0.0030453305354769485,23,1,13,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-05,32,0.020321539351690676,1.0203215393516907,2.1198452197833424,-0.02396373998763235,0.46875,1.2644507306083823,0.0006536464524772836,-0.0014869472092258738,-0.006828654126009135,3.2720301072214726,0.2812237845369869,0.005526694758800392,32,0,19,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-06,26,-0.03076986410110194,0.9692301358988981,0.4819290752874359,-0.036803125594868424,0.34615384615384615,0.6459767908640036,-0.001172643865655596,-0.004394995565969005,-0.0068122247910258876,1.662596030019095,0.18846204668583597,0.0058415892995032645,26,0,11,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-04,24,-0.028112006305128334,0.9718879936948717,0.6105526421681453,-0.03193744214043215,0.25,0.43012654590663807,-0.0011828880306517277,-0.002846757750991634,-0.0038616320101829125,1.1369543047011217,0.16609199248812068,0.0030453305354769485,23,1,13,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-05,32,0.020321539351690676,1.0203215393516907,2.1198452197833424,-0.02396373998763235,0.46875,1.2644507306083823,0.0006536464524772836,-0.0014869472092258738,-0.006828654126009135,3.2720301072214726,0.2812237845369869,0.005526694758800392,32,0,19,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-06,26,-0.03076986410110194,0.9692301358988981,0.4819290752874359,-0.036803125594868424,0.34615384615384615,0.6459767908640036,-0.001172643865655596,-0.004394995565969005,-0.0068122247910258876,1.662596030019095,0.18846204668583597,0.0058415892995032645,26,0,11,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-04,12,0.016606699276340953,1.016606699276341,1.3125451068002254,-0.022615462900362426,0.5,1.47703561187963,0.001411482130372717,-0.0006136037656208045,-0.00922650263359703,0.5425091046088157,0.311055505085255,0.007214753082971592,8,4,8,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-05,17,0.027518817904435444,1.0275188179044354,1.6892412170243067,-0.041321323858127035,0.35294117647058826,1.2908093865916994,0.0017491089169539235,-0.0075822047992312154,-0.016042002579980227,0.898876404494382,0.2230016305468248,0.011352682767815477,17,0,9,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-06,13,-0.07387981809900757,0.9261201819009924,0.16393547120816035,-0.07387981809900757,0.3076923076923077,0.2902077112646782,-0.0058436056071456775,-0.010316118472493249,-0.013722254552577359,0.8385593979573552,0.15101077382850667,0.012874190913801384,13,0,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,2026-04,12,0.016606699276340953,1.016606699276341,1.3125451068002254,-0.022615462900362426,0.5,1.47703561187963,0.001411482130372717,-0.0006136037656208045,-0.00922650263359703,0.5425091046088157,0.311055505085255,0.007214753082971592,8,4,8,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,2026-05,17,0.027518817904435444,1.0275188179044354,1.6892412170243067,-0.041321323858127035,0.35294117647058826,1.2908093865916994,0.0017491089169539235,-0.0075822047992312154,-0.016042002579980227,0.898876404494382,0.2230016305468248,0.011352682767815477,17,0,9,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,2026-06,13,-0.07387981809900757,0.9261201819009924,0.16393547120816035,-0.07387981809900757,0.3076923076923077,0.2902077112646782,-0.0058436056071456775,-0.010316118472493249,-0.013722254552577359,0.8385593979573552,0.15101077382850667,0.012874190913801384,13,0,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2_dd1p5_sl1p5,21,72,v35_no_volume,devtrail_arm2_dd1p5_sl1p5,1.0,2026-04,19,-0.025624564458992305,0.9743754355410077,0.6381437670113913,-0.025624564458992305,0.2631578947368421,0.2970430267245781,-0.0013626656407824346,-0.0025293821469330444,-0.003877204226718832,0.9001480506662279,0.15271923895560188,0.002628050233875806,18,1,13,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2_dd1p5_sl1p5,21,72,v35_no_volume,devtrail_arm2_dd1p5_sl1p5,1.0,2026-05,26,0.02055150753563928,1.0205515075356393,2.1383394427415294,-0.01965975336135284,0.4230769230769231,1.4043538415038355,0.0008034240985864237,-0.0006685467667159593,-0.006393369368708655,2.659468674527632,0.30012919166901414,0.004751867561514689,26,0,17,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_devtrail_arm2_dd1p5_sl1p5,21,72,v35_no_volume,devtrail_arm2_dd1p5_sl1p5,1.0,2026-06,18,-0.030869832027707322,0.9691301679722927,0.480691254691964,-0.03178450863760951,0.3333333333333333,0.5020004398410616,-0.0017251343403045902,-0.004405589859594048,-0.006861127276288679,1.1512836457315447,0.1913799733197423,0.005636040839863112,18,0,8,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW96_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,96,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-04,10,0.00024281540540016522,1.0002428154054002,1.004017458087931,-0.014713769056105441,0.5,1.0189120555296982,3.162000344736492e-05,-0.0009323019249969353,-0.0041077302419250655,0.45213350497660837,0.31452881204290467,0.0036044508756045207,7,3,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW96_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,96,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-05,13,-0.005352210460799589,0.9946477895392004,0.9032532543641598,-0.029186585462775194,0.3076923076923077,0.897626813753397,-0.0003789943115545542,-0.004079710522348954,-0.008664639404016903,0.6748377793799567,0.23330150960388155,0.005755926727186583,13,0,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW96_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,96,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-06,7,-0.02437238298093769,0.9756276170190623,0.5591811446990806,-0.02437238298093769,0.14285714285714285,0.11199215101108449,-0.0035130200023489153,-0.005158059236246624,-0.006685581804158845,0.4514915345337275,0.07740169238427089,0.005839352846847874,7,0,5,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW96_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,96,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-04,10,0.00024281540540016522,1.0002428154054002,1.004017458087931,-0.014713769056105441,0.5,1.0189120555296982,3.162000344736492e-05,-0.0009323019249969353,-0.0041077302419250655,0.45213350497660837,0.31452881204290467,0.0036044508756045207,7,3,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW96_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,96,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-05,13,-0.005352210460799589,0.9946477895392004,0.9032532543641598,-0.029186585462775194,0.3076923076923077,0.897626813753397,-0.0003789943115545542,-0.004079710522348954,-0.008664639404016903,0.6748377793799567,0.23330150960388155,0.005755926727186583,13,0,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW96_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,96,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-06,7,-0.02437238298093769,0.9756276170190623,0.5591811446990806,-0.02437238298093769,0.14285714285714285,0.11199215101108449,-0.0035130200023489153,-0.005158059236246624,-0.006685581804158845,0.4514915345337275,0.07740169238427089,0.005839352846847874,7,0,5,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-04,24,-0.055670594041645316,0.9443294059583547,0.3711603502305969,-0.06304161883177728,0.25,0.43012654590663807,-0.0023657760613034554,-0.005693515501983268,-0.007723264020365825,1.1369543047011217,0.16609199248812068,0.006090661070953897,23,1,13,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-05,32,0.03941780543495654,1.0394178054349565,4.237058227058492,-0.04758065348005991,0.46875,1.2644507306083823,0.0013072929049545673,-0.0029738944184517476,-0.01365730825201827,3.2720301072214726,0.2812237845369869,0.011053389517600784,32,0,19,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_devtrail_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,devtrail_arm2p2_dd1p8_sl1p5,2.0,2026-06,26,-0.06199448159490106,0.9380055184050989,0.22429597035400448,-0.07247440927506099,0.34615384615384615,0.6459767908640036,-0.002345287731311192,-0.00878999113193801,-0.013624449582051775,1.662596030019095,0.18846204668583597,0.011683178599006529,26,0,11,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,2026-04,24,-0.055670594041645316,0.9443294059583547,0.3711603502305969,-0.06304161883177728,0.25,0.43012654590663807,-0.0023657760613034554,-0.005693515501983268,-0.007723264020365825,1.1369543047011217,0.16609199248812068,0.006090661070953897,23,1,13,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,2026-05,32,0.03941780543495654,1.0394178054349565,4.237058227058492,-0.04758065348005991,0.46875,1.2644507306083823,0.0013072929049545673,-0.0029738944184517476,-0.01365730825201827,3.2720301072214726,0.2812237845369869,0.011053389517600784,32,0,19,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW55_v35_no_volume_exhaust_arm2p2_dd1p8_sl1p5,21,55,v35_no_volume,exhaust_arm2p2_dd1p8_sl1p5,2.0,2026-06,26,-0.06199448159490106,0.9380055184050989,0.22429597035400448,-0.07247440927506099,0.34615384615384615,0.6459767908640036,-0.002345287731311192,-0.00878999113193801,-0.013624449582051775,1.662596030019095,0.18846204668583597,0.011683178599006529,26,0,11,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_staged_p2p2_dd1p5_sl1p5,21,72,v35_no_volume,staged_p2p2_dd1p5_sl1p5,1.0,2026-04,19,-0.023419246941353333,0.9765807530586467,0.663603010406821,-0.023419246941353333,0.3157894736842105,0.2499452575016805,-0.0012443300942489887,-0.0018049996480771755,-0.003877204226718832,0.9001480506662279,0.16398021528526385,0.0025097146873423607,18,1,13,10
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_staged_p2p2_dd1p5_sl1p5,21,72,v35_no_volume,staged_p2p2_dd1p5_sl1p5,1.0,2026-05,26,0.00687827768460636,1.0068782776846064,1.2918762313260448,-0.01790156911067453,0.46153846153846156,1.1493970240778444,0.0002776420929760459,-0.00045251064140480616,-0.006393369368708655,2.659468674527632,0.26799572821337714,0.005321464734259265,26,0,17,15
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_no_volume_staged_p2p2_dd1p5_sl1p5,21,72,v35_no_volume,staged_p2p2_dd1p5_sl1p5,1.0,2026-06,18,-0.031244719669241805,0.9687552803307582,0.47636603609237005,-0.031244719669241805,0.3333333333333333,0.4742157591520189,-0.0017493911782896637,-0.004405589859594048,-0.006861127276288679,1.1512836457315447,0.1942377958081237,0.005661724550670838,18,0,8,8
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,3.0,2026-04,12,0.024656966996902785,1.0246569669969028,1.4951291732793492,-0.033789343686082995,0.5,1.4770356118796302,0.0021172231955590747,-0.0009204056484312067,-0.013839753950395545,0.5425091046088157,0.311055505085255,0.010822129624457388,8,4,8,0
