name,exit_model,filter_name,fast_ema,slow_ema,exposure,slice,start,end,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,3.0,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,154,-0.5967171214383762,0.40328287856162376,5.13618882026055e-11,-0.6153658934070185,0.2792207792207792,0.2832958690535059,-0.005821673752217372,-0.007261544453356551,-0.03272270891334499,11.0,0.16138285581027711,0.013933977631484323,78,76,91,87
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,1.0,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,945,-0.7610682968522158,0.23893170314778428,0.003656153991027688,-0.7630338128878809,0.25502645502645505,0.3209876349124453,-0.0015073842280480083,-0.0017980121782272805,-0.0126035141258925,10.141298515471293,0.16591680411254983,0.003944260463673074,463,482,656,580
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,1.0,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,570,-0.5765700868840151,0.4234299131159849,0.0036461180404602413,-0.5807836689657002,0.20175438596491227,0.1917021892817759,-0.001503977085821968,-0.0017035877236699069,-0.007377014822177062,10.194956179574316,0.1648480308907353,0.0027865382029105133,280,290,409,358
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,1.0,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,184,-0.19444070246864065,0.8055592975313594,0.01444294389024472,-0.22860799962596212,0.3804347826086957,0.5968228103724783,-0.0011566510247285236,-0.0023718375931369145,-0.0126035141258925,9.87301019495618,0.1810511952362207,0.00637378640959468,88,96,125,107
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,1.0,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,191,-0.29952163061765735,0.7004783693823426,0.0009331995020311532,-0.30696917722290173,0.2931937172774869,0.3043289423539326,-0.0018554312462659554,-0.002284475639966975,-0.010907569637781665,10.248613843677338,0.1538982121831187,0.004967860807264375,95,96,122,115
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,1.0,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,308,-0.422719552441318,0.577280447558682,0.0012441847594819135,-0.42638746104372005,0.30844155844155846,0.3710527155432593,-0.0017721557349952325,-0.0023606884263211157,-0.0126035141258925,10.266666666666667,0.15721160068583595,0.005568628078086943,151,157,201,184
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,1.0,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,138,-0.25257360997961364,0.7474263900203864,0.0005029103681961333,-0.2593572794819976,0.2536231884057971,0.25235778776996515,-0.0021009587885939345,-0.0025504705820514327,-0.010907569637781665,9.857142857142858,0.15197132755596843,0.0046640160403838,72,66,81,77
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,2.0,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,945,-0.9437157096478985,0.056284290352101474,1.2644516600003438e-05,-0.944636968036067,0.25502645502645505,0.3209876349124453,-0.0030147684560960166,-0.003596024356454561,-0.025207028251785,10.141298515471293,0.16591680411254983,0.007888520927346147,463,482,656,580
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,2.0,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,570,-0.8214607997038526,0.17853920029614745,1.2933311791919334e-05,-0.8249931548236398,0.20175438596491227,0.1917021892817759,-0.003007954171643936,-0.0034071754473398138,-0.014754029644354124,10.194956179574316,0.1648480308907353,0.005573076405821027,280,290,409,358
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx20_atr3p5_100,C_staged_p2p2_dd1p8_sl2,slope_adx20_atr3p5_100,21,96,2.0,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,184,-0.35543835384664335,0.6445616461533566,0.00018275816912498573,-0.40758685748308543,0.3804347826086957,0.5968228103724783,-0.002313302049457047,-0.004743675186273829,-0.025207028251785,9.87301019495618,0.1810511952362207,0.01274757281918936,88,96,125,107
