name,fast_ema,slow_ema,exit_model,filter_name,exposure,month,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.15588524431978024,0.8441147556802198,0.08441616638119932,-0.16189702518215132,0.24603174603174602,0.577729907019845,-0.001326182059573674,-0.0034328066468545236,-0.010430987821380132,5.032032615026209,0.15163834615305163,0.00560901945130658,64,62,27,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.07834096272448354,0.9216590372755165,0.01328625473783126,-0.08505421402522217,0.19230769230769232,0.33756069542203376,-0.0015620488601783855,-0.0024108788020890657,-0.005622821125760234,7.540785498489426,0.14542768978830448,0.0033384255387898945,26,26,8,6
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.25851716360004107,0.7414828363999589,0.025464493497293943,-0.25939915304262917,0.1657142857142857,0.25035407858975983,-0.0017028150289584458,-0.002413725113013464,-0.00552049027994511,5.879608026131591,0.12613742053361005,0.0028251653088280913,92,83,30,17
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.23356154071866264,0.7664384592813374,0.042905186149871447,-0.23356154071866264,0.19047619047619047,0.42531063570859706,-0.001568351218421724,-0.0027307917318815642,-0.00844711118868907,5.4447245228664025,0.13169721533101278,0.0042060044189141995,85,83,25,18
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.17868306468803707,0.8213169353119629,0.05669307713334459,-0.1869801589930007,0.24603174603174602,0.5217398857316279,-0.001545039555020537,-0.0035428222233358495,-0.010430987821380132,5.029800681950489,0.14091382877265132,0.00605969979480295,64,62,22,15
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.0767859464423718,0.9232140535576282,0.014527157889944601,-0.08389845668305529,0.19230769230769232,0.3565290238010863,-0.0015290384011057989,-0.0024481735998208008,-0.005622821125760234,7.540785498489426,0.14640685865814498,0.00333897903812289,26,26,6,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.2576725685967951,0.7423274314032049,0.025818326668904146,-0.25799543493552723,0.14857142857142858,0.26794072768541166,-0.001695064513233708,-0.002413725113013464,-0.00552049027994511,5.879882402351953,0.11274698479723798,0.002967173899301649,92,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.2358383221867011,0.7641616778132989,0.0414205096760273,-0.2358383221867011,0.19047619047619047,0.4260518445125255,-0.0015856147442728976,-0.002761466740850037,-0.00844711118868907,5.4447245228664025,0.12861827416336974,0.004213823828522557,85,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.18172189218271173,0.8182781078172883,0.05371032502999087,-0.18699663484864393,0.21428571428571427,0.5225470549676239,-0.001572116493934662,-0.0035428222233358495,-0.010430987821380132,5.029800681950489,0.12761108045739727,0.00606702262300519,64,62,15,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm2p2_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.0767859464423718,0.9232140535576282,0.014527157889944601,-0.08389845668305529,0.19230769230769232,0.3565290238010863,-0.0015290384011057989,-0.0024481735998208008,-0.005622821125760234,7.540785498489426,0.14640685865814498,0.00333897903812289,26,26,6,0
